






WA49 http://www.openstreetmap.org/?lat=-26.585630&lon=118.498836
WA49 http://www.openstreetmap.org/?lat=-30.742832&lon=121.477976
WA86 http://www.openstreetmap.org/?lat=-31.567164&lon=115.970414
WA105 http://www.openstreetmap.org/?lat=-34.929021&lon=117.914699
WA142 http://www.openstreetmap.org/?lat=-20.794634&lon=116.773767


name	states	number	route
Albany Highway	WA	WA30-WA30Alt	Victoria Park-Albany
Anne Beadell Highway	WA	unc	Laverton-Coober Pedy
Brand Highway	WA	N1	Muchea-Geraldton
Brockman Highway	WA	WA10	Karridale-Bridgetown
Brookton Highway	WA	WA40	Kelmscott-Brookton
Buntine Highway	WA	N96-B96	Nicholson-Willeroo
Bussell Highway	WA	WA10	Bunbury-Augusta
Canning Highway	WA	WA6-N1	Victoria Park-Fremantle
Coalfields Highway	WA	WA107	Roelands-Arthur River
Connie Sue Highway	WA	unc	Warburton-Rawlinna
Coolgardie – Esperance Highway	WA	N94-N1	Coolgardie-Esperance
Dampier Highway	WA	unc	Dampier-Karrartha
Derby Highway	WA	unc	Derby-N1
Eyre Highway	WA	N1-A1	Norseman-Port Augusta
Forrest Highway	WA	WA2-N1	Ravenswood-East Bunbury
Gary Highway	WA	unc	Gary Jct-Everard Jct
Goldfields Highway	WA	Alt94	Meekatharra-Widgiemooltha
Great Eastern Highway	WA	N94-Alt94-N1-WA51	Perth-Kalgoorlie
Great Northern Highway	WA	N95-N1-unc	Midland-Wyndham
Great Southern Highway	WA	WA120	The Lake-Cranbrook
Gunbarrel Highway	WA	unc	Victory Downs-Carnegie
Leach Highway	WA	WA7-N1	Perth Airport-Palmyra
Muirs Highway	WA	WA102	Manjimup-Mount Barker
North West Coastal Highway	WA	N1	Geraldton-Mundabullangana
Reid Highway	WA	WA3	North Beach-Middle Swan
Roe Highway	WA	WA3-N95-N94	Middle Swan-Bibra Lake
South Coast Highway	WA	N1	Walpole-Esperance
South Western Highway	WA	N1-WA20-WA22-WA107	Armadale-Walpole
Stirling Highway	WA	WA5	Crawley-Fremantle
Tonkin Highway	WA	WA4	Ellenbrook-Oakford
Vasse Highway	WA	WA104-WA10	Busselton-Pemberton
Victoria Highway	WA	N1-A1	s of Wyndham-Katherine
West Coast Highway	WA	WA71	Swanbourne-Trigg
