

name	states	number	route
Arthur Highway	TAS	A9	Sorell-Port Arthur
Bass Highway	TAS	N1-A2	Launceston-Marrawah
Batman Highway	TAS	B73	A7-A8
Brooker Highway	TAS	N1	Hobart-Granton
Channel Highway	TAS	B68	Sandy Bay-Huonville
Domain Highway	TAS	B36	Hobart-Hobart Airport
East Derwent Highway	TAS	B32	Rose Bay-Bridgewater
East Tamar Highway	TAS	A8	Launceston-Low Head
Esk Highway	TAS	A4	Conara-Falmouth
Huon Highway	TAS	A6	Kingston-Southport
Lyell Highway	TAS	A10-B24	Granton-Strahan
Marlborough Highway	TAS	B11	Bronte-Miena
Midland Highway	TAS	N1	Hobart-Launceston
Murchison Highway	TAS	A10	Somerset-Zeehan
South Arm Highway	TAS	B33	Mornington-Howrah
Tasman Highway	TAS	A3	Hobart-Launceston
West Tamar Highway	TAS	A7	Launceston-Greens Beach
Zeehan Highway	TAS	B27-A10	Queenstown-Zeehan
