			SS11Dir	(Innesto con la S.S. n. 11 a Chiari Ovest - Innesto con la A35 BreBeMi a Castrezzato)
			SS11Var (Sola) - new	(Innesto con la S.S. n. 11 al Km. 190+760 - Confine con la Provincia di Bergamo località Fara Olivana con Sola - Confine con la Provincia di Cremona in località Castel Gabbiano - Confine con la Provincia di Bergamo in località Fara Olivana con Sola - Innesto con la S.S. n 11 al Km 195+100)
			SS11Var (Calcio) - new	(Innesto con la S.S. n. 11 a Calcio Ovest (cascina Finiletti) - Innesto con la S.S. n. 11 a Calcio Est)
			SS12	(Confine con la Regione Emilia Romagna - Poggio Rusco - Confine con la Regione Veneto)
			SS33	(Pero (fine del centro abitato)- Rho - Gallarate - Somma Lombardo - Sesto Calende - Confine con la Regione Piemonte)
			SS36	(Distacco da incrocio via Clerici e via Giosuè Carducci a Sesto San Giovanni - Innesto con la S.S. n. 36 a Cinisello Balsamo - Cinisello Balsamo - Monza - Nibionno - Civate - Lecco - Chiavenna - Campodolcino - Confine di Stato con la Svizzera al Passo dello Spluga)
			SS36Racc	(Distacco da S.S. n. 36 a Lecco - Innesto con la S.P. n. 62 presso Ballabio)
			SS37	(Innesto con la S.S. n. 36 presso Chiavenna - Confine di Stato con la Svizzera presso Castasegna)
			SS38	(Valle d Tartano (Talamona) - Sondrio - Tresenda - Tirano Bormio - Passo dello Stelvio - Confine con la Regione Trentino Alto Adige)
			SS38DirSte	(Innesto con la S.S. n. 38 presso il Passo dello Stelvio - Confine di Stato con la Svizzera a Giogo di S. Maria)
			SS38DirTir	(Innesto con la S.S. n. 38 presso Madonna di Tirano - Confine di Stato con la Svizzera a Campocologno)
			SS38Var (Morbengo)	(Svincolo di Fuentes con la S.S. n. 38 - Innesto con la S.S. n. 38)
			SS38VarBor (Bormio) - new	(Innesti con la S.S. n. 38 a Bormio)
			SS39	(Innesto con la S.S. n. 38 a Tresenda - Passo di Aprica - Innesto con la S.S. n. 42 presso Edolo)
			SS42	(Innesto con la S.S. n. 38 a Tresenda - Passo di Aprica - Innesto con la S.S. n. 42 presso Edolo)
			SS42Ber - delete (merged into main SS42)
			SS42Dir (Gorlago) - new	(Svincolo di Trescore Balneario - Innesto con la S.P. n. 89)
			SS42Dir (Mortirolo)	(Innesto con la S.S. n. 42 a Monno - Passo del Mortirolo confine con la Provincia di Sondrio - Innesto con la S.P. n. 27 a Grosio)
			SS45Bis	(Innesto con la S.S. n. 11 presso Rezzato (loc. Tre Ponti) - Salò - Confine con la Regione Trentino Alto Adige)
			SS45Ter	(Innesto con la S.S. n. 45 Bis presso Viallanuova sul Clisi - Innesto con la ex S.S. n. 237 presso Vobarno)
			SS211 (Pieve del Cairo) - new	(Confine con la Regione Piemonte Sud a Pieve del Cairo ¿ Confine con la Regione Piemonte Nord a Albonese)
			SS211 (Albonese) - new	(Confine con la Regione Piemonte Sud a Pieve del Cairo ¿ Confine con la Regione Piemonte Nord a Albonese)
			SS211Var - new	(Innesto con la S.S. n. 211 a Nord di Mortara ¿ Innesto con la S.S. n. 494 a Ovest di Mortara)
			SS233	(Da innesto con la S.S. n. 341 presso Varese (fine traversa interna) a Ponte Tresa (Confine di Stato).)
			SS294 - new	(Innesto con la S.S. n. 42 a Forno Allione (Berzo Demo ) - Innesto S.S.n. 42 (svincolo di Darfo Boario Terme))
			SS300 - new	(Innesto con la S.S. n. 38 a Bormio - Valfurva - Innesto con la S.S. n. 42 a Ponte di Legno)
			SS301	(Innesto con la S.S. n. 38 presso Bormio - Livigno)
			SS336 (Cardano al Campo)	(Svincolo con la A8 presso Busto Arsizio - Cardano al Campo - Aeroporto della Malpensa - Somma Lombardo)
			SS336 (Somma Lombardo)	(Somma Lombardo - Confine con la Regione Piemonte)
			SS336DirMal	(Innesto con la S.S. n. 336 (Km 10+750) presso Somma Lombardo - Innesto con la ex S.S. n. 11 presso Magenta)
