systemName;region;route;banner;abbrev;city;root
indmh;IND-MH;MH116;;;;indmh.mh116;
indmh;IND-KA;MH116;;nip;Nippani, Karnataka;indka.mh116nip;
indmh;IND-MH;MH129;;;Hupari;indmh.mh129;
indmh;IND-KA;MH129;;man;Manakapura (Karnataka);indka.mh129man;
indmh;IND-MH;MH129;;shi;Shiradavada;indmh.mh129shi;
indmh;IND-MH;MH135;;;Uttur;indmh.mh135;
indmh;IND-KA;MH135;;had;Hadalaga (Karnataka);indka.mh135had;
indmh;IND-MH;MH135;;han;Hanbarwadi (Maharashtra);indmh.mh135han;
indmh;IND-KA;MH135;;bug;Bagate Alura (Karnataka);indka.mh135bug;
indmh;IND-MH;MH137;;;;indmh.mh137;
