system;region;route;banner;abbrev;city;fileroot;AltRouteNames
usaky3;KY;KY1133;;;;ky.ky1133;
usaky3;KY;KY1134;;;;ky.ky1134;
usaky3;KY;KY1135;;;;ky.ky1135;
usaky3;KY;KY1136;;;;ky.ky1136;
usaky3;KY;KY1137;;;;ky.ky1137;
usaky3;KY;KY1138;;;;ky.ky1138;
usaky3;KY;KY1139;;;;ky.ky1139;
usaky3;KY;KY1140;;;;ky.ky1140;
usaky3;KY;KY1141;;;;ky.ky1141;
usaky3;KY;KY1142;;;;ky.ky1142;
usaky3;KY;KY1144;;;;ky.ky1144;
usaky3;KY;KY1145;;;;ky.ky1145;
usaky3;KY;KY1146;;;;ky.ky1146;
usaky3;KY;KY1147;;;;ky.ky1147;
usaky3;KY;KY1148;;;;ky.ky1148;
usaky3;KY;KY1149;;;;ky.ky1149;
usaky3;KY;KY1150;;;;ky.ky1150;
usaky3;KY;KY1151;;;;ky.ky1151;
usaky3;KY;KY1152;;;;ky.ky1152;
usaky3;KY;KY1153;;;;ky.ky1153;
usaky3;KY;KY1154;;;;ky.ky1154;
usaky3;KY;KY1155;;;;ky.ky1155;
usaky3;KY;KY1156;;;;ky.ky1156;
usaky3;KY;KY1157;;;;ky.ky1157;
usaky3;KY;KY1158;;;;ky.ky1158;
usaky3;KY;KY1159;;;;ky.ky1159;
usaky3;KY;KY1160;;;;ky.ky1160;
usaky3;KY;KY1161;;;;ky.ky1161;
usaky3;KY;KY1162;;;;ky.ky1162;
usaky3;KY;KY1163;;;;ky.ky1163;
usaky3;KY;KY1164;;;;ky.ky1164;
usaky3;KY;KY1165;;;;ky.ky1165;
usaky3;KY;KY1166;;;;ky.ky1166;
usaky3;KY;KY1167;;;;ky.ky1167;
usaky3;KY;KY1168;;;;ky.ky1168;
usaky3;KY;KY1169;;;;ky.ky1169;
usaky3;KY;KY1170;;;;ky.ky1170;
usaky3;KY;KY1171;;;;ky.ky1171;
usaky3;KY;KY1172;;;;ky.ky1172;
usaky3;KY;KY1173;;;;ky.ky1173;
usaky3;KY;KY1175;;;;ky.ky1175;
usaky3;KY;KY1176;;;;ky.ky1176;
usaky3;KY;KY1177;;;;ky.ky1177;
usaky3;KY;KY1178;;;;ky.ky1178;
usaky3;KY;KY1179;;;;ky.ky1179;
usaky3;KY;KY1180;;;;ky.ky1180;
usaky3;KY;KY1181;;;;ky.ky1181;
usaky3;KY;KY1182;;;;ky.ky1182;
usaky3;KY;KY1183;;;;ky.ky1183;
usaky3;KY;KY1184;;;;ky.ky1184;
usaky3;KY;KY1185;;;;ky.ky1185;
usaky3;KY;KY1186;;;;ky.ky1186;
usaky3;KY;KY1187;;;;ky.ky1187;
usaky3;KY;KY1189;;;;ky.ky1189;
usaky3;KY;KY1191;;;;ky.ky1191;
usaky3;KY;KY1192;;;;ky.ky1192;
usaky3;KY;KY1193;;;;ky.ky1193;
usaky3;KY;KY1194;;;;ky.ky1194;
usaky3;KY;KY1195;;;;ky.ky1195;
usaky3;KY;KY1196;;;;ky.ky1196;
usaky3;KY;KY1198;;;;ky.ky1198;
usaky3;KY;KY1199;;;;ky.ky1199;
usaky3;KY;KY1200;;;;ky.ky1200;
usaky3;KY;KY1201;;;;ky.ky1201;
usaky3;KY;KY1202;;;;ky.ky1202;
usaky3;KY;KY1203;;;;ky.ky1203;
usaky3;KY;KY1204;;;;ky.ky1204;
usaky3;KY;KY1205;;;;ky.ky1205;
usaky3;KY;KY1206;;;;ky.ky1206;
usaky3;KY;KY1207;;;;ky.ky1207;
usaky3;KY;KY1208;;;;ky.ky1208;
usaky3;KY;KY1209;;;;ky.ky1209;
usaky3;KY;KY1210;;;;ky.ky1210;
usaky3;KY;KY1211;;;;ky.ky1211;
usaky3;KY;KY1212;;;;ky.ky1212;
usaky3;KY;KY1213;;;;ky.ky1213;
usaky3;KY;KY1214;;;;ky.ky1214;
usaky3;KY;KY1215;;;;ky.ky1215;
usaky3;KY;KY1216;;;;ky.ky1216;
usaky3;KY;KY1217;;;;ky.ky1217;
usaky3;KY;KY1218;;;;ky.ky1218;
usaky3;KY;KY1219;;;;ky.ky1219;
usaky3;KY;KY1220;;;;ky.ky1220;
usaky3;KY;KY1221;;;;ky.ky1221;
usaky3;KY;KY1222;;;;ky.ky1222;
usaky3;KY;KY1223;;;;ky.ky1223;
usaky3;KY;KY1224;;;;ky.ky1224;
usaky3;KY;KY1226;;;;ky.ky1226;
usaky3;KY;KY1227;;;;ky.ky1227;
usaky3;KY;KY1228;;;;ky.ky1228;
usaky3;KY;KY1229;;;;ky.ky1229;
usaky3;KY;KY1230;;;;ky.ky1230;
usaky3;KY;KY1231;;;;ky.ky1231;
usaky3;KY;KY1232;;;;ky.ky1232;
usaky3;KY;KY1233;;;;ky.ky1233;
usaky3;KY;KY1234;;;;ky.ky1234;
usaky3;KY;KY1235;;;;ky.ky1235;
usaky3;KY;KY1236;;;;ky.ky1236;
usaky3;KY;KY1237;;;;ky.ky1237;
usaky3;KY;KY1238;;;;ky.ky1238;
usaky3;KY;KY1239;;;;ky.ky1239;
usaky3;KY;KY1240;;;;ky.ky1240;
usaky3;KY;KY1241;;;;ky.ky1241;
usaky3;KY;KY1242;;;;ky.ky1242;
usaky3;KY;KY1243;;;;ky.ky1243;
usaky3;KY;KY1244;;;;ky.ky1244;
usaky3;KY;KY1245;;;;ky.ky1245;
usaky3;KY;KY1246;;;;ky.ky1246;
usaky3;KY;KY1247;;;;ky.ky1247;
usaky3;KY;KY1248;;;;ky.ky1248;
usaky3;KY;KY1249;;;;ky.ky1249;
usaky3;KY;KY1250;;;;ky.ky1250;
usaky3;KY;KY1251;;;;ky.ky1251;
usaky3;KY;KY1252;;;;ky.ky1252;
usaky3;KY;KY1253;;;;ky.ky1253;
usaky3;KY;KY1254;;;;ky.ky1254;
usaky3;KY;KY1255;;;;ky.ky1255;
usaky3;KY;KY1256;;;;ky.ky1256;
usaky3;KY;KY1257;;;;ky.ky1257;
usaky3;KY;KY1258;;;;ky.ky1258;
usaky3;KY;KY1259;;;;ky.ky1259;
usaky3;KY;KY1260;;;;ky.ky1260;
usaky3;KY;KY1261;;;;ky.ky1261;
usaky3;KY;KY1262;;;;ky.ky1262;
usaky3;KY;KY1263;;;;ky.ky1263;
usaky3;KY;KY1265;;;;ky.ky1265;
usaky3;KY;KY1266;;;;ky.ky1266;
usaky3;KY;KY1267;;;;ky.ky1267;
usaky3;KY;KY1268;;;;ky.ky1268;
usaky3;KY;KY1269;;;;ky.ky1269;
usaky3;KY;KY1270;;;;ky.ky1270;
usaky3;KY;KY1271;;;;ky.ky1271;
usaky3;KY;KY1272;;;;ky.ky1272;
usaky3;KY;KY1273;;;;ky.ky1273;
usaky3;KY;KY1274;;;;ky.ky1274;
usaky3;KY;KY1275;;;;ky.ky1275;
usaky3;KY;KY1276;;;;ky.ky1276;
usaky3;KY;KY1277;;;;ky.ky1277;
usaky3;KY;KY1278;;;;ky.ky1278;
usaky3;KY;KY1279;;;;ky.ky1279;
usaky3;KY;KY1280;;;;ky.ky1280;
