systemName;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
jpnhsh;JPN;N11;;;;jpn.n011;
jpnhsh;JPN;N11;Byp;Kaw;Kawanoe-Mishima Bypass;jpn.n011bypkaw;
jpnhsh;JPN;N11;Byp;Kom;Komatsu Bypass;jpn.n011bypkom;
jpnhsh;JPN;N11;Byp;NiE;Niihama Bypass E segment;jpn.n011bypnie;
jpnhsh;JPN;N11;Byp;NiW;Niihama Bypass W segment;jpn.n011bypniw;
jpnhsh;JPN;N11;Byp;Och;Ōchi-Shirotori Bypass;jpn.n011bypoch;
jpnhsh;JPN;N11;Byp;Sai;Saijo Bypass;jpn.n011bypsai;
jpnhsh;JPN;N11;Byp;Tak;Takamatsu East Bypass;jpn.n011byptak;
jpnhsh;JPN;N28;;Tok;Tokushima;jpn.n028tok;
jpnhsh;JPN;N30;;Tak;Takamatsu;jpn.n030tak;
jpnhsh;JPN;N32;;;;jpn.n032;
jpnhsh;JPN;N32;;Koc;Kōchi Spur;jpn.n032koc;
jpnhsh;JPN;N33;;;;jpn.n033;
jpnhsh;JPN;N33;Byp;Koc;Kōchi West Bypass;jpn.n033bypkoc;
jpnhsh;JPN;N33;Byp;Mat;Matsuyama Outer Ring Road;jpn.n033bypmat;
jpnhsh;JPN;N55;;;;jpn.n055;
jpnhsh;JPN;N55;Byp;Ana;Anan Road;jpn.n055bypana;
jpnhsh;JPN;N55;Byp;Kik;Hiwasa Road (E55Kik);jpn.n055bypkik;
jpnhsh;JPN;N55;Byp;Koc;Kōchi-Tōbu Expressway (E55);jpn.n055bypkoc;
jpnhsh;JPN;N55;Byp;Kon;Kōchi-Tōbu Expwy E segment (E55Kon);jpn.n055bypkon;
jpnhsh;JPN;N56;;;;jpn.n056;
jpnhsh;JPN;N56;;Mas;Masuda Old Road;jpn.n056mas;
jpnhsh;JPN;N56;;Ozu;Ōzu Spur;jpn.n056ozu;
jpnhsh;JPN;N56;Byp;Kub;Kubokawa-Saga Road (E56Ich);jpn.n056bypkub;
jpnhsh;JPN;N56;Byp;Nak;Nakamura-Sukumo Road (E56Shi);jpn.n056bypnak;
jpnhsh;JPN;N56;Byp;Ozu;Ōzu Road (E56 section);jpn.n056bypozu;
jpnhsh;JPN;N56;Byp;Sus;Susaki Road (E56Koc section);jpn.n056bypsus;
jpnhsh;JPN;N56;Byp;Uwa;Uwajima Road (E56 section);jpn.n056bypuwa;
jpnhsh;JPN;N192;;;;jpn.n192;
jpnhsh;JPN;N192;Byp;ToE;Tokushima South Loop Road E segment;jpn.n192byptoe;
jpnhsh;JPN;N192;Byp;ToW;Tokushima South Loop Road W segment;jpn.n192byptow;
jpnhsh;JPN;N193;;;Northern Section;jpn.n193;
jpnhsh;JPN;N193;;Kag;Kagawachō Old Road;jpn.n193kag;
jpnhsh;JPN;N193;;Kai;Southern Section;jpn.n193kai;
jpnhsh;JPN;N193;;Wak;Waki Spur;jpn.n193wak;
jpnhsh;JPN;N194;;;;jpn.n194;
jpnhsh;JPN;N195;;;;jpn.n195;
jpnhsh;JPN;N195;Byp;Koc;Akebono Highway;jpn.n195bypkoc;
jpnhsh;JPN;N196;;;;jpn.n196;
jpnhsh;JPN;N197;;;;jpn.n197;
jpnhsh;JPN;N197;Byp;Nog;Nogoe Bypass;jpn.n197bypnog;
jpnhsh;JPN;N197;Byp;Ozu;Ōzu-Yawatahama Bypass;jpn.n197bypozu;
jpnhsh;JPN;N317;;;;jpn.n317;
jpnhsh;JPN;N317;;Hak;Hakatajima;jpn.n317hak;
jpnhsh;JPN;N317;;Omi;Ōmishima;jpn.n317omi;
jpnhsh;JPN;N317;;Osh;Ōshima;jpn.n317osh;
jpnhsh;JPN;N317;Byp;Set;Nishi Seto Expressway;jpn.n317bypset;
jpnhsh;JPN;N318;;;;jpn.n318;
jpnhsh;JPN;N319;;;;jpn.n319;
jpnhsh;JPN;N320;;;;jpn.n320;
jpnhsh;JPN;N320;;Uwa;Uwajima Spur;jpn.n320uwa;
jpnhsh;JPN;N321;;;;jpn.n321;
jpnhsh;JPN;N377;;;;jpn.n377;
jpnhsh;JPN;N378;;;;jpn.n378;
jpnhsh;JPN;N378;;Uwa;Uwajima Old Road;jpn.n378uwa;
jpnhsh;JPN;N379;;;;jpn.n379;
jpnhsh;JPN;N380;;;;jpn.n380;
jpnhsh;JPN;N381;;;;jpn.n381;
jpnhsh;JPN;N381;;Yos;Yoshino Old Road;jpn.n381yos;
jpnhsh;JPN;N436;;Sho;Shōdoshima;jpn.n436sho;
jpnhsh;JPN;N436;;Tak;Takamatsu;jpn.n436tak;
jpnhsh;JPN;N437;;;;jpn.n437;
jpnhsh;JPN;N438;;;;jpn.n438;
jpnhsh;JPN;N438;;Kaw;Kawamata Old Road;jpn.n438kaw;
jpnhsh;JPN;N438;;San;Sanagochi Old Road;jpn.n438san;
jpnhsh;JPN;N438;;Tsu;Tsurugi Old Road;jpn.n438tsu;
jpnhsh;JPN;N438;Byp;Han;Hanzan Bypass;jpn.n438byphan;
jpnhsh;JPN;N438;Byp;Oka;Okada Bypass;jpn.n438bypoka;
jpnhsh;JPN;N439;;;;jpn.n439;
jpnhsh;JPN;N439;;Yas;Higashi Yasugeoi Old Road;jpn.n439yas;
jpnhsh;JPN;N440;;;;jpn.n440;
jpnhsh;JPN;N441;;;;jpn.n441;
jpnhsh;JPN;N492;;;;jpn.n492;
jpnhsh;JPN;N492;;Kaw;Kawai Old Road;jpn.n492kaw;
jpnhsh;JPN;N492;Byp;Ana;Anabuki Bypass;jpn.n492bypana;
jpnhsh;JPN;N493;;;;jpn.n493;
jpnhsh;JPN;N493;Byp;Kit;Kitagawa-Nahari Road (E55Tan);jpn.n493bypkit;
jpnhsh;JPN;N494;;;;jpn.n494;
jpnhsh;JPN;N494;;Aso;Asō Old Road;jpn.n494aso;
jpnhsh;JPN;N494;Byp;Sak;Sakawa-Asō Bypass;jpn.n494bypsak;
