System;Route;Banner;City;Root
gbna;A322;;;eng.a322
gbna;A323;;;eng.a323
gbna;A324;;;eng.a324
gbna;A325;;;eng.a325
gbna;A326;;(Main);eng.a326
gbna;A326;;Hounsdown;eng.a326hou
gbna;A327;;;eng.a327
gbna;A328;;;eng.a328
gbna;A329;;(Main);eng.a329
gbna;A329;;Reading;eng.a329rea
gbna;A330;;;eng.a330
gbna;A331;;;eng.a331
gbna;A332;;;eng.a332
gbna;A333;;;eng.a333
gbna;A334;;;eng.a334
gbna;A335;;(Main);eng.a335
gbna;A335;;Chandlers Ford;eng.a335cha
gbna;A336;;;eng.a336
gbna;A337;;;eng.a337
gbna;A338;;;eng.a338
gbna;A339;;;eng.a339
gbna;A340;;;eng.a340
gbna;A341;;;eng.a341
gbna;A342;;;eng.a342
gbna;A343;;;eng.a343
gbna;A345;;(Main);eng.a345
gbna;A345;;Upavon;eng.a345upa
gbna;A346;;;eng.a346
gbna;A347;;;eng.a347
gbna;A348;;;eng.a348
gbna;A349;;(Main);eng.a349
gbna;A349;;Poole;eng.a349poo
gbna;A350;;;eng.a350
gbna;A351;;;eng.a351
gbna;A352;;;eng.a352
gbna;A353;;;eng.a353
gbna;A354;;;eng.a354
gbna;A355;;;eng.a355
gbna;A356;;;eng.a356
gbna;A357;;;eng.a357
gbna;A358;;;eng.a358
gbna;A359;;;eng.a359
gbna;A360;;;eng.a360
gbna;A361;;Tiverton;eng.a361
gbna;A361;;Shepton Mallet;eng.a361she
gbna;A361;;Banbury;eng.a361ban
gbna;A362;;;eng.a362
gbna;A363;;;eng.a363
gbna;A365;;;eng.a365
gbna;A366;;;eng.a366
gbna;A367;;;eng.a367
gbna;A368;;;eng.a368
gbna;A369;;;eng.a369
gbna;A370;;;eng.a370
gbna;A371;;;eng.a371
gbna;A372;;;eng.a372
gbna;A373;;;eng.a373
gbna;A374;;Plymouth;eng.a374
gbna;A374;;Torpoint;eng.a374tor
gbna;A375;;;eng.a375
gbna;A376;;;eng.a376
gbna;A377;;;eng.a377
gbna;A378;;;eng.a378
gbna;A379;;Exeter;eng.a379
gbna;A379;;Plymouth;eng.a379ply
gbna;A380;;;eng.a380
gbna;A381;;(Main);eng.a381
gbna;A381;;Kingsbridge;eng.a381kin
gbna;A382;;;eng.a382
gbna;A383;;;eng.a383
gbna;A384;;;eng.a384
gbna;A385;;;eng.a385
gbna;A386;;;eng.a386
gbna;A387;;;eng.a387
gbna;A388;;(Main);eng.a388
gbna;A388;;Launceston;eng.a388lau
gbna;A389;;(Main);eng.a389
gbna;A389;;Bodmin;eng.a389bod
gbna;A390;;;eng.a390
gbna;A391;;;eng.a391
gbna;A392;;;eng.a392
gbna;A393;;;eng.a393
gbna;A394;;;eng.a394
gbna;A395;;;eng.a395
gbna;A396;;;eng.a396
gbna;A397;;;eng.a397
gbna;A399;;;eng.a399
gbna;A400;;;eng.a400
gbna;A401;;;eng.a401
gbna;A402;;;eng.a402
gbna;A403;;;eng.a403
gbna;A404;;;eng.a404
gbna;A405;;;eng.a405
gbna;A406;;;eng.a406
gbna;A407;;;eng.a407
gbna;A408;;;eng.a408
gbna;A409;;;eng.a409
gbna;A410;;;eng.a410
gbna;A411;;;eng.a411
gbna;A412;;;eng.a412
gbna;A413;;;eng.a413
gbna;A414;;;eng.a414
gbna;A415;;;eng.a415
gbna;A416;;;eng.a416
gbna;A417;;(Main);eng.a417
gbna;A417;;Gloucester;eng.a417glo
gbna;A418;;;eng.a418
gbna;A419;;;eng.a419
gbna;A420;;Oxford;eng.a420
gbna;A420;;Bristol;eng.a420bri
gbna;A421;;(Main);eng.a421
gbna;A421;;Milton Keynes;eng.a421mil
gbna;A422;;;eng.a422
gbna;A423;;Oxford;eng.a423oxf
gbna;A423;;Banbury;eng.a423
gbna;A424;;;eng.a424
gbna;A425;;(Main);eng.a425
gbna;A425;;Warwick;eng.a425war
gbna;A426;;;eng.a426
gbna;A427;;;eng.a427
gbna;A428;;;eng.a428
gbna;A429;;;eng.a429
gbna;A431;;;eng.a431
gbna;A432;;;eng.a432
gbna;A433;;;eng.a433
gbna;A435;;;eng.a435
gbna;A436;;;eng.a436
gbna;A437;;;eng.a437
gbna;A438;;;eng.a438,wls.a438
gbna;A439;;;eng.a439
gbna;A441;;;eng.a441
gbna;A442;;;eng.a442
gbna;A443;;;eng.a443
gbna;A444;;(Main);eng.a444
gbna;A444;;Nuneaton;eng.a444nun
gbna;A445;;;eng.a445
gbna;A446;;;eng.a446
gbna;A447;;;eng.a447
gbna;A448;;;eng.a448
gbna;A449;;(Main);wls.a449,eng.a449
gbna;A449;;Worcester;eng.a449wor
gbna;A450;;;eng.a450
gbna;A451;;;eng.a451
gbna;A452;;(Main);eng.a452
gbna;A452;;Warwick;eng.a452war
gbna;A453;;Sutton Coldfield;eng.a453
gbna;A453;;Nottingham;eng.a453not
gbna;A454;;;eng.a454
gbna;A456;;;eng.a456
gbna;A457;;;eng.a457
gbna;A458;;;eng.a458,wls.a458
gbna;A459;;;eng.a459
gbna;A460;;;eng.a460
gbna;A461;;;eng.a461
gbna;A462;;;eng.a462
gbna;A463;;;eng.a463
gbna;A464;;;eng.a464
gbna;A465;;;eng.a465,wls.a465
gbna;A466;;;wls.a466,eng.a466red,wls.a466mon,eng.a466
gbna;A467;;;wls.a467
gbna;A468;;;wls.a468
gbna;A469;;;wls.a469
gbna;A470;;Butetown;wls.a470but
gbna;A470;;;wls.a470
gbna;A472;;;wls.a472
gbna;A473;;;wls.a473
gbna;A474;;;wls.a474
gbna;A475;;;wls.a475
gbna;A476;;;wls.a476
gbna;A477;;;wls.a477
gbna;A478;;;wls.a478
gbna;A479;;Talgarth;wls.a479
gbna;A479;;Wembley;eng.a479
gbna;A480;;;eng.a480
gbna;A481;;;wls.a481
gbna;A482;;;wls.a482
gbna;A483;;;wls.a483,eng.a483,wls.a483wre,eng.a483che
gbna;A484;;;wls.a484
gbna;A485;;;wls.a485
gbna;A486;;;wls.a486
gbna;A487;;;wls.a487
gbna;A487;;;wls.a488,eng.a488bis,wls.a488bis,eng.a488
gbna;A489;;;wls.a489,eng.a489pen,wls.a489chu,eng.a489
