systemName;region;route;banner;abbrev;city;root;altRouteNames;
ausvicc;AUS-VIC;C101;;;;ausvic.c101;
ausvicc;AUS-VIC;C102;;;;ausvic.c102;
ausvicc;AUS-VIC;C103;;;;ausvic.c103;
ausvicc;AUS-VIC;C104;;;;ausvic.c104;
ausvicc;AUS-VIC;C105;;;;ausvic.c105;
ausvicc;AUS-VIC;C106;;;;ausvic.c106;
ausvicc;AUS-VIC;C107;;;;ausvic.c107;
ausvicc;AUS-VIC;C108;;;;ausvic.c108;
ausvicc;AUS-VIC;C109;;;;ausvic.c109;
ausvicc;AUS-VIC;C111;;;;ausvic.c111;
ausvicc;AUS-VIC;C112;;;;ausvic.c112;
ausvicc;AUS-VIC;C114;;;;ausvic.c114;
ausvicc;AUS-VIC;C115;;;;ausvic.c115;
ausvicc;AUS-VIC;C116;;;;ausvic.c116;
ausvicc;AUS-VIC;C117;;;;ausvic.c117;
ausvicc;AUS-VIC;C118;;;;ausvic.c118;
ausvicc;AUS-VIC;C119;;;;ausvic.c119;
ausvicc;AUS-VIC;C121;;;;ausvic.c121;
ausvicc;AUS-VIC;C122;;;;ausvic.c122;
ausvicc;AUS-VIC;C123;;;;ausvic.c123;
ausvicc;AUS-VIC;C124;;;;ausvic.c124;
ausvicc;AUS-VIC;C125;;;;ausvic.c125;
ausvicc;AUS-VIC;C126;;;;ausvic.c126;
ausvicc;AUS-VIC;C127;;;;ausvic.c127;
ausvicc;AUS-VIC;C129;;;;ausvic.c129;
ausvicc;AUS-VIC;C132;;;;ausvic.c132;
ausvicc;AUS-VIC;C133;;;;ausvic.c133;
ausvicc;AUS-VIC;C134;;;;ausvic.c134;
ausvicc;AUS-VIC;C135;;;;ausvic.c135;
ausvicc;AUS-VIC;C136;;;;ausvic.c136;
ausvicc;AUS-VIC;C137;;;;ausvic.c137;
ausvicc;AUS-VIC;C138;;;;ausvic.c138;
ausvicc;AUS-VIC;C141;;;;ausvic.c141;
ausvicc;AUS-VIC;C142;;;;ausvic.c142;
ausvicc;AUS-VIC;C143;;;;ausvic.c143;
ausvicc;AUS-VIC;C144;;;;ausvic.c144;
ausvicc;AUS-VIC;C145;;;;ausvic.c145;
ausvicc;AUS-VIC;C146;;;;ausvic.c146;
ausvicc;AUS-VIC;C147;;;;ausvic.c147;
ausvicc;AUS-VIC;C148;;;;ausvic.c148;
ausvicc;AUS-VIC;C149;;;;ausvic.c149;
ausvicc;AUS-VIC;C151;;;;ausvic.c151;
ausvicc;AUS-VIC;C152;;;;ausvic.c152;
ausvicc;AUS-VIC;C154;;;;ausvic.c154;
ausvicc;AUS-VIC;C155;;;;ausvic.c155;
ausvicc;AUS-VIC;C156;;;;ausvic.c156;
ausvicc;AUS-VIC;C157;;;;ausvic.c157;
ausvicc;AUS-VIC;C158;;;;ausvic.c158;
ausvicc;AUS-VIC;C159;;;;ausvic.c159;
ausvicc;AUS-VIC;C161;;;;ausvic.c161;
ausvicc;AUS-VIC;C162;;;;ausvic.c162;
ausvicc;AUS-VIC;C163;;;;ausvic.c163;
ausvicc;AUS-VIC;C164;;;;ausvic.c164;
ausvicc;AUS-VIC;C165;;;;ausvic.c165;
ausvicc;AUS-VIC;C166;;;;ausvic.c166;
ausvicc;AUS-VIC;C167;;;;ausvic.c167;
ausvicc;AUS-VIC;C168;;;;ausvic.c168;
ausvicc;AUS-VIC;C171;;;;ausvic.c171;
ausvicc;AUS-VIC;C172;;;;ausvic.c172;
ausvicc;AUS-VIC;C173;;;;ausvic.c173;
ausvicc;AUS-VIC;C174;;;;ausvic.c174;
ausvicc;AUS-VIC;C175;;;;ausvic.c175;
ausvicc;AUS-VIC;C176;;;;ausvic.c176;
ausvicc;AUS-VIC;C177;;;;ausvic.c177;
ausvicc;AUS-VIC;C178;;;;ausvic.c178;
ausvicc;AUS-VIC;C179;;;;ausvic.c179;
ausvicc;AUS-VIC;C182;;;;ausvic.c182;
ausvicc;AUS-VIC;C183;;;;ausvic.c183;
ausvicc;AUS-VIC;C184;;;;ausvic.c184;
ausvicc;AUS-VIC;C185;;;;ausvic.c185;
ausvicc;AUS-VIC;C186;;;;ausvic.c186;
ausvicc;AUS-VIC;C187;;;;ausvic.c187;
ausvicc;AUS-VIC;C188;;;;ausvic.c188;
ausvicc;AUS-VIC;C191;;;;ausvic.c191;
ausvicc;AUS-SA;C192;;;;aussa.c192;
ausvicc;AUS-VIC;C192;;;;ausvic.c192;
ausvicc;AUS-VIC;C193;;;;ausvic.c193;
ausvicc;AUS-VIC;C194;;;;ausvic.c194;
ausvicc;AUS-VIC;C195;;;;ausvic.c195;
ausvicc;AUS-VIC;C196;;;;ausvic.c196;
ausvicc;AUS-SA;C198;;;;aussa.c198;
ausvicc;AUS-VIC;C198;;;;ausvic.c198;
