systemName;region;route;banner;abbrev;city;root
indsk;IND-SK;SK1;;;;indsk.sk001;
indsk;IND-SK;SK2;;;;indsk.sk002;
indsk;IND-SK;SK3;;;;indsk.sk003;
indsk;IND-SK;SK4;;;;indsk.sk004;
indsk;IND-SK;SK5;;;;indsk.sk005;
indsk;IND-SK;SK6;;;;indsk.sk006;
indsk;IND-SK;SK6A;;;;indsk.sk006a;
indsk;IND-SK;SK7;;;;indsk.sk007;
indsk;IND-SK;SK11;;;;indsk.sk0011;
indsk;IND-SK;SK12;;;;indsk.sk0012;
indsk;IND-SK;SK13;;;;indsk.sk0013;
indsk;IND-SK;SK14;;;;indsk.sk0014;
indsk;IND-SK;SK15;;;;indsk.sk0015;
indsk;IND-SK;SK16;;;;indsk.sk0016;
indsk;IND-SK;SK17;;;;indsk.sk0017;
indsk;IND-SK;SK18;;;;indsk.sk0018;
indsk;IND-SK;SK19;;;;indsk.sk0019;
indsk;IND-SK;SK20;;;;indsk.sk0020;
indsk;IND-SK;SK21;;;;indsk.sk0021;
indsk;IND-SK;SK22;;;;indsk.sk0022;
indsk;IND-SK;SK23;;;;indsk.sk0023;
indsk;IND-SK;SK24;;;;indsk.sk0024;
indsk;IND-SK;SK25;;;;indsk.sk0025;
indsk;IND-SK;SK26;;;;indsk.sk0026;
indsk;IND-SK;Sk27;;;;indsk.sk0027;
