colsf;AniVialCre;;Anillo Vial de Crespo;col.anivialcre
colsf;AutNorBog;;Autoroute Norte (Bogotá);col.autnorbog
colsf;AutNorMed;;Autoroute Norte (Medellín);col.autnormed
colsf;AutSur;;Autoroute Sur (Cali);col.autsur
colsf;AvCir;;Avenida Circunvalación (Barranquilla);col.avcir
colsf;AvDor;;Avenida El Dorado;col.avdor
colsf;AvFer;;Avenida del Ferrocarril;col.avfer
colsf;AvFlo;;Avenida Floridablanca;col.avflo
colsf;AvNQS;;Avenida NQS;col.avnqs
colsf;AvOri;;Avenida Oriental;col.avori
colsf;AvReg;;Avenida Regional;col.avreg
colsf;Cl60;;Calle 60;col.cl60
colsf;ViaPal;;Via las Palmas;col.viapal
colsf;ViaPer;;Viaducto (Pereira);col.viaper
