System;RouteBanner;NameRoots
espct;C12;;Amposta;espct.c012
espct;C12;;Balaguer;espct.c012bal
espct;C12B;;;espct.c012b
espct;C13x;;;espct.c013x
espct;C13b;;;espct.c013b
espct;C14x;;;espct.c014x
espct;C15x;;;espct.c015x
espct;C15B;;;espct.c015b
espct;C16x;;;espct.c016x
espct;C16C;;;espct.c016c
espct;C17x;;;espct.c017x
espct;C25x;;;espct.c025x
espct;C25D;;;espct.c025d
espct;C26;;Balaguer;espct.c026
espct;C26;;Figueres;espct.c026fig
espct;C28;;;espct.c028
espct;C31;;Vilanova i la Geltru;espct.c031vil
espct;C31x;;el Prat de Llobregat;espct.c031prax
espct;C31x;;Badalona;espct.c031x
espct;C31x;;Palafrugell;espct.c031palx
espct;C31B;;;espct.c031b
espct;C31C;;;espct.c031c
espct;C31D;;;espct.c031d
espct;C31E;;;espct.c031e
espct;C31F;;;espct.c031f
espct;C32x;;Vilanova i la Geltru;espct.c032x
espct;C32x;;Matero;espct.c032matx
espct;C32B;;;espct.c032b
espct;C33x;;;espct.c033x
espct;C35x;;Sant Celoni;espct.c035x
espct;C35;;Montmelo;espct.c035mon
espct;C37;;Igualada;espct.c037
espct;C37;;Torello;espct.c037tor
espct;C38;;;espct.c038
espct;C42;;;espct.c042
espct;C43;;;espct.c043
espct;C44;;;espct.c044
espct;C45;;;espct.c045
espct;C51;;;espct.c051
espct;C53;;;espct.c053
espct;C55;;;espct.c055
espct;C58x;;;espct.c058x
espct;C58Cx;;;espct.c058cx
espct;C59;;;espct.c059
espct;C60x;;;espct.c060x
espct;C61;;;espct.c061
espct;C62;;;espct.c062
espct;C63;;;espct.c063
espct;C65x;;;espct.c065x
espct;C66;;;espct.c066
