systemName;region;route;banner;abbrev;city;root
indup;IND-UP;UP1;;;;indup.up001;
indup;IND-UP;UP1A;;;;indup.up001a;
indup;IND-UP;UP1B;;;;indup.up001b;
indup;IND-UP;UP5;;;;indup.up005;
indup;IND-UP;UP5A;;;;indup.up005a;
indup;IND-UP;UP7;;;;indup.up007;
indup;IND-UP;UP9;;;;indup.up009;
indup;IND-UP;UP9A;;;;indup.up009a;
indup;IND-UP;UP12;;kai;Kairana;indup.up012kai;
indup;IND-UP;UP12;;;Bijnor;indup.up012;
indup;IND-UP;UP12A;;;;indup.up012a;
indup;IND-UP;UP13;;;;indup.up013;
indup;IND-UP;UP13A;;;;indup.up013a;
indup;IND-UP;UP39;;;;indup.up039;
indup;IND-UP;UP62;;;;indup.up062;
