systemName;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
jpnhkt;JPN;N17;Byp;Omi;Shin Ōmiya Bypass;jpn.n017bypomi;
jpnhkt;JPN;N17;Byp;Ura;Urasa Bypass;jpn.n017bypura;
jpnhkt;JPN;N18;;;;jpn.n018;
jpnhkt;JPN;N18;Byp;Kar;Karuizawa Bypass;jpn.n018bypkar;
jpnhkt;JPN;N18;Byp;Nag;Nagano Higashi Bypass;jpn.n018bypnag;
jpnhkt;JPN;N18;Byp;Sak;Sakaki-Kōshoku Bypass;jpn.n018bypsak;
jpnhkt;JPN;N18;Byp;Ued;Ueda Bypass;jpn.n018bypued;
jpnhkt;JPN;N18;;Shi;Shinanomachi Spur;jpn.n018sprshi;
jpnhkt;JPN;N19;;;;jpn.n019;
jpnhkt;JPN;N19;Byp;Nag;Nagano Minami Bypass;jpn.n019bypnag;
jpnhkt;JPN;N19;;Nie;Niekawa Old Road;jpn.n019oldnie;
jpnhkt;JPN;N20;;;;jpn.n020;
jpnhkt;JPN;N20;Byp;Hac;Hachioji Minami Bypass;jpn.n020byphac;
jpnhkt;JPN;N20;Byp;Mej;Hachioji Minami Bypass Mejiro;jpn.n020bypmej;
jpnhkt;JPN;N20;Byp;Ots;Ōtsuki Bypass;jpn.n020bypots;
jpnhkt;JPN;N20;Byp;Shi;Shimosuwa-Okaya Bypass;jpn.n020bypshi;
jpnhkt;JPN;N20;Byp;Suw;Suwa Bypass;jpn.n020bypsuw;
jpnhkt;JPN;N21;;;;jpn.n021;
jpnhkt;JPN;N21;Byp;Sek;Sekigahara Bypass;jpn.n021bypsek;
jpnhkt;JPN;N21;;Mit;Mitake Old Road;jpn.n021oldmit;
jpnhkt;JPN;N22;;;;jpn.n022;
jpnhkt;JPN;N23;;;;jpn.n023;
jpnhkt;JPN;N23;Byp;Chu;Chūsei Bypass;jpn.n023bypchu;
jpnhkt;JPN;N23;Byp;Oka;Okazaki-Gamagori Bypass;jpn.n023bypoka;
jpnhkt;JPN;N23;Byp;Toy;Toyohashi Bypass;jpn.n023byptoy;
jpnhkt;JPN;N23;;Toy;Toyoaki Connector;jpn.n023sprtoy;
jpnhkt;JPN;N41;;;;jpn.n041;
jpnhkt;JPN;N50;;;;jpn.n050;
jpnhkt;JPN;N50;Byp;Mit;Mito Bypass;jpn.n050bypmit;
jpnhkt;JPN;N51;;;;jpn.n051;
jpnhkt;JPN;N51;Byp;KC;Kita Chiba Bypass;jpn.n051bypkc;
jpnhkt;JPN;N51;;Jun;Jungūbashi Old Road;jpn.n051oldjun;
jpnhkt;JPN;N52;;;;jpn.n052;
jpnhkt;JPN;N52;Byp;Kof;Kofu Bypass;jpn.n052bypkof;
jpnhkt;JPN;N116;;;;jpn.n116;
jpnhkt;JPN;N117;;;;jpn.n117;
jpnhkt;JPN;N118;;;;jpn.n118;
jpnhkt;JPN;N118;Byp;Fuk;Fukuroda Bypass;jpn.n118bypfuk;
jpnhkt;JPN;N119;;;;jpn.n119;
jpnhkt;JPN;N119;Byp;Nik;Nikkō-Utsunomiya Road;jpn.n119bypnik;
jpnhkt;JPN;N119;Byp;Uts;Utsunomiya Ring Road - North Road;jpn.n119byputs;
jpnhkt;JPN;N119;;Nik;Nikkō Old Road;jpn.n119oldnik;
jpnhkt;JPN;N119;;Osa;Osawa Old Road;jpn.n119oldosa;
jpnhkt;JPN;N119;;Uts;Utsunomiya Connector;jpn.n119spruts;
jpnhkt;JPN;N120;;;;jpn.n120;
jpnhkt;JPN;N120;;Iro;Iroha Road #1;jpn.n120iro;
jpnhkt;JPN;N120;Byp;Nik;Nikkō-Utsunomiya Road;jpn.n120bypnik;
jpnhkt;JPN;N122;;;;jpn.n122;
jpnhkt;JPN;N122;;Iwa;Iwatsuki Old Road;jpn.n122oldiwa;
jpnhkt;JPN;N122;;Yae;Yaegasa Road;jpn.n122spryae;
jpnhkt;JPN;N123;;;;jpn.n123;
jpnhkt;JPN;N123;;Shi;Shirosato Old Road;jpn.n123oldshi;
jpnhkt;JPN;N124;;;;jpn.n124;
jpnhkt;JPN;N124;;Kas;Kashima Old Road;jpn.n124oldkas;
jpnhkt;JPN;N125;;;;jpn.n125;
jpnhkt;JPN;N125;Byp;Ami;Ami-Miho Bypass;jpn.n125bypami;
jpnhkt;JPN;N125;Byp;Tsu;Tsukuba Bypass;jpn.n125byptsu;
jpnhkt;JPN;N125;;Kaz;Kazo Old Road;jpn.n125oldkaz;
jpnhkt;JPN;N125;;Tsu;Tsuchiura Old Road;jpn.n125oldtsu;
jpnhkt;JPN;N126;;;;jpn.n126;
jpnhkt;JPN;N126;Byp;Sam;Sammu-Tōgane Bypass;jpn.n126bypsam;
jpnhkt;JPN;N126;;Ina;Inage Old Road;jpn.n126oldina;
jpnhkt;JPN;N127;;;;jpn.n127;
jpnhkt;JPN;N127;Byp;Fut;Futtsu-Tateyama Road;jpn.n127bypfut;
jpnhkt;JPN;N128;;;;jpn.n128;
jpnhkt;JPN;N128;;Ama;Amatsu Old Road;jpn.n128oldama;
jpnhkt;JPN;N128;;Oki;Okitsu Old Road;jpn.n128oldoki;
jpnhkt;JPN;N129;;;;jpn.n129;
jpnhkt;JPN;N130;;;;jpn.n130;
jpnhkt;JPN;N131;;;;jpn.n131;
jpnhkt;JPN;N132;;;;jpn.n132;
jpnhkt;JPN;N133;;;;jpn.n133;
jpnhkt;JPN;N134;;;;jpn.n134;
jpnhkt;JPN;N134;;Ois;Ōiso Connector;jpn.n134sprois;
jpnhkt;JPN;N135;;;;jpn.n135;
jpnhkt;JPN;N135;Byp;Man;Manazuru Road;jpn.n135bypman;
jpnhkt;JPN;N135;;Ito;Itō Old Road;jpn.n135oldito;
jpnhkt;JPN;N137;;;;jpn.n137;
jpnhkt;JPN;N137;Byp;Yos;Yoshida-Kawaguchiko Bypass;jpn.n137bypyos;
jpnhkt;JPN;N137;;Mis;Misaka Old Road;jpn.n137oldmis;
jpnhkt;JPN;N138;;;;jpn.n138;
jpnhkt;JPN;N138;;Got;Gotemba Spur;jpn.n138sprgot;
jpnhkt;JPN;N138;Byp;Fuj;Higashi-Fujigoko Road;jpn.n138bypfuj;
jpnhkt;JPN;N139;;;;jpn.n139;
jpnhkt;JPN;N139;Byp;FI;Fuji Improvement;jpn.n139bypfi;
jpnhkt;JPN;N139;Byp;FIS;Fuji Improvement South;jpn.n139bypfis;
jpnhkt;JPN;N139;Byp;Fuj;Fujimi Bypass;jpn.n139bypfuj;
jpnhkt;JPN;N139;Byp;Tsu;Tsuru Bypass;jpn.n139byptsu;
jpnhkt;JPN;N140;;;;jpn.n140;
jpnhkt;JPN;N140;;Man;Manriki Connector;jpn.n140sprman;
jpnhkt;JPN;N140;;Ota;Otaki Old Road;jpn.n140oldota;
jpnhkt;JPN;N140;Byp;Han;Hanazono Bypass;jpn.n140byphan;
jpnhkt;JPN;N140;Byp;Min;Minano Bypass;jpn.n140bypmin;
jpnhkt;JPN;N140;Byp;NKR;Nishi Kantō Road;jpn.n140bypnkr;
jpnhkt;JPN;N141;;;;jpn.n141;
jpnhkt;JPN;N142;;;;jpn.n142;
jpnhkt;JPN;N142;;Wad;Wada Old Road;jpn.n142oldwad;
jpnhkt;JPN;N142;Byp;Shi;Shimosuwa Bypass;jpn.n142bypshi;
jpnhkt;JPN;N143;;;;jpn.n143;
jpnhkt;JPN;N143;;Ued;Ueda Old Road;jpn.n143oldued;
jpnhkt;JPN;N144;;;;jpn.n144;
jpnhkt;JPN;N145;;;;jpn.n145;
jpnhkt;JPN;N145;;Aga;Agatsuma Old Road;jpn.n145oldaga;
jpnhkt;JPN;N145;Byp;Nag;Naganohara Bypass;jpn.n145bypnag;
jpnhkt;JPN;N146;;;;jpn.n146;
jpnhkt;JPN;N147;;;;jpn.n147;
jpnhkt;JPN;N148;;;;jpn.n148;
jpnhkt;JPN;N149;;;;jpn.n149;
jpnhkt;JPN;N150;;;;jpn.n150;
jpnhkt;JPN;N150;Byp;Hai;Shida-Hainan Bypass;jpn.n150byphai;
jpnhkt;JPN;N150;Byp;Kak;Kaketsuka Bypass;jpn.n150bypkak;
jpnhkt;JPN;N150;Byp;Nan;Nan-en Road;jpn.n150bypnan;
jpnhkt;JPN;N150;Byp;Shi;Shimizu Bypass;jpn.n150bypshi;
jpnhkt;JPN;N150;Byp;Yai;Yaizu Bypass;jpn.n150bypyai;
jpnhkt;JPN;N151;;;;jpn.n151;
jpnhkt;JPN;N152;;;Nagano-ken;jpn.n152;
jpnhkt;JPN;N152;;Iid;Iida-shi;jpn.n152iid;
jpnhkt;JPN;N152;;Shi;Shizuoka-ken;jpn.n152shi;
jpnhkt;JPN;N152;Byp;Hir;Hiryū Road;jpn.n152byphir;
jpnhkt;JPN;N154;;;;jpn.n154;
jpnhkt;JPN;N164;;;;jpn.n164;
jpnhkt;JPN;N252;;;;jpn.n252;
jpnhkt;JPN;N252;Byp;Hon;Honmei Bypass;jpn.n252byphon;
jpnhkt;JPN;N295;;;;jpn.n295;
jpnhkt;JPN;N296;;;;jpn.n296;
jpnhkt;JPN;N296;Byp;Sak;Sakura Bypass;jpn.n296bypsak;
jpnhkt;JPN;N296;Byp;Yac;Yachiyo Bypass;jpn.n296bypyac;
jpnhkt;JPN;N350;;;Niigata;jpn.n350;
jpnhkt;JPN;N350;;Joe;Jōetsu;jpn.n350joe;
jpnhkt;JPN;N350;;Sad;Sadoshima;jpn.n350sad;
jpnhkt;JPN;N356;;;;jpn.n356;
jpnhkt;JPN;N356;Byp;Abi;Abiko Bypass;jpn.n356bypabi;
jpnhkt;JPN;N356;Byp;Cho;Chōshi Bypass;jpn.n356bypcho;
jpnhkt;JPN;N356;Byp;Omi;Omigawa-Tonosho Bypass;jpn.n356bypomi;
jpnhkt;JPN;N356;;Inz;Inzai Old Road;jpn.n356oldinz;
jpnhkt;JPN;N356;;Kat;Katori-Kōzaki Old Road;jpn.n356oldkat;
jpnhkt;JPN;N470;;;Noetsu Expressway;jpn.n470;
jpnhkt;JPN;N470;;Ana;Noetsu Expressway Anamizu;jpn.n470ana;
