System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
gbna1;ENG;A1021;;;;eng.a1021;
gbna1;ENG;A1022;;;;eng.a1022;
gbna1;ENG;A1023;;;;eng.a1023;
gbna1;ENG;A1024;;;;eng.a1024;
gbna1;ENG;A1025;;;;eng.a1025;
gbna1;ENG;A1027;;;;eng.a1027;
gbna1;ENG;A1028;;;;eng.a1028;
gbna1;ENG;A1029;;;;eng.a1029;
gbna1;ENG;A1031;;;;eng.a1031;
gbna1;ENG;A1032;;;;eng.a1032;
gbna1;ENG;A1033;;;;eng.a1033;
gbna1;ENG;A1034;;;;eng.a1034;
gbna1;ENG;A1035;;;;eng.a1035;
gbna1;ENG;A1036;;;;eng.a1036;
gbna1;ENG;A1036;;Yor;York;eng.a1036yor;
gbna1;ENG;A1037;;;;eng.a1037;
gbna1;ENG;A1038;;;;eng.a1038;
gbna1;ENG;A1039;;;;eng.a1039;
gbna1;ENG;A1041;;;;eng.a1041;
gbna1;ENG;A1042;;;Norwich;eng.a1042;
gbna1;ENG;A1042;;Red;Redcar;eng.a1042red;
gbna1;ENG;A1043;;;;eng.a1043;
gbna1;ENG;A1044;;;;eng.a1044;
gbna1;ENG;A1046;;;;eng.a1046;
gbna1;ENG;A1048;;;;eng.a1048;
gbna1;ENG;A1049;;;;eng.a1049;
gbna1;ENG;A1052;;;;eng.a1052;
gbna1;ENG;A1053;;;;eng.a1053;
gbna1;ENG;A1054;;;;eng.a1054;
gbna1;ENG;A1055;;;;eng.a1055;
gbna1;ENG;A1056;;Nor;Norwich;eng.a1056nor;
gbna1;ENG;A1056;;;Killingworth;eng.a1056;
gbna1;ENG;A1057;;;;eng.a1057;
gbna1;ENG;A1058;;;;eng.a1058;
gbna1;ENG;A1060;;;;eng.a1060;
gbna1;ENG;A1061;;;;eng.a1061;
gbna1;ENG;A1062;;;;eng.a1062;
gbna1;ENG;A1064;;;;eng.a1064;
gbna1;ENG;A1065;;;;eng.a1065;
gbna1;ENG;A1066;;;;eng.a1066;
gbna1;ENG;A1067;;;;eng.a1067;
gbna1;ENG;A1068;;;;eng.a1068;
gbna1;ENG;A1069;;;;eng.a1069;
gbna1;ENG;A1070;;;;eng.a1070;
gbna1;ENG;A1071;;;;eng.a1071;
gbna1;ENG;A1072;;;;eng.a1072;
gbna1;ENG;A1074;;;;eng.a1074;
gbna1;ENG;A1075;;;;eng.a1075;
gbna1;ENG;A1076;;;;eng.a1076;
gbna1;ENG;A1077;;;;eng.a1077;
gbna1;ENG;A1078;;;;eng.a1078;
gbna1;ENG;A1079;;;;eng.a1079;
gbna1;ENG;A1080;;;;eng.a1080;
gbna1;ENG;A1081;;;;eng.a1081;
gbna1;ENG;A1082;;;;eng.a1082;
gbna1;ENG;A1083;;;;eng.a1083;
gbna1;ENG;A1084;;;;eng.a1084;
gbna1;ENG;A1085;;;;eng.a1085;
gbna1;ENG;A1086;;;;eng.a1086;
gbna1;SCT;A1087;;;;sct.a1087;
gbna1;ENG;A1088;;;;eng.a1088;
gbna1;ENG;A1089;;;;eng.a1089;
gbna1;ENG;A1090;;;;eng.a1090;
gbna1;ENG;A1092;;;;eng.a1092;
gbna1;ENG;A1094;;;;eng.a1094;
gbna1;ENG;A1095;;;;eng.a1095;
gbna1;ENG;A1096;;;;eng.a1096;
gbna1;ENG;A1098;;;;eng.a1098;
gbna1;ENG;A1099;;;;eng.a1099;
gbna1;ENG;A1101;;;;eng.a1101;
gbna1;ENG;A1103;;;;eng.a1103;
gbna1;ENG;A1104;;;;eng.a1104;
gbna1;ENG;A1105;;;;eng.a1105;
gbna1;SCT;A1107;;;;sct.a1107;
gbna1;ENG;A1108;;;;eng.a1108;
gbna1;ENG;A1110;;;;eng.a1110;
gbna1;ENG;A1111;;;;eng.a1111;
gbna1;ENG;A1112;;;;eng.a1112;
gbna1;ENG;A1114;;Che;Chelmsford;eng.a1114che;
gbna1;ENG;A1114;;;Metro Centre;eng.a1114;
gbna1;ENG;A1117;;;;eng.a1117;
gbna1;ENG;A1120;;;;eng.a1120;
gbna1;ENG;A1121;;;;eng.a1121;
gbna1;ENG;A1122;;;;eng.a1122;
gbna1;ENG;A1123;;;;eng.a1123;
gbna1;ENG;A1124;;;;eng.a1124;
gbna1;ENG;A1129;;;;eng.a1129;
