systemName;region;route;banner;abbrev;city;root;altRouteNames
canyt;YT;YT1;;Wat;Watson Lake;yt.yt001wat
canyt;BC;YT1;;;;bc.yt001
canyt;YT;YT1;;;;yt.yt001
canyt;YT;YT1A;;Whi;Whitehorse;yt.yt001awhi
canyt;BC;YT2;;;;bc.yt002
canyt;YT;YT2;;;;yt.yt002
canyt;BC;YT3;;;;bc.yt003
canyt;YT;YT3;;;;yt.yt003
canyt;YT;YT4;;;;yt.yt004
canyt;YT;YT5;;;;yt.yt005
canyt;YT;YT6;;;;yt.yt006
canyt;BC;YT7;;;;bc.yt007
canyt;YT;YT7;;;;yt.yt007
canyt;YT;YT8;;;;yt.yt008
canyt;YT;YT9;;;;yt.yt009
canyt;YT;YT10;;;;yt.yt010
canyt;YT;YT11;;;;yt.yt011
canyt;YT;YT14;;;;yt.yt014
canyt;YT;YT15;;;;yt.yt015
canyt;YT;YT37;;;;yt.yt037
