systemName;region;route;banner;abbrev;city;root;altRouteNames;
ausvicb;AUS-VIC;B12;;;;ausvic.b012;
ausvicb;AUS-VIC;B23;;;;ausvic.b023;
ausvicb;AUS-VIC;B29;;;;ausvic.b029;
ausvicb;AUS-VIC;B59;;;;ausvic.b059;
ausvicb;AUS-VIC;B75;;;;ausvic.b075;
ausvicb;AUS-VIC;B77;;;;ausvic.b077;
ausvicb;AUS-VIC;B91;;;;ausvic.b091;
ausvicb;AUS-VIC;B92;;;;ausvic.b092;
ausvicb;AUS-VIC;B94;;;;ausvic.b094;
ausvicb;AUS-VIC;B100;;;;ausvic.b100;
ausvicb;AUS-VIC;B110;;Gee;Geelong;ausvic.b110gee;
ausvicb;AUS-VIC;B110;;;Rosebud;ausvic.b110;
ausvicb;AUS-VIC;B120;;;;ausvic.b120;
ausvicb;AUS-VIC;B130;;;;ausvic.b130;
ausvicb;AUS-VIC;B140;;;;ausvic.b140;
ausvicb;AUS-VIC;B160;;;;ausvic.b160;
ausvicb;AUS-VIC;B180;;;;ausvic.b180;
ausvicb;AUS-VIC;B200;;;;ausvic.b200;
ausvicb;AUS-VIC;B210;;;;ausvic.b210;
ausvicb;AUS-VIC;B220;;;;ausvic.b220;
ausvicb;AUS-VIC;B240;;;;ausvic.b240;
ausvicb;AUS-VIC;B260;;;;ausvic.b260;
ausvicb;AUS-VIC;B280;;;;ausvic.b280;
ausvicb;AUS-VIC;B300;;;;ausvic.b300;
ausvicb;AUS-VIC;B320;;;;ausvic.b320;
ausvicb;AUS-VIC;B340;;;;ausvic.b340;
ausvicb;AUS-VIC;B360;;;;ausvic.b360;
ausvicb;AUS-VIC;B380;;;;ausvic.b380;
ausvicb;AUS-VIC;B400;;;;ausvic.b400;
ausvicb;AUS-VIC;B420;;;;ausvic.b420;
ausvicb;AUS-VIC;B460;;;;ausvic.b460;
ausvicb;AUS-VIC;B500;;;;ausvic.b500;
ausvicb;AUS-VIC;B668;;;;ausvic.b668;
ausvicb;AUS-VIC;B675;;;;ausvic.b675;
ausvicb;AUS-VIC;B716;;;;ausvic.b716;
ausvicb;AUS-VIC;B840;;;;ausvic.b840;C701
ausvicb;AUS-VIC;B861;;;;ausvic.b861;C108
ausvicb;AUS-VIC;B980;;;;ausvic.b980;
