systemName;region;route;banner;abbrev;city;root;altRouteNames
srbm;SRB;M2;;;;srb.m002;
srbm;SRB;M3;;;;srb.m003;
srbm;SRB;M6;;;;srb.m006;
srbm;SRB;M7;;;Pozarevac;srb.m007;
srbm;SRB;M7;;Vel;Veliko Gradiste;srb.m007vel;
srbm;SRB;M9;;;;srb.m009;
srbm;SRB;M11;;;;srb.m011;
srbm;SRB;M12;;;;srb.m012;
srbm;SRB;M15;;;;srb.m015;
