systemName;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
jpnhks;JPN;N28;;;Kōbe;jpn.n028;
jpnhks;JPN;N28;;Awa;Awajishima;jpn.n028awa;
jpnhks;JPN;N28;;Iwa;Iwaji Spur;jpn.n028iwa;
jpnhks;JPN;N28;Byp;KAN;Kōbe-Awaji-Naruto Expressway (E28);jpn.n028bypkan;
jpnhks;JPN;N30;;;;jpn.n030;
jpnhks;JPN;N30;Byp;Set;Seto Chūo Expressway (E30);jpn.n030bypset;
jpnhks;JPN;N317;;Iku;Ikuchijima;jpn.n317iku;
jpnhks;JPN;N317;;Inn;Innoshima;jpn.n317inn;
jpnhks;JPN;N317;;Muk;Mukaishima;jpn.n317muk;
jpnhks;JPN;N437;;Kug;Kuga;jpn.n437kug;
jpnhks;JPN;N437;;Osh;Ōshima Ōhashi Connector;jpn.n437osh;
jpnhks;JPN;N491;;;;jpn.n491;
jpnhks;JPN;N491;Byp;Nag;Nagato-Mine Line (E9);jpn.n491bypnag;
