systemName;route;banner;groupName;roots
engmk;ENG;H1;;Ridgeway (Galley Hill);eng.h001gal
engmk;ENG;H1;;Ridgeway (Wolverton Mill);eng.h001
engmk;ENG;H2;;Millers Way;eng.h002
engmk;ENG;H3;;Monks Way;eng.h003
engmk;ENG;H4;;Dansteed Way;eng.h004
engmk;ENG;H5;;Portway;eng.h005
engmk;ENG;H6;;Childs Way;eng.h006
engmk;ENG;H7;;Chaffron Way;eng.h007
engmk;ENG;H8;;Standing Way;eng.h008
engmk;ENG;H9;;Groveway;eng.h009
engmk;ENG;H10;;Bletcham Way;eng.h010
engmk;ENG;V1;;Shelshall Street;eng.v001
engmk;ENG;V2;;Tattenhoe Street;eng.v002
engmk;ENG;V3;;Fulmer Street;eng.v003
engmk;ENG;V4;;Watling Street;eng.v004
engmk;ENG;V5;;Great Monks Street;eng.v005
engmk;ENG;V6;;Grafton Street;eng.v006
engmk;ENG;V7;;Saxon Street;eng.v007
engmk;ENG;V8;;Marlborough Street;eng.v008
engmk;ENG;V9;;Overstreet;eng.v009
engmk;ENG;V10;;Brickhill Street;eng.v010
engmk;ENG;V11;;Tongwell Street;eng.v011
