system;route;banner;groupname;roots
asim;M5;;(outline);irq.m005,kwt.m005,sau.m005,are.m005,omn.m005
asim;M7;;(outline);are.m007,omn.m007
asim;M9;;(outline);are.m009,omn.m009
asim;M10;;(outline);irq.m010,syr.m010
asim;M15;;(outline);syr.m015,irq.m015
asim;M20;;(outline);syr.m020
asim;M25;;(outline);sau.m025
asim;M30;;(outline);lbn.m030,syr.m030,irq.m030
asim;M35;;(outline);jor.m035,sau.m035
asim;M40;;(outline);irq.m040,jor.m040,pse.m040,isr.m040jer,pse.m040lat,isr.m040,pse.m040gaz,egy.m040
asim;M45;;(outline);syr.m045,jor.m045,sau.m045,yem.m045
asim;M47;;(outline);jor.m047
asim;M50;;(outline);irq.m050,sau.m050,jor.m050,isr.m050,egy.m050
asim;M51;;(outline);syr.m051,lbn.m051
asim;M55;;(outline);egy.m055,isr.m055,jor.m055,sau.m055,yem.m055
asim;M60;;(outline);egy.m060
asim;M65;;(outline);egy.m065
asim;M67;;(outline);egy.m067
asim;M70;;(outline);kwt.m070,sau.m070
asim;M75;;(outline);egy.m075
asim;M80;;(outline);bhr.m080,sau.m080
asim;M90;;(outline);qat.m090,sau.m090
asim;M100;;(outline);omn.m100,yem.m100
