System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
itass2;ITA-FRI;SS14;Racc;;;itafri.ss014racc;
itass2;ITA-VEN;SS14;Var;Mus;Musile di Piave;itaven.ss014varmus;
itass2;ITA-VEN;SS14;Var;SDP;San Donà di Piave;itaven.ss014varsdp;
itass2;ITA-VEN;SS14;Var;Por;Portogruaro;itaven.ss014varpor;
itass2;ITA-VEN;SS16;;Rov;Rovigo;itaven.ss016rov;
itass2;ITA-EMI;SS16;;Rov;Rovigo;itaemi.ss016rov;
itass2;ITA-EMI;SS16;;;Ravenna;itaemi.ss016;
itass2;ITA-MAR;SS16;;;Ravenna;itamar.ss016;
itass2;ITA-ABR;SS16;;;Ravenna;itaabr.ss016;
itass2;ITA-ABR;SS16;;Ort;Ortona;itaabr.ss016ort;
itass2;ITA-MOL;SS16;;Ort;Ortona;itamol.ss016ort;
itass2;ITA-MOL;SS16;;Bar;Bari;itamol.ss016bar;
itass2;ITA-PUG;SS16;;Bar;Bari;itapug.ss016bar;
itass2;ITA-PUG;SS16;;Bri;Brindisi;itapug.ss016bri;
itass2;ITA-PUG;SS16;;NLe;(North) Lecce;itapug.ss016nle;
itass2;ITA-PUG;SS16;;Lec;Lecce;itapug.ss016lec;
itass2;ITA-ABR;SS16;Dir;;;itaabr.ss016dir;
itass2;ITA-MAR;SS16;Dir;;;itamar.ss016dir;
itass2;ITA-LAZ;SS17;;;L'Aquila;italaz.ss017;
itass2;ITA-ABR;SS17;;;L'Aquila;itaabr.ss017;
itass2;ITA-ABR;SS17;;Ise;Isernia;itaabr.ss017ise;
itass2;ITA-MOL;SS17;;Ise;Isernia;itamol.ss017ise;
itass2;ITA-CAM;SS17;;SMC;San Marco la Catola;itacam.ss017smc;
itass2;ITA-PUG;SS17;;SMC;San Marco la Catola;itapug.ss017smc;
itass2;ITA-PUG;SS17;;Fog;Foggia;itapug.ss017fog;
itass2;ITA-ABR;SS17;Bis;;;itaabr.ss017bis;
itass2;ITA-UMB;SS17;Ter;;;itaumb.ss017ter;
itass2;ITA-MOL;SS17;Var;For;Forli del Sanno;itamol.ss017varfor;
itass2;ITA-ABR;SS17;Var;For;Forli del Sanno;itaabr.ss017varfor;
itass2;ITA-PUG;SS17;Var;Vol;Volturara;itapug.ss017varvol;
itass2;ITA-CAM;SS18;;Sal;Salerno;itacam.ss018sal;
itass2;ITA-CAM;SS18;;;Vibo Valentina;itacam.ss018;
itass2;ITA-BAS;SS18;;;Vibo Valentina;itabas.ss018;
itass2;ITA-CAL;SS18;;;Vibo Valentina;itacal.ss018;
itass2;ITA-CAM;SS18;Var;Omi;Omiganano Salento;itacam.ss018varomi;
itass2;ITA-CAM;SS18;Var;Cli;Cilentana;itacam.ss018varcli;
itass2;ITA-CAM;SS19;;;;itacam.ss019;
itass2;ITA-BAS;SS19;;;Fortino;itabas.ss019;
itass2;ITA-CAM;SS19;;For;Fortino;itacam.ss019for;
itass2;ITA-BAS;SS19;;Mon;Monte Cervano;itabas.ss019mon;
itass2;ITA-CAM;SS19;Ter;;;itacam.ss019ter;
itass2;ITA-PIE;SS20;;;;itapie.ss020;
itass2;ITA-LIG;SS20;;;;italig.ss020;
itass2;ITA-PIE;SS21;;;;itapie.ss021;
itass2;ITA-PIE;SS24;;;;itapie.ss024;
itass2;ITA-PIE;SS25;;;;itapie.ss025;
itass2;ITA-PIE;SS26;;;Ivrea;itapie.ss026;
itass2;ITA-VAL;SS26;;;Ivrea;itaval.ss026;
itass2;ITA-VAL;SS26;;Der;Derby;itaval.ss026der;
itass2;ITA-VAL;SS26;Dir;;;itaval.ss026dir;
itass2;ITA-VAL;SS27;;;Saint Bernard;itaval.ss027;
itass2;ITA-VAL;SS27;;Var;Variney;itaval.ss027var;
itass2;ITA-VAL;SS27;Var;Gig;Gignod;itaval.ss027vargig;
itass2;ITA-PIE;SS28;;;Mondovi;itapie.ss028;
itass2;ITA-LIG;SS28;;;Mondovi;italig.ss028;
itass2;ITA-LIG;SS28;;Ces;Cesio;italig.ss028ces;
itass2;ITA-LIG;SS28;;Imp;Imperia;italig.ss028imp;
itass2;ITA-LIG;SS28;Var;Pie;Pieve di Teco;italig.ss028varpie;
itass2;ITA-LIG;SS28;Var;Chi;Chiusanico;italig.ss028varchi;
itass2;ITA-LIG;SS29;;;;italig.ss029;
itass2;ITA-LIG;SS29;Var;;;italig.ss029var;
itass2;ITA-LIG;SS30;;;;italig.ss030;
itass2;ITA-PIE;SS32;;;;itapie.ss032;
itass2;ITA-LOM;SS33;;;;italom.ss033;
itass2;ITA-PIE;SS33;;;;itapie.ss033;
itass2;ITA-PIE;SS34;;;;itapie.ss034;
itass2;ITA-LOM;SS36;;;;italom.ss036;
itass2;ITA-LOM;SS36;Racc;;;italom.ss036racc;
itass2;ITA-LOM;SS37;;;;italom.ss037;
itass2;ITA-LOM;SS38;;;;italom.ss038;
itass2;ITA-TRE;SS38;;;;itatre.ss038;
itass2;ITA-LOM;SS38;Dir;Tir;Tirano;italom.ss038dirtir;
itass2;ITA-LOM;SS38;Dir;Ste;Stelvio;italom.ss038dirste;
itass2;ITA-LOM;SS38;Var;;;italom.ss038var;
itass2;ITA-LOM;SS39;;;;italom.ss039;
itass2;ITA-TRE;SS40;;;;itatre.ss040;
itass2;ITA-TRE;SS41;;;;itatre.ss041;
itass2;ITA-LOM;SS42;;Ber;Bergamo;italom.ss042ber;
itass2;ITA-LOM;SS42;;;Bozen;italom.ss042;
itass2;ITA-TRE;SS42;;;Bozen;itatre.ss042;
itass2;ITA-LOM;SS42;Dir;;;italom.ss042dir;
itass2;ITA-TRE;SS43;;;;itatre.ss043;
itass2;ITA-TRE;SS43;Dir;;;itatre.ss043dir;
itass2;ITA-TRE;SS43;Racc;;;itatre.ss043racc;
itass2;ITA-TRE;SS44;;;;ita.ss044;
itass2;ITA-TRE;SS44;Bis;;;ita.ss044bis;
itass2;ITA-LIG;SS45;;;;italig.ss045;
itass2;ITA-EMI;SS45;;;;itaemi.ss045;
itass2;ITA-LOM;SS45;Bis;;;italom.ss045bis;
itass2;ITA-TRE;SS45;Bis;;;itatre.ss045bis;
itass2;ITA-LOM;SS45;Ter;;;italom.ss045ter;
itass2;ITA-LIG;SS45;Var;;;italig.ss045var;
itass2;ITA-TRE;SS46;;;;itatre.ss046;
