systemName;region;route;banner;abbrev;city;root
indne;IND-GJ;NE1;;;;indgj.ne001;
indne;IND-DL;NE3;;;Delhi-Meerut Expressway;inddl.ne003;
indne;IND-UP;NE3;;;Delhi-Meerut Expressway;indup.ne003;
