system;region;route;banner;abbrev;city;fileroot;AltRouteNames
espcm;ESP-CM;CM10;x;;;espcm.cm010x;
espcm;ESP-CM;CM40;x;;;espcm.cm040x;
espcm;ESP-CM;CM41;x;;;espcm.cm041x;
espcm;ESP-CM;CM42;x;;;espcm.cm042x;
espcm;ESP-CM;CM43;x;;;espcm.cm043x;
espcm;ESP-CM;CM45;x;;;espcm.cm045x;
espcm;ESP-CM;CM101;;;;espcm.cm101;
espcm;ESP-CM;CM110;;;;espcm.cm110;
espcm;ESP-CM;CM200;;;;espcm.cm200;
espcm;ESP-CM;CM210;;;;espcm.cm210;
espcm;ESP-CM;CM211;;;;espcm.cm211;
espcm;ESP-CM;CM213;;;;espcm.cm213;
espcm;ESP-CM;CM215;;;;espcm.cm215;
espcm;ESP-CM;CM220;;;;espcm.cm220;
espcm;ESP-CM;CM310;;;;espcm.cm310;
espcm;ESP-CM;CM311;;;;espcm.cm311;
espcm;ESP-CM;CM313;;;;espcm.cm313;
espcm;ESP-CM;CM316;;;;espcm.cm316;
espcm;ESP-CM;CM320;;;;espcm.cm320;
espcm;ESP-CM;CM322;;;;espcm.cm322;
espcm;ESP-CM;CM401;;;;espcm.cm401;
espcm;ESP-CM;CM403;;;;espcm.cm403;
espcm;ESP-CM;CM410;;;;espcm.cm410;
espcm;ESP-CM;CM411;;;;espcm.cm411;
espcm;ESP-CM;CM412;;;Hellin;espcm.cm412;
espcm;ESP-CM;CM412;;Ciu;Ciudad Real;espcm.cm412ciu;
espcm;ESP-CM;CM413;;;;espcm.cm413;
espcm;ESP-CM;CM415;;;;espcm.cm415;
espcm;ESP-CM;CM420;;;;espcm.cm420;
