systemName;region;route;banner;abbrev;city;root;altRouteNames;
austasb;AUS-TAS;B10;;;;austas.b010;
austasb;AUS-TAS;B11;;;;austas.b011;
austasb;AUS-TAS;B12;;;;austas.b012;
austasb;AUS-TAS;B13;;;;austas.b013;
austasb;AUS-TAS;B14;;;;austas.b014;
austasb;AUS-TAS;B15;;;;austas.b015;
austasb;AUS-TAS;B16;;;;austas.b016;
austasb;AUS-TAS;B17;;;;austas.b017;
austasb;AUS-TAS;B18;;;;austas.b018;
austasb;AUS-TAS;B19;;;;austas.b019;
austasb;AUS-TAS;B21;;;;austas.b021;
austasb;AUS-TAS;B22;;;;austas.b022;
austasb;AUS-TAS;B23;;;;austas.b023;
austasb;AUS-TAS;B24;;;;austas.b024;
austasb;AUS-TAS;B25;;;;austas.b025;
austasb;AUS-TAS;B26;;;;austas.b026;
austasb;AUS-TAS;B27;;;;austas.b027;
austasb;AUS-TAS;B28;;;;austas.b028;
austasb;AUS-TAS;B31;;;;austas.b031;
austasb;AUS-TAS;B32;;;;austas.b032;
austasb;AUS-TAS;B33;;;;austas.b033;
austasb;AUS-TAS;B34;;;;austas.b034;
austasb;AUS-TAS;B35;;;;austas.b035;
austasb;AUS-TAS;B36;;;;austas.b036;
austasb;AUS-TAS;B37;;;;austas.b037;
austasb;AUS-TAS;B41;;;;austas.b041;
austasb;AUS-TAS;B42;;;;austas.b042;
austasb;AUS-TAS;B43;;;;austas.b043;
austasb;AUS-TAS;B51;;;;austas.b051;
austasb;AUS-TAS;B52;;;;austas.b052;
austasb;AUS-TAS;B53;;;;austas.b053;
austasb;AUS-TAS;B54;;;;austas.b054;
austasb;AUS-TAS;B61;;;;austas.b061;
austasb;AUS-TAS;B62;;;;austas.b062;
austasb;AUS-TAS;B64;;;;austas.b064;
austasb;AUS-TAS;B66;;;;austas.b066;
austasb;AUS-TAS;B68;;;;austas.b068;
austasb;AUS-TAS;B68;;Kin;Kingston;austas.b068kin;
austasb;AUS-TAS;B71;;;;austas.b071;
austasb;AUS-TAS;B72;;;;austas.b072;
austasb;AUS-TAS;B73;;;;austas.b073;
austasb;AUS-TAS;B74;;;;austas.b074;
austasb;AUS-TAS;B81;;;;austas.b081;
austasb;AUS-TAS;B82;;;;austas.b082;
austasb;AUS-TAS;B83;;;;austas.b083;
austasb;AUS-TAS;B84;;;;austas.b084;
austasb;AUS-TAS;B85;;;;austas.b085;
austasb;AUS-TAS;B110;;;;austas.b110;
