System;Route;Banner;City;Root
gbna1;A1;;London;eng.a001lon
gbna1;A1;;St Neots;eng.a001stn
gbna1;A1;;Newark;eng.a001
gbna1;A1;;Wentbridge;eng.a001wen
gbna1;A1;;Scotch Corner;eng.a001sco
gbna1;A1;;Edinburgh;eng.a001new,sct.a001
gbna1;A10;;(Main);eng.a010
gbna1;A10;;Great Amwell;eng.a010gta
gbna1;A11;;London;eng.a011lon
gbna1;A11;;Norwich;eng.a011
gbna1;A12;;;eng.a012
gbna1;A12;;Lowestoft;eng.a012low
gbna1;A13;;;eng.a013
gbna1;A14;;(Main);eng.a014
gbna1;A14;;Huntingdon;eng.a014hun
gbna1;A15;;(Main);eng.a015
gbna1;A15;;Peterborough;eng.a015pet
gbna1;A16;;;eng.a016
gbna1;A17;;;eng.a017
gbna1;A18;;;eng.a018
gbna1;A19;;;eng.a019
gbna1;A100;;;eng.a100
gbna1;A101;;;eng.a101
gbna1;A102;;;eng.a102
gbna1;A103;;;eng.a103
gbna1;A104;;;eng.a104
gbna1;A105;;;eng.a105
gbna1;A106;;;eng.a106
gbna1;A107;;;eng.a107
gbna1;A109;;;eng.a109
gbna1;A110;;;eng.a110
gbna1;A111;;;eng.a111
gbna1;A112;;;eng.a112
gbna1;A113;;;eng.a113
gbna1;A114;;;eng.a114
gbna1;A116;;;eng.a116
gbna1;A117;;;eng.a117
gbna1;A118;;;eng.a118
gbna1;A119;;;eng.a119
gbna1;A120;;;eng.a120
gbna1;A121;;;eng.a121
gbna1;A123;;;eng.a123
gbna1;A124;;;eng.a124
gbna1;A125;;;eng.a125
gbna1;A126;;;eng.a126
gbna1;A127;;;eng.a127
gbna1;A128;;;eng.a128
gbna1;A129;;;eng.a129
gbna1;A130;;;eng.a130
gbna1;A131;;;eng.a131
gbna1;A132;;;eng.a132
gbna1;A133;;;eng.a133
gbna1;A134;;;eng.a134
gbna1;A135;;;eng.a135
gbna1;A136;;;eng.a136
gbna1;A137;;;eng.a137
gbna1;A138;;;eng.a138
gbna1;A139;;;eng.a139
gbna1;A140;;;eng.a140
gbna1;A141;;;eng.a141
gbna1;A142;;;eng.a142
gbna1;A143;;;eng.a143
gbna1;A144;;;eng.a144
gbna1;A145;;;eng.a145
gbna1;A146;;;eng.a146
gbna1;A147;;;eng.a147
gbna1;A148;;;eng.a148
gbna1;A149;;;eng.a149
gbna1;A151;;;eng.a151
gbna1;A152;;;eng.a152
gbna1;A153;;;eng.a153
gbna1;A154;;;eng.a154
gbna1;A155;;;eng.a155
gbna1;A156;;;eng.a156
gbna1;A157;;;eng.a157
gbna1;A158;;;eng.a158
gbna1;A159;;;eng.a159
gbna1;A160;;;eng.a160
gbna1;A161;;;eng.a161
gbna1;A162;;;eng.a162
gbna1;A163;;;eng.a163
gbna1;A164;;;eng.a164
gbna1;A165;;;eng.a165
gbna1;A166;;;eng.a166
gbna1;A167;;Darlington;eng.a167
gbna1;A167;;Nuns Moor;eng.a167nun
gbna1;A167;;Blakelaw;eng.a167bla
gbna1;A168;;;eng.a168
gbna1;A169;;;eng.a169
gbna1;A170;;;eng.a170
gbna1;A171;;;eng.a171
gbna1;A172;;;eng.a172
gbna1;A173;;;eng.a173
gbna1;A174;;;eng.a174
gbna1;A176;;;eng.a176
gbna1;A177;;;eng.a177
gbna1;A178;;;eng.a178
gbna1;A179;;;eng.a179
gbna1;A180;;;eng.a180
gbna1;A181;;;eng.a181
gbna1;A182;;;eng.a182
gbna1;A183;;;eng.a183
gbna1;A184;;;eng.a184
gbna1;A185;;;eng.a185
gbna1;A186;;;eng.a186
gbna1;A187;;;eng.a187
gbna1;A188;;;eng.a188
gbna1;A189;;;eng.a189
gbna1;A190;;;eng.a190
gbna1;A191;;;eng.a191
gbna1;A192;;;eng.a192
gbna1;A193;;;eng.a193
gbna1;A194;;;eng.a194
gbna1;A195;;;eng.a195
gbna1;A196;;;eng.a196
gbna1;A197;;;eng.a197
gbna1;A198;;;sct.a198
gbna1;A199;;;sct.a199
gbna1;A1000;;;eng.a1000
gbna1;A1001;;;eng.a1001
gbna1;A1003;;;eng.a1003
gbna1;A1004;;;eng.a1004
gbna1;A1005;;;eng.a1005
gbna1;A1006;;;eng.a1006
gbna1;A1008;;;eng.a1008
gbna1;A1009;;;eng.a1009
gbna1;A1010;;;eng.a1010
gbna1;A1011;;;eng.a1011
gbna1;A1012;;;eng.a1012
gbna1;A1013;;;eng.a1013
gbna1;A1014;;;eng.a1014
gbna1;A1015;;;eng.a1015
gbna1;A1016;;;eng.a1016
gbna1;A1017;;;eng.a1017
gbna1;A1018;;;eng.a1018
gbna1;A1019;;;eng.a1019
gbna1;A1020;;;eng.a1020
gbna1;A1021;;;eng.a1021
gbna1;A1022;;;eng.a1022
gbna1;A1023;;;eng.a1023
gbna1;A1024;;;eng.a1024
gbna1;A1025;;;eng.a1025
