System;Region;Route;Banner;Abbrev;City;Route;AltRouteNames
isls;ISL;S577;;;;isl.s577;
isls;ISL;S579;;;;isl.s579;
isls;ISL;S582;;;;isl.s582;
isls;ISL;S585;;;;isl.s585;
isls;ISL;S586;;;;isl.s586;
isls;ISL;S587;;;;isl.s587;
isls;ISL;S590;;;;isl.s590;
isls;ISL;S602;;;;isl.s602;
isls;ISL;S605;;;;isl.s605;
isls;ISL;S606;;;;isl.s606;
isls;ISL;S607;;;;isl.s607;
isls;ISL;S608;;;;isl.s608;
isls;ISL;S612;;;;isl.s612;
isls;ISL;S617;;;;isl.s617;
isls;ISL;S619;;;;isl.s619;
isls;ISL;S622;;;;isl.s622;
isls;ISL;S624;;;;isl.s624;
isls;ISL;S625;;;;isl.s625;
isls;ISL;S630;;;;isl.s630;
isls;ISL;S632;;;;isl.s632;
isls;ISL;S633;;;;isl.s633;
isls;ISL;S634;;;;isl.s634;
isls;ISL;S635;;;;isl.s635;
isls;ISL;S639;;;;isl.s639;
isls;ISL;S641;;;;isl.s641;
isls;ISL;S643;;;;isl.s643;
isls;ISL;S645;;;;isl.s645;
isls;ISL;S649;;;;isl.s649;
isls;ISL;S690;;;;isl.s690;
isls;ISL;S701;;;;isl.s701;
isls;ISL;S702;;;;isl.s702;
isls;ISL;S703;;;;isl.s703;
isls;ISL;S704;;;;isl.s704;
isls;ISL;S711;;;;isl.s711;
isls;ISL;S714;;;;isl.s714;
isls;ISL;S715;;;;isl.s715;
isls;ISL;S716;;;;isl.s716;
isls;ISL;S717;;;;isl.s717;
isls;ISL;S721;;;;isl.s721;
isls;ISL;S722;;;;isl.s722;
isls;ISL;S724;;;;isl.s724;
isls;ISL;S726;;;;isl.s726;
isls;ISL;S731;;;;isl.s731;
isls;ISL;S734;;;;isl.s734;
isls;ISL;S735;;;;isl.s735;
isls;ISL;S741;;;;isl.s741;
isls;ISL;S742;;;;isl.s742;
isls;ISL;S744;;;;isl.s744;
isls;ISL;S745;;;;isl.s745;
isls;ISL;S748;;;;isl.s748;
isls;ISL;S751;;;;isl.s751;
isls;ISL;S752;;;;isl.s752;
isls;ISL;S753;;;;isl.s753;
isls;ISL;S758;;;;isl.s758;
isls;ISL;S759;;;;isl.s759;
isls;ISL;S762;;;;isl.s762;
isls;ISL;S764;;;;isl.s764;
isls;ISL;S767;;;;isl.s767;
isls;ISL;S768;;;;isl.s768;
isls;ISL;S769;;;;isl.s769;
isls;ISL;S781;;;;isl.s781;
isls;ISL;S783;;;;isl.s783;
isls;ISL;S789;;;;isl.s789;
isls;ISL;S793;;;;isl.s793;
isls;ISL;S802;;;;isl.s802;
isls;ISL;S803;;;;isl.s803;
isls;ISL;S805;;;;isl.s805;
isls;ISL;S807;;;;isl.s806;
isls;ISL;S807;;;;isl.s807;
isls;ISL;S808;;;;isl.s808;
isls;ISL;S809;;;;isl.s809;
isls;ISL;S811;;;;isl.s811;
isls;ISL;S812;;;;isl.s812;
isls;ISL;S813;;;;isl.s813;
isls;ISL;S814;;;;isl.s814;
isls;ISL;S815;;;;isl.s815;
isls;ISL;S816;;;;isl.s816;
isls;ISL;S820;;;;isl.s820;
isls;ISL;S821;;;;isl.s821;
isls;ISL;S822;;;;isl.s822;
isls;ISL;S823;;;;isl.s823;
isls;ISL;S824;;;;isl.s824;
isls;ISL;S825;;;;isl.s825;
isls;ISL;S826;;;;isl.s826;
isls;ISL;S828;;;;isl.s828;
isls;ISL;S829;;;;isl.s829;
isls;ISL;S830;;;;isl.s830;
isls;ISL;S841;;;;isl.s841;
isls;ISL;S842;;;;isl.s842;
isls;ISL;S843;;;;isl.s843;
isls;ISL;S844;;;;isl.s844;
isls;ISL;S848;;;;isl.s848;
isls;ISL;S849;;;;isl.s849;
isls;ISL;S851;;;;isl.s851;
isls;ISL;S869;;;;isl.s869;
isls;ISL;S897;;;;isl.s897;
isls;ISL;S901;;;;isl.s901;
isls;ISL;S907;;;;isl.s907;
isls;ISL;S910;;;;isl.s910;
isls;ISL;S914;;;;isl.s914;
isls;ISL;S916;;;;isl.s916;
isls;ISL;S917;;;;isl.s917;
isls;ISL;S919;;;;isl.s919;
isls;ISL;S920;;;;isl.s920;
isls;ISL;S923;;;;isl.s923;
isls;ISL;S924;;;;isl.s924;
isls;ISL;S925;;;;isl.s925;
isls;ISL;S926;;;;isl.s926;
isls;ISL;S927;;;;isl.s927;
isls;ISL;S929;;;;isl.s929;
isls;ISL;S931;;;;isl.s931;
isls;ISL;S933;;;;isl.s933;
isls;ISL;S934;;;;isl.s934;
isls;ISL;S937;;;;isl.s937;
isls;ISL;S939;;;;isl.s939;
isls;ISL;S941;;;;isl.s941;
isls;ISL;S944;;;;isl.s944;
isls;ISL;S946;;;;isl.s946;
isls;ISL;S953;;;;isl.s953;
isls;ISL;S954;;;;isl.s954;
isls;ISL;S955;;;;isl.s955;
isls;ISL;S962;;;;isl.s962;
isls;ISL;S964;;;;isl.s964;
isls;ISL;S966;;;;isl.s966;
isls;ISL;S982;;;;isl.s982;
isls;ISL;S984;;;;isl.s984;
