systemName;region;route;banner;abbrev;city;root;altRouteNames;
ausvictd;AUS-VIC;TD2;;;Yarra Scenic Drive;ausvic.td002;
ausvictd;AUS-VIC;TD7;;;Lakeside & Coastal Tourist Drive;ausvic.td007;
ausvictd;AUS-VIC;TD11;;;Bay West Trail;ausvic.td011;
ausvictd;AUS-VIC;TD12;;;Frankston Cultural Drive;ausvic.td012;
ausvictd;AUS-VIC;TD13;;;Winery Tour;ausvic.td013;
ausvictd;AUS-VIC;TD22;;;Otway Tourist Drive;ausvic.td022;
ausvictd;AUS-VIC;TD31;;;Grampians Scenic Drive;ausvic.td031;
ausvictd;AUS-VIC;TD44;;;Fossickers Drive;ausvic.td044;
ausvictd;AUS-VIC;TD51;;;Lake Boga District Drive;ausvic.td051;
ausvictd;AUS-VIC;TD53;;;Mallee Parks Scenic Route;ausvic.td053;
ausvictd;AUS-VIC;TD54;;;Red Cliffs Tourist Drive;ausvic.td054;
ausvictd;AUS-VIC;TD61;;;Rushworth Hidden Treasures Tourist Drive;ausvic.td061;
ausvictd;AUS-VIC;TD62;;;Gunbower Island Tourist Drive;ausvic.td062;
ausvictd;AUS-VIC;TD63;;;Living Heritage Tourist Drive;ausvic.td063;
ausvictd;AUS-VIC;TD64;;;Winery Trail;ausvic.td064;
ausvictd;AUS-VIC;TD65;;;Military Heritage Trail;ausvic.td065;
ausvictd;AUS-VIC;TD67;;;Gold and Ironbark Trail;ausvic.td067;
ausvictd;AUS-VIC;TD81;;;Snowy River Country Trail;ausvic.td081;
ausvictd;AUS-VIC;TD92;;;Bunurong Coastal Drive;ausvic.td092;
ausvictd;AUS-VIC;TD93;;;Grand Ridge Road;ausvic.td093;
ausvictd;AUS-VIC;TD94;;;Strzelecki Trail;ausvic.td094;
ausvictd;AUS-VIC;TD95;;;Tarra Bulga Trail;ausvic.td095;
ausvictd;AUS-VIC;TD96;;Woo;Ninety Mile Beach (Woodside Beach);ausvic.td096woo;
ausvictd;AUS-VIC;TD96;;Gol;Ninety Mile Beach (Golden Beach);ausvic.td096gol;
ausvictd;AUS-VIC;TD96;;;Ninety Mile Beach (Loch Sport);ausvic.td096;
ausvictd;AUS-VIC;TD97;;;Cape Liptrap Trail;ausvic.td097;
ausvictd;AUS-VIC;TD98;;;Power Trail;ausvic.td098;
ausvictd;AUS-VIC;TD98;;Loy;Power Trail (Loy Yang Power Station);ausvic.td098loy;
