system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
frahdfd62;FRA-HDF;D930;-62;;Beugny;frahdf.d093062;
frahdfd62;FRA-HDF;D930;-62;Gra;Graincourt-lès-Havrincourt;frahdf.d093062gra;
frahdfd62;FRA-HDF;D933;-62;;;frahdf.d093362;
frahdfd62;FRA-HDF;D937;-62;;;frahdf.d093762;
frahdfd62;FRA-HDF;D939;-62;;Hesdin;frahdf.d093962;
frahdfd62;FRA-HDF;D939;-62;Mar;Marquion;frahdf.d093962mar;
frahdfd62;FRA-HDF;D940;-62;;Boulogne-sur-Mer;frahdf.d094062;
frahdfd62;FRA-HDF;D940;-62;Oye;Oye-Plage;frahdf.d094062oye;
frahdfd62;FRA-HDF;D941;-62;Aux;Auxi-le-Château;frahdf.d094162aux;
frahdfd62;FRA-HDF;D941;-62;;Bruay-la-Buissière;frahdf.d094162;
frahdfd62;FRA-HDF;D942;-62;;;frahdf.d094262;
frahdfd62;FRA-HDF;D943;-62;;;frahdf.d094362;
frahdfd62;FRA-HDF;D943E1;-62;;;frahdf.d0943e162;
frahdfd62;FRA-HDF;D945;-62;;;frahdf.d094562;
frahdfd62;FRA-HDF;D947;-62;Lor;Lorgies;frahdf.d094762lor;
frahdfd62;FRA-HDF;D947;-62;;Haisnes;frahdf.d094762;
frahdfd62;FRA-HDF;D950;-62;;;frahdf.d095062;
