System;Region;Route;SignedRoutes;ConcurrentRoutes;City;Filename root;AltRouteNames
usaorh;OR;ORH47;US 26;OR 47;;or.orh047;Sunset Highway
usaorh;OR;ORH48;US 395;;;or.orh048;John Day-Burns Highway
usaorh;OR;ORH49;US 395;;;or.orh049;Lakeview-Burns Highway
usaorh;OR;ORH50;OR 39;US 97B,OR 140;;;or.orh050;Klamath Falls-Malin Highway
usaorh;OR;ORH50Y;US 97B;;Klamath Falls;or.orh050ykla;Esplanade Spur
usaorh;OR;ORH51;OR 551;;;or.orh051;Wilsonville-Hubbard Highway
usaorh;OR;ORH52;OR 74;;;or.orh052;Heppner Highway
usaorh;OR;ORH53;US 26;;;or.orh053;Warm Springs Highway
usaorh;OR;ORH54;US 395;;;or.orh054;Umatilla-Stanfield Highway
usaorh;OR;ORH58;OR 99E;US 20;;or.orh058;Albany-Junction City Highway
usaorh;OR;ORH60;OR 99;;;or.orh060;Rogue River Highway
usaorh;OR;ORH61;I-405;US 26,US 30;;;or.orh061;Stadium Freeway
usaorh;OR;ORH62;OR 126;;;or.orh062;Florence-Eugene Highway
usaorh;OR;ORH63;OR 99;;;or.orh063;Rogue Valley Highway
usaorh;OR;ORH64;I-205;OR 213;;or.orh064;East Portland Freeway (War Veterans' Memorial Highway)
usaorh;OR;ORH66;US 30,OR 203,OR 237,US 30;;;or.orh066;La Grande-Baker Highway
usaorh;OR;ORH67;US 30;;;or.orh067;Pendleton Highway
usaorh;OR;ORH68;OR 213;;;or.orh068;Cascade Highway North
usaorh;OR;ORH69;OR 569;;;or.orh069;Beltline Road (Randy Papé Beltline)
usaorh;OR;ORH70;I-82;US 395;;;or.orh070;McNary Highway
usaorh;OR;ORH71;OR 7;;;or.orh071;Whitney Highway
usaorh;OR;ORH72;OR 99EB;OR 22;;or.orh072;Salem Highway (Salem Parkway)
usaorh;OR;ORH100;US 30H;;Corbett;or.orh100cor;Historic Columbia River Highway
usaorh;OR;ORH100;US 30;;Cascade Locks;or.orh100cas;Historic Columbia River Highway
usaorh;OR;ORH100;US 30;;Hood River;or.orh100hoo;Historic Columbia River Highway
usaorh;OR;ORH100;US 30,US 30H;;Rowena Crest;or.orh100row;Historic Columbia River Highway
usaorh;OR;ORH102;OR 202,OR 47;;;or.orh102;Nehalem Highway
usaorh;OR;ORH103;OR 103;;;or.orh103;Fishhawk Falls Highway
usaorh;OR;ORH104;OR 104;;;or.orh104;Fort Stevens Highway
usaorh;OR;ORH104Y;;;Warrenton;or.orh104ywar;Fort Stevens Spur
usaorh;OR;ORH105;US 101B;;;or.orh105;Warrenton-Astoria Highway
usaorh;OR;ORH110;OR 47;;;or.orh110;Mist-Clatskanie Highway
usaorh;OR;ORH120;;;;or.orh120;Swift Highway
usaorh;OR;ORH123;US 30BY;;;or.orh123;Northeast Portland Highway
usaorh;OR;ORH130;OR 130;;;or.orh130;Little Nestucca Highway
usaorh;OR;ORH131;OR 131;;;or.orh131;Netarts Highway
usaorh;OR;ORH138;OR 138;;;or.orh138;North Umpqua Highway
usaorh;OR;ORH140;OR 219,OR 214;;;or.orh140;Hillsboro-Silverton Highway
usaorh;OR;ORH141;;;;or.orh141;Beaverton-Tualatin Highway
usaorh;OR;ORH142;OR 10;;;or.orh142;Farmington Road
usaorh;OR;ORH143;OR 210;;;or.orh143;Scholls Highway (Scholls Ferry Road)
