System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
asiah;CHN-LN;AH31;;;;chnln.ah031;
asiah;PRK;AH32;;;;prk.ah032;
asiah;CHN-JL;AH32;;;;chnjl.ah032;
asiah;CHN-NM;AH32;;;;chnnm.ah032;
asiah;MGL;AH32;;;;mgl.ah032;
asiah;CHN-HL;AH33;;;;chnhl.ah033;
asiah;CHN-JS;AH34;;;;chnjs.ah034;
asiah;CHN-AH;AH34;;;;chnah.ah034;
asiah;CHN-HA;AH34;;;;chnha.ah034;
asiah;CHN-SN;AH34;;;;chnsn.ah034;
asiah;BGD;AH41;;;;bgd.ah041;
asiah;CHN-GS;AH42;;;;chngs.ah042;
asiah;CHN-QH;AH42;;;;chnqh.ah042;
asiah;CHN-XZ;AH42;;;;chnxz.ah042;
asiah;NPL;AH42;;;;npl.ah042;
asiah;IND-BR;AH42;;;;indbr.ah042;
asiah;IND-JH;AH42;;;;indjh.ah042;
asiah;IND-UP;AH43;;;Agra;indup.ah043;
asiah;IND-RJ;AH43;;;;indrj.ah043;
asiah;IND-MP;AH43;;Gwa;Gwalior;indmp.ah043gwa;
asiah;IND-UP;AH43;;Jha;Jhansi;indup.ah043jha;
asiah;IND-MP;AH43;;Kha;Khailar;indmp.ah043kha;
asiah;IND-UP;AH43;;Lal;Lalitpur;indup.ah043lal;
asiah;IND-MP;AH43;;;Sagar;indmp.ah043;
asiah;IND-MH;AH43;;;;indmh.ah043;
asiah;IND-TG;AH43;;;;indtg.ah043;
asiah;IND-AP;AH43;;;;indap.ah043;
asiah;IND-KA;AH43;;;;indka.ah043;
asiah;IND-TN;AH43;;;;indtn.ah043;
asiah;LKA;AH43;;;;lka.ah043;
asiah;LKA;AH43;;;Kandy (branch);lka.ah043kan;
asiah;LKA;AH44;;;;lka.ah044;
asiah;IND-WB;AH45;;;;indwb.ah045;
asiah;IND-OR;AH45;;;;indor.ah045;
asiah;IND-AP;AH45;;;;indap.ah045;
asiah;IND-TN;AH45;;;;indtn.ah045;
asiah;IND-KA;AH45;;;;indka.ah045;
asiah;IND-WB;AH46;;;;indwb.ah046;
asiah;IND-JH;AH46;;;;indjh.ah046;
asiah;IND-OR;AH46;;;;indor.ah046;
asiah;IND-CT;AH46;;;;indct.ah046;
asiah;IND-MH;AH46;;;;indmh.ah046;
asiah;IND-MP;AH47;;;;indmp.ah047;
asiah;IND-MH;AH47;;;;indmh.ah047;
asiah;IND-KA;AH47;;;;indka.ah047;
asiah;IND-MH;AH47;;Mum;Mumbai (branch);indmh.ah047mum;
asiah;BTN;AH48;;;;btn.ah048;
asiah;IND-WB;AH48;;;;indwb.ah048;
asiah;PAK;AH51;;;;pak.ah051;
asiah;CHN-XJ;AH61;;;;chnxj.ah061;
asiah;CHN-XJ;AH65;;;;chnxj.ah065;
asiah;CHN-XJ;AH67;;;;chnxj.ah067;
asiah;CHN-XJ;AH68;;;;chnxj.ah068;
asiah;IRN;AH70;;;;irn.ah070;
