systemName;route;banner;groupName;roots
swzmr;SWZ;MR1;;;swz.mr001
swzmr;SWZ;MR2;;;swz.mr002
swzmr;SWZ;MR3;;;swz.mr003
swzmr;SWZ;MR4;;;swz.mr004
swzmr;SWZ;MR5;;;swz.mr005
swzmr;SWZ;MR6;;;swz.mr006
swzmr;SWZ;MR7;;;swz.mr007
swzmr;SWZ;MR8;;;swz.mr008
swzmr;SWZ;MR9;;;swz.mr009
swzmr;SWZ;MR10;;;swz.mr010
swzmr;SWZ;MR11;;;swz.mr011
swzmr;SWZ;MR12;;;swz.mr012
swzmr;SWZ;MR13;;;swz.mr013
swzmr;SWZ;MR14;;;swz.mr014
swzmr;SWZ;MR15;;;swz.mr015
swzmr;SWZ;MR16;;;swz.mr016
swzmr;SWZ;MR17;;;swz.mr017
swzmr;SWZ;MR18;;;swz.mr018
swzmr;SWZ;MR19;;;swz.mr019
swzmr;SWZ;MR20;;;swz.mr020
swzmr;SWZ;MR21;;;swz.mr021
swzmr;SWZ;MR24;;;swz.mr024
swzmr;SWZ;MR25;;;swz.mr025
swzmr;SWZ;MR26;;;swz.mr026
swzmr;SWZ;MR27;;;swz.mr027
swzmr;SWZ;MR32;;;swz.mr032
swzmr;SWZ;MR103;;;swz.mr103
