systemName;route;banner;groupName;roots
luxa;A1;;Tréierer Autobunn;lux.a001
luxa;A3;;Diddelenger Autobunn;lux.a003
luxa;A4;;Escher Autobunn;lux.a004
luxa;A6;;Areler Autobunn;lux.a006
luxa;A7;;Nordstrooss;lux.a007
luxa;A13;;Saar-Autobunn;lux.a013
