System;Region;Route;Banner;Locale;Label;File;AltRouteNames
usapr;PR;PR174;;;;pr.pr0174;
usapr;PR;PR175;;;;pr.pr0175;
usapr;PR;PR176;;;;pr.pr0176;
usapr;PR;PR177;;;;pr.pr0177;
usapr;PR;PR178;;;;pr.pr0178;
usapr;PR;PR179;;;;pr.pr0179;
usapr;PR;PR180;;;;pr.pr0180;
usapr;PR;PR181;;;;pr.pr0181;
usapr;PR;PR182;;;;pr.pr0182;
usapr;PR;PR183;;;;pr.pr0183;
usapr;PR;PR184;;;;pr.pr0184;
usapr;PR;PR185;;;;pr.pr0185;
usapr;PR;PR186;;;;pr.pr0186;
usapr;PR;PR187;;;;pr.pr0187;
usapr;PR;PR187R;;;;pr.pr0187r;
usapr;PR;PR188;;;;pr.pr0188;
usapr;PR;PR189;;;;pr.pr0189;
usapr;PR;PR190;;;;pr.pr0190;
usapr;PR;PR191;;;Rio Grande;pr.pr0191;
usapr;PR;PR191;;Nag;Naguabo;pr.pr0191nag;
usapr;PR;PR192;;;;pr.pr0192;
usapr;PR;PR193;;;;pr.pr0193;
usapr;PR;PR194;;;;pr.pr0194;
usapr;PR;PR195;;;;pr.pr0195;
usapr;PR;PR196;;;;pr.pr0196;
usapr;PR;PR198;;;;pr.pr0198;
usapr;PR;PR199;;;San Juan;pr.pr0199;
usapr;PR;PR199;;Bay;Bayamón;pr.pr0199bay;
usapr;PR;PR200;;;;pr.pr0200;
usapr;PR;PR200R;;;;pr.pr0200r;
usapr;PR;PR201;;;;pr.pr0201;
usapr;PR;PR203;;;;pr.pr0203;
usapr;PR;PR204;;;;pr.pr0204;
usapr;PR;PR205;;;;pr.pr0205;
usapr;PR;PR206;;;;pr.pr0206;
usapr;PR;PR250;;;;pr.pr0250;
usapr;PR;PR251;;;;pr.pr0251;
usapr;PR;PR300;;;;pr.pr0300;
usapr;PR;PR301;;;;pr.pr0301;
usapr;PR;PR303;;;;pr.pr0303;
usapr;PR;PR304;;;;pr.pr0304;
usapr;PR;PR305;;;;pr.pr0305;
usapr;PR;PR306;;;;pr.pr0306;
usapr;PR;PR307;;;;pr.pr0307;
usapr;PR;PR308;;;;pr.pr0308;
usapr;PR;PR309;;;;pr.pr0309;
usapr;PR;PR310;;;;pr.pr0310;
usapr;PR;PR311;;;;pr.pr0311;
usapr;PR;PR312;;;;pr.pr0312;
usapr;PR;PR313;;;;pr.pr0313;
usapr;PR;PR314;;;;pr.pr0314;
usapr;PR;PR315;;;;pr.pr0315;
usapr;PR;PR316;;;;pr.pr0316;
usapr;PR;PR317;;;;pr.pr0317;
usapr;PR;PR318;;;;pr.pr0318;
usapr;PR;PR319;;;;pr.pr0319;
usapr;PR;PR320;;;;pr.pr0320;
usapr;PR;PR321;;;;pr.pr0321;
usapr;PR;PR322;;;;pr.pr0322;
usapr;PR;PR323;;;;pr.pr0323;
usapr;PR;PR324;;;;pr.pr0324;
usapr;PR;PR325;;;;pr.pr0325;
usapr;PR;PR326;;;;pr.pr0326;
usapr;PR;PR327;;;;pr.pr0327;
usapr;PR;PR328;;;;pr.pr0328;
usapr;PR;PR329;;;;pr.pr0329;
usapr;PR;PR330;;;;pr.pr0330;
usapr;PR;PR331;;;;pr.pr0331;
usapr;PR;PR332;;;;pr.pr0332;
usapr;PR;PR333;;;;pr.pr0333;
usapr;PR;PR334;;;;pr.pr0334;
usapr;PR;PR335;;;;pr.pr0335;
usapr;PR;PR336;;;;pr.pr0336;
usapr;PR;PR337;;;;pr.pr0337;
usapr;PR;PR338;;;;pr.pr0338;
usapr;PR;PR339;;;;pr.pr0339;
usapr;PR;PR341;;;;pr.pr0341;
usapr;PR;PR342;;;;pr.pr0342;
usapr;PR;PR343;;;;pr.pr0343;
usapr;PR;PR344;;;;pr.pr0344;
usapr;PR;PR345;;;Hormigueros(E);pr.pr0345;
usapr;PR;PR345;;Hor;Hormigueros(C);pr.pr0345hor;
usapr;PR;PR346;;;;pr.pr0346;
usapr;PR;PR347;;;;pr.pr0347;
usapr;PR;PR348;;;;pr.pr0348;
usapr;PR;PR349;;;;pr.pr0349;
usapr;PR;PR351;;;;pr.pr0351;
usapr;PR;PR352;;;;pr.pr0352;
usapr;PR;PR353;;;;pr.pr0353;
usapr;PR;PR354;;;;pr.pr0354;
usapr;PR;PR355;;;;pr.pr0355;
usapr;PR;PR356;;;;pr.pr0356;
usapr;PR;PR357;;;;pr.pr0357;
usapr;PR;PR358;;;;pr.pr0358;
usapr;PR;PR359;;;;pr.pr0359;
usapr;PR;PR360;;;;pr.pr0360;
usapr;PR;PR361;;;;pr.pr0361;
usapr;PR;PR362;;;;pr.pr0362;
usapr;PR;PR363;;;;pr.pr0363;
usapr;PR;PR364;;;;pr.pr0364;
usapr;PR;PR365;;;Sabana Grande;pr.pr0365;
usapr;PR;PR365;;Mar;Maricao;pr.pr0365mar;
usapr;PR;PR366;;;;pr.pr0366;
usapr;PR;PR367;;;;pr.pr0367;
usapr;PR;PR368;;;;pr.pr0368;
usapr;PR;PR369;;;;pr.pr0369;
usapr;PR;PR370;;;;pr.pr0370;
usapr;PR;PR371;;;;pr.pr0371;
usapr;PR;PR372;;;;pr.pr0372;
usapr;PR;PR373;;;;pr.pr0373;
usapr;PR;PR374;;;Yauco;pr.pr0374;
usapr;PR;PR374;;Lar;Lares;pr.pr0374lar;
usapr;PR;PR375;;;;pr.pr0375;
usapr;PR;PR376;;;;pr.pr0376;
usapr;PR;PR377;;;;pr.pr0377;
usapr;PR;PR378;;;;pr.pr0378;
usapr;PR;PR379;;;;pr.pr0379;
usapr;PR;PR380;;;;pr.pr0380;
usapr;PR;PR381;;;;pr.pr0381;
usapr;PR;PR382;;;;pr.pr0382;
usapr;PR;PR383;;;Guayanilla ;pr.pr0383;
usapr;PR;PR383;;Pen;Penuelas;pr.pr0383pen;
usapr;PR;PR384;;;;pr.pr0384;
usapr;PR;PR385;;;;pr.pr0385;
usapr;PR;PR386;;;;pr.pr0386;
usapr;PR;PR387;;;;pr.pr0387;
usapr;PR;PR388;;;;pr.pr0388;
usapr;PR;PR389;;;;pr.pr0389;
usapr;PR;PR390;;;;pr.pr0390;
usapr;PR;PR391;;;;pr.pr0391;
usapr;PR;PR392;;;;pr.pr0392;
usapr;PR;PR393;;;;pr.pr0393;
usapr;PR;PR394;;;;pr.pr0394;
usapr;PR;PR396;;;;pr.pr0396;
usapr;PR;PR397;;;;pr.pr0397;
usapr;PR;PR398;;;;pr.pr0398;
usapr;PR;PR399;;;;pr.pr0399;
usapr;PR;PR400;;;;pr.pr0400;
usapr;PR;PR401;;;;pr.pr0401;
usapr;PR;PR402;;;;pr.pr0402;
usapr;PR;PR403;;;;pr.pr0403;
usapr;PR;PR404;;;;pr.pr0404;
usapr;PR;PR405;;;;pr.pr0405;
usapr;PR;PR406;;;;pr.pr0406;
usapr;PR;PR407;;;;pr.pr0407;
usapr;PR;PR408;;;;pr.pr0408;
usapr;PR;PR409;;;;pr.pr0409;
usapr;PR;PR410;;;;pr.pr0410;
usapr;PR;PR411;;;;pr.pr0411;
usapr;PR;PR412;;;;pr.pr0412;
usapr;PR;PR413;;;;pr.pr0413;
usapr;PR;PR414;;;;pr.pr0414;
usapr;PR;PR415;;;;pr.pr0415;
usapr;PR;PR416;;;;pr.pr0416;
usapr;PR;PR417;;;;pr.pr0417;
usapr;PR;PR418;;;;pr.pr0418;
usapr;PR;PR419;;;;pr.pr0419;
usapr;PR;PR420;;;;pr.pr0420;
usapr;PR;PR421;;;;pr.pr0421;
usapr;PR;PR422;;;;pr.pr0422;
usapr;PR;PR423;;;;pr.pr0423;
usapr;PR;PR424;;;;pr.pr0424;
usapr;PR;PR425;;;;pr.pr0425;
usapr;PR;PR426;;;;pr.pr0426;
usapr;PR;PR427;;;;pr.pr0427;
usapr;PR;PR428;;;;pr.pr0428;
usapr;PR;PR429;;;;pr.pr0429;
usapr;PR;PR430;;;;pr.pr0430;
usapr;PR;PR431;;;Lares(S);pr.pr0431;
usapr;PR;PR431;;Lar;Lares(C);pr.pr0431lar;
usapr;PR;PR432;;;;pr.pr0432;
usapr;PR;PR433;;;;pr.pr0433;
usapr;PR;PR434;;;;pr.pr0434;
usapr;PR;PR435;;;;pr.pr0435;
usapr;PR;PR436;;;;pr.pr0436;
usapr;PR;PR437;;;;pr.pr0437;
usapr;PR;PR438;;;;pr.pr0438;
usapr;PR;PR439;;;;pr.pr0439;
usapr;PR;PR440;;;;pr.pr0440;
usapr;PR;PR441;;;;pr.pr0441;
usapr;PR;PR442;;;;pr.pr0442;
usapr;PR;PR443;;;;pr.pr0443;
usapr;PR;PR444;;;;pr.pr0444;
usapr;PR;PR445;;;;pr.pr0445;
usapr;PR;PR446;;;;pr.pr0446;
usapr;PR;PR447;;;;pr.pr0447;
usapr;PR;PR448;;;;pr.pr0448;
usapr;PR;PR449;;;;pr.pr0449;
usapr;PR;PR450;;;;pr.pr0450;
usapr;PR;PR451;;;;pr.pr0451;
usapr;PR;PR452;;;;pr.pr0452;
usapr;PR;PR453;;;;pr.pr0453;
usapr;PR;PR454;;;;pr.pr0454;
usapr;PR;PR455;;;;pr.pr0455;
usapr;PR;PR456;;;;pr.pr0456;
usapr;PR;PR457;;;;pr.pr0457;
usapr;PR;PR458;;;;pr.pr0458;
usapr;PR;PR459;;;;pr.pr0459;
usapr;PR;PR460;;;;pr.pr0460;
usapr;PR;PR461;;;;pr.pr0461;
usapr;PR;PR462;;;;pr.pr0462;
usapr;PR;PR463;;;;pr.pr0463;
usapr;PR;PR464;;;;pr.pr0464;
usapr;PR;PR465;;;;pr.pr0465;
usapr;PR;PR466;;;;pr.pr0466;
usapr;PR;PR467;;;;pr.pr0467;
usapr;PR;PR468;;;;pr.pr0468;
usapr;PR;PR469;;;;pr.pr0469;
usapr;PR;PR470;;;;pr.pr0470;
usapr;PR;PR471;;;;pr.pr0471;
usapr;PR;PR472;;;;pr.pr0472;
usapr;PR;PR473;;;;pr.pr0473;
usapr;PR;PR474;;;;pr.pr0474;
usapr;PR;PR475;;;;pr.pr0475;
usapr;PR;PR476;;;Quebradillas;pr.pr0476;
usapr;PR;PR476;;Isa;Isabela;pr.pr0476isa;
usapr;PR;PR477;;;;pr.pr0477;
usapr;PR;PR478;;;;pr.pr0478;
usapr;PR;PR479;;;;pr.pr0479;
usapr;PR;PR480;;;;pr.pr0480;
usapr;PR;PR481;;;;pr.pr0481;
usapr;PR;PR482;;;;pr.pr0482;
usapr;PR;PR483;;;;pr.pr0483;
usapr;PR;PR484;;;;pr.pr0484;
usapr;PR;PR485;;;;pr.pr0485;
usapr;PR;PR486;;;;pr.pr0486;
usapr;PR;PR487;;;;pr.pr0487;
usapr;PR;PR488;;;;pr.pr0488;
usapr;PR;PR489;;;;pr.pr0489;
usapr;PR;PR490;;;;pr.pr0490;
usapr;PR;PR491;;;;pr.pr0491;
usapr;PR;PR492;;;;pr.pr0492;
usapr;PR;PR493;;;;pr.pr0493;
usapr;PR;PR494;;;;pr.pr0494;
usapr;PR;PR495;;;;pr.pr0495;
usapr;PR;PR496;;;;pr.pr0496;
usapr;PR;PR497;;;;pr.pr0497;
usapr;PR;PR498;;;;pr.pr0498;
usapr;PR;PR499;;;;pr.pr0499;
usapr;PR;PR500;;;;pr.pr0500;
usapr;PR;PR501;;;Ponce(S);pr.pr0501;
usapr;PR;PR501;;Pon;Ponce(N);pr.pr0501pon;
usapr;PR;PR502;;;;pr.pr0502;
usapr;PR;PR503;;;Adjuntas;pr.pr0503;
usapr;PR;PR503;;Pon;Ponce;pr.pr0503pon;
usapr;PR;PR504;;;;pr.pr0504;
usapr;PR;PR505;;;;pr.pr0505;
usapr;PR;PR506;;;;pr.pr0506;
usapr;PR;PR508;;;;pr.pr0508;
usapr;PR;PR509;;;;pr.pr0509;
usapr;PR;PR510;;;;pr.pr0510;
usapr;PR;PR511;;;Ponce;pr.pr0511;
usapr;PR;PR511;;Rio;Rio Prieto;pr.pr0511rio;
usapr;PR;PR512;;;;pr.pr0512;
usapr;PR;PR513;;;;pr.pr0513;
usapr;PR;PR514;;;;pr.pr0514;
usapr;PR;PR515;;;;pr.pr0515;
usapr;PR;PR516;;;;pr.pr0516;
usapr;PR;PR517;;;;pr.pr0517;
usapr;PR;PR518;;;;pr.pr0518;
usapr;PR;PR518R;;;;pr.pr0518r;
usapr;PR;PR519;;;;pr.pr0519;
usapr;PR;PR520;;;;pr.pr0520;
usapr;PR;PR521;;;;pr.pr0521;
usapr;PR;PR522;;;;pr.pr0522;
usapr;PR;PR523;;;;pr.pr0523;
usapr;PR;PR524;;;;pr.pr0524;
usapr;PR;PR525;;;;pr.pr0525;
usapr;PR;PR526;;;;pr.pr0526;
usapr;PR;PR527;;;;pr.pr0527;
usapr;PR;PR528;;;;pr.pr0528;
usapr;PR;PR529;;;;pr.pr0529;
usapr;PR;PR530;;;;pr.pr0530;
usapr;PR;PR531;;;;pr.pr0531;
usapr;PR;PR532;;;;pr.pr0532;
usapr;PR;PR533;;;;pr.pr0533;
usapr;PR;PR535;;;;pr.pr0535;
usapr;PR;PR536;;;;pr.pr0536;
usapr;PR;PR537;;;;pr.pr0537;
usapr;PR;PR538;;;;pr.pr0538;
usapr;PR;PR539;;;;pr.pr0539;
usapr;PR;PR540;;;;pr.pr0540;
usapr;PR;PR541;;;;pr.pr0541;
usapr;PR;PR542;;;;pr.pr0542;
usapr;PR;PR543;;;;pr.pr0543;
usapr;PR;PR545;;;;pr.pr0545;
usapr;PR;PR546;;;;pr.pr0546;
usapr;PR;PR547;;;;pr.pr0547;
usapr;PR;PR548;;;;pr.pr0548;
usapr;PR;PR549;;;;pr.pr0549;
usapr;PR;PR550;;;;pr.pr0550;
usapr;PR;PR551;;;;pr.pr0551;
usapr;PR;PR552;;;;pr.pr0552;
usapr;PR;PR553;;;Villalba;pr.pr0553;
usapr;PR;PR553;;Coa;Coamo;pr.pr0553coa;
usapr;PR;PR555;;;;pr.pr0555;
usapr;PR;PR556;;;;pr.pr0556;
usapr;PR;PR557;;;;pr.pr0557;
usapr;PR;PR558;;;;pr.pr0558;
usapr;PR;PR559;;;;pr.pr0559;
usapr;PR;PR560;;;;pr.pr0560;
usapr;PR;PR561;;;;pr.pr0561;
usapr;PR;PR562;;;;pr.pr0562;
