System;Region;Route;Banner;Locale;Label;File;AltRouteNames
usapr;PR;PR722;;;;pr.pr0722;
usapr;PR;PR723;;;;pr.pr0723;
usapr;PR;PR724;;;;pr.pr0724;
usapr;PR;PR725;;;;pr.pr0725;
usapr;PR;PR726;;;;pr.pr0726;
usapr;PR;PR727;;;;pr.pr0727;
usapr;PR;PR728;;;;pr.pr0728;
usapr;PR;PR729;;;;pr.pr0729;
usapr;PR;PR730;;;;pr.pr0730;
usapr;PR;PR731;;;;pr.pr0731;
usapr;PR;PR733;;;;pr.pr0733;
usapr;PR;PR734;;;;pr.pr0734;
usapr;PR;PR735;;;;pr.pr0735;
usapr;PR;PR738;;;;pr.pr0738;
usapr;PR;PR739;;;;pr.pr0739;
usapr;PR;PR740;;;;pr.pr0740;
usapr;PR;PR741;;;;pr.pr0741;
usapr;PR;PR742;;;;pr.pr0742;
usapr;PR;PR743;;;;pr.pr0743;
usapr;PR;PR744;;;;pr.pr0744;
usapr;PR;PR745;;;;pr.pr0745;
usapr;PR;PR746;;;;pr.pr0746;
usapr;PR;PR747;;;;pr.pr0747;
usapr;PR;PR748;;;;pr.pr0748;
usapr;PR;PR749;;;;pr.pr0749;
usapr;PR;PR750;;;;pr.pr0750;
