system;region;route;banner;abbrev;city;fileroot;AltRouteNames
espmd;ESP-MD;M45x;;;;espmd.m045x;
espmd;ESP-MD;M100;;;;espmd.m100;
espmd;ESP-MD;M108;;;;espmd.m108;
espmd;ESP-MD;M111;;;;espmd.m111;
espmd;ESP-MD;M203;;;;espmd.m203;
espmd;ESP-MD;MP203x;;;;espmd.mp203x;
espmd;ESP-MD;M206;;;;espmd.m206;
espmd;ESP-MD;M208;;;;espmd.m208;
espmd;ESP-MD;M300;;;;espmd.m300;
espmd;ESP-MD;M301;;;;espmd.m301;
espmd;ESP-MD;M402;;;;espmd.m402;
espmd;ESP-MD;M406;;;;espmd.m406;
espmd;ESP-MD;M407x;;;;espmd.m407x;
espmd;ESP-MD;M408;;;;espmd.m408;
espmd;ESP-MD;M409;;;;espmd.m409;
espmd;ESP-MD;M500x;;;;espmd.m500x;
espmd;ESP-MD;M501x;;;?;espmd.m501x;
espmd;ESP-CL;M501;;;;espcl.m501;
espmd;ESP-MD;M501;;Mor;?;espmd.m501mor;
espmd;ESP-MD;M502;;;;espmd.m502;
espmd;ESP-MD;M503x;;;;espmd.m503x;
espmd;ESP-MD;M505;;;;espmd.m505;
espmd;ESP-MD;M506;;;;espmd.m506;
espmd;ESP-MD;M509;;;;espmd.m509;
espmd;ESP-MD;M511;;;;espmd.m511;
espmd;ESP-MD;M600;;;;espmd.m600;
espmd;ESP-MD;M601;;;;espmd.m601;
espmd;ESP-MD;M603;;;;espmd.m603;
espmd;ESP-MD;M607x;;;;espmd.m607x;
espmd;ESP-MD;M608;;;;espmd.m608;
espmd;ESP-MD;M609;;;;espmd.m609;
espmd;ESP-MD;M616;;;;espmd.m616;
