system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
fragesd6ae;FRA-GES;D988;-6ae;;;frages.d09886ae;
fragesd6ae;FRA-GES;D1004;-6ae;;;frages.d10046ae;N4Wol
fragesd6ae;FRA-GES;D1059;-6ae;;;frages.d10596ae;N59Sel
fragesd6ae;FRA-GES;D1062;-6ae;;;frages.d10626ae;
fragesd6ae;FRA-GES;D1063;-6ae;;;frages.d10636ae;
fragesd6ae;FRA-GES;D1066;-6ae;;;frages.d10666ae;
fragesd6ae;FRA-GES;D1083;-6ae;;;frages.d10836ae;N1083
fragesd6ae;FRA-GES;D1340;-6ae;;;frages.d13406ae;
fragesd6ae;FRA-GES;D1363;-6ae;;;frages.d13636ae;N363
fragesd6ae;FRA-GES;D1404;-6ae;;;frages.d14046ae;
fragesd6ae;FRA-GES;D1420;-6ae;;;frages.d14206ae;
