systemName;region;route;banner;abbrev;city;root
index;IND-HR;ACExpy;;;;indhr.acexpy;
index;IND-PB;ACExpy;;;;indpb.acexpy;
index;IND-UP;AgraLucExp;;;Agra-Lucknow Expressway;indup.agralucexpy;
index;IND-UP;AllByp;;;;indup.allbyp;
index;IND-DL;BarRd;;;Barapullah (Elevated) Road;inddl.barrd;
index;IND-WB;BelExpy;;;;indwb.belexpy;
index;IND-UP;BunExp;;;Bundelkhand Expressway;indup.bunexpy;
index;IND-TN;CheByp;;;;indtn.chebyp;
index;IND-TN;CheORR;;;;indtn.cheorr;
index;IND-DL;DFSky;;;;inddl.dfsky;
index;IND-HR;DFSky;;;;indhr.dfsky;
index;IND-DL;DGExpy;;;;inddl.dgexpy;
index;IND-HR;DGExpy;;;;indhr.dgexpy;
index;IND-DL;DNDFly;;;DND Flyover;inddl.dndfly;
index;IND-UP;DNDFly;;;DND Flyover;indup.dndfly;
index;IND-WB;DurExpy;;;;indwb.durexpy;
index;IND-MH;EasFwy;;;;indmh.easfwy;
index;IND-UP;HinRd;;;Hindon Elevated Road;indup.hinrd;
index;IND-TG;HydExpy;;;;indtg.hydexpy;
index;IND-TG;HydORR;;;;indtg.hydorr;
index;IND-RJ;JaiElvRd;;;;indrj.jaielvrd;
index;IND-RJ;JKExpy;;;;indrj.jkexpy;
index;IND-WB;KonaExpy;;;;indwb.konaexpy;
index;IND-MH;MPExpy;;;;indmh.mpexpy;
index;IND-KA;NICEExp;;;Nandi Infrastructure Corridor Enterprises Expressway;indka.nice;
index;IND-DL;DadRd;;;Dadri Road;inddl.dadrd;
index;IND-UP;NoiExp;;;Noida-Greater Noida Expressay;indup.noiexpy;
index;IND-KA;NPRR;;;;indka.nprr;
index;IND-DL;OutRingRd;;;Delhi Outer Ring Rd;inddl.outringrd;
index;IND-HR;PanExpy;;;;indhr.panexpy;
index;IND-UP;PurExp;;;Purvanchal Expressway;indup.purexpy;
index;IND-CG;RBDExpy;;;;indcg.rbdexpy;
index;IND-KA;STRR;;;Satelite Town Ring Road;indka.strr;
index;IND-HR;WPExpy;;;;indhr.wpexpy;
index;IND-UP;YamExp;;;Yamuna Expressway;indup.yamexpy;
