systemName;region;route;banner;abbrev;city;root
indnh;IND-PB;NH9;;;;indpb.nh009;
indnh;IND-HR;NH9;;;;indhr.nh009;
indnh;IND-DL;NH9;;jha;Jharoda Kalan New Delhi;inddl.nh009jha;
indnh;IND-HR;NH9;;bah;Bahadurgarh;indhr.nh009bah;
indnh;IND-DL;NH9;;;;inddl.nh009;
indnh;IND-UP;NH9;;;;indup.nh009;
indnh;IND-UT;NH9;;rud;Rudrapur;indut.nh009rud;
indnh;IND-UP;NH9;;bah;Baheri;indup.nh009bah;
indnh;IND-UT;NH9;;bar;Bara;indut.nh009bar;
indnh;IND-UP;NH9;;bar;Bareilly District;indup.nh009bar;
indnh;IND-UP;NH9;;;;indnh.nh009;
indnh;IND-WB;NH10;;;;indwb.nh010;
indnh;IND-SK;NH10;;;;indsk.nh010;
indnh;IND-WB;NH12;;;;indwb.nh012;
indnh;IND-BR;NH12;;;;indbr.nh012;
indnh;IND-WB;NH14;;;;indwb.nh014;
indnh;IND-WB;NH16;;;;indwb.nh016;
indnh;IND-OR;NH16;;;Cuttack;indor.nh016;
indnh;IND-AP;NH16;;Pur;Purushottampuram;indap.nh016pur;
indnh;IND-OR;NH16;;Rer;Rerhisumandl;indor.nh016rer;
indnh;IND-AP;NH16;;Ich;Ichchapuram;indap.nh016ich;
indnh;IND-OR;NH16;;Chi;Chikiti Balarampentha;indor.nh016chi;
indnh;IND-AP;NH16;;;Visakhapatnam;indap.nh016;
indnh;IND-TN;NH16;;Ara;Arambakkam;indtn.nh016ara;
indnh;IND-AP;NH16;;Ram;Ramapuramkuppam;indap.nh016ram;
indnh;IND-TN;NH16;;;Chennai;indtn.nh016;
indnh;IND-WB;NH17;;;;indwb.nh017;
indnh;IND-AS;NH17;;;;indas.nh017;
indnh;IND-OR;NH18;;;;indor.nh018;
indnh;IND-JH;NH18;;;Jamshedpur;indjh.nh018;
indnh;IND-WB;NH18;;;;indwb.nh018;
indnh;IND-JH;NH18;;Dha;Dhanbad;indjh.nh018dha;
indnh;IND-DL;NH19;;;;inddl.nh019;
indnh;IND-HR;NH19;;;;indhr.nh019;
indnh;IND-UP;NH19;;;Agra-Kanpur;indup.nh019;
indnh;IND-UP;NH19N;;pha;Phaphamau;indup.nh019npha;
indnh;IND-UP;NH19S;;pra;Prayagraj;indup.nh019spra;
indnh;IND-UP;NH19;;var;Varanasi;indup.nh019var;
indnh;IND-BR;NH19;;;;indbr.nh019;
indnh;IND-JH;NH19;;;;indjh.nh019;
indnh;IND-WB;NH19;;;;indwb.nh019;
indnh;IND-RH;NH21;;;;indrj.nh021;
indnh;IND-UP;NH21;;;;indup.nh021;
indnh;IND-UP;NH24;;;;indup.nh024;
indnh;IND-GJ;NH27;;;;indgj.nh027;
indnh;IND-RJ;NH27;;;;indrj.nh027;
indnh;IND-MP;NH27;;;;indmp.nh027;
indnh;IND-UP;NH27;;;;indup.nh027;
indnh;IND-BR;NH27;;;Golpalgamj-Purnia;indbr.nh027;
indnh;IND-WB;NH27;;Sur;Surja Kama;indwb.nh027sur;
indnh;IND-BR;NH27;;Ang;Angia;indbr.nh027ang;
indnh;IND-WB;NH27;;Kan;Kanki-Hatwar;indwb.nh027kan;
indnh;IND-BR;NH27;;Sam;Samda;indbr.nh027sam;
indnh;IND-WB;NH27;;Cha;Chanpur;indwb.nh027cha;
indnh;IND-BR;NH27;;Kis;Kishanganj;indbr.nh027kis;
indnh;IND-WB;NH27;;Pan;Panjipara-Gunjara;indwb.nh027pan;
indnh;IND-BR;NH27;;Pot;Pothia;indbr.nh027pot;
indnh;IND-WB;NH27;;Isl;Islampur;indwb.nh027isl;
indnh;IND-BR;NH27;;Isl;Islampur;indbr.nh027isl;
indnh;IND-WB;NH27;;Ram;Ramganj;indwb.nh027ram;
indnh;IND-BR;NH27;;Ram;Ramganj;indbr.nh027ram;
indnh;IND-WB;NH27;;;Bagadora-Alipurduar;indwb.nh027;
indnh;IND-AS;NH27;;Guw;Guwahati;indas.nh027guw;
indnh;IND-MG;NH27;;ooa;Meghalaya Border Jump A;indmg.nh027ooa;
indnh;IND-AS;NH27;;ooa;Assam Border Jump A;indas.nh027ooa;
indnh;IND-MG;NH27;;oob;Meghalaya Border Jump B;indmg.nh027oob;
indnh;IND-AS;NH27;;oob;Assam Border Jump B;indas.nh027oob;
indnh;IND-MG;NH27;;ooc;Meghalaya Border Jump C;indmg.nh027ooc;
indnh;IND-AS;NH27;;;Silchar;indas.nh027;
indnh;IND-UP;NH28;;;;indup.nh028;
indnh;IND-AP;NH30;;;;indap.nh030;
indnh;IND-TG;NH30;;;;indtg.nh030;
indnh;IND-AP;NH30;;nel;Nellipaka;indap.nh030nel;
indnh;IND-TG;NH30;;lax;Laxmipuram;indtg.nh030lax;
indnh;IND-AP;NH30;;eta;Etapaka;indap.nh030eta;
indnh;IND-TG;NH30;;bha;Bhadradri Korthagudem District;indtg.nh030bha;
indnh;IND-AP;NH30;;chi;Chinturu;indap.nh030chi;
indnh;IND-CG;NH30;;;;indcg.nh030;
indnh;IND-CG;NH30;;rai;Raipur;indcg.nh030wrai;
indnh;IND-CG;NH30;;rai;Raipur;indcg.nh030rai;
indnh;IND-CG;NH30;;rai;Raipur;indcg.nh030erai;
indnh;IND-MP;NH30;;;;indmp.nh030;
indnh;IND-UP;NH30;;;;indup.nh030;
indnh;IND-UP;NH31;;;;indup.nh031;
indnh;IND-BR;NH31;;;;indbr.nh031;
indnh;IND-WB;NH31;;;;indwb.nh031;
indnh;IND-BR;NH33;;;;indbr.nh033;
indnh;IND-JH;NH33;;;;indjh.nh033;
indnh;IND-WB;NH33;;;;indwb.nh033;
indnh;IND-MP;NH34;;;;indmp.nh034;
indnh;IND-UP;NH34;;;;indup.nh034;
indnh;IND-UT;NH34;;;;indut.nh034;
indnh;IND-UP;NH35;;;;indup.nh035;
indnh;IND-UP;NH39;;jha;Jhansi;indup.nh039jha;
indnh;IND-MP;NH39;;orc;Orchha;indmp.nh039orc;
indnh;IND-UP;NH39;;jhd;Jhansi (District);indup.nh039jhd;
indnh;IND-MP;NH39;;nid;Niwari (District);indmp.nh039nid;
indnh;IND-UP;NH39;;bar;Barua Sagar;indup.nh039bar;
indnh;IND-MP;NH39;;niw;Niwari;indmp.nh039niw;
indnh;IND-UP;NH39;;sak;Sakrar;indup.nh039sak;
indnh;IND-MP;NH39;;kal;(Kalothra);indmp.nh039kal;
indnh;IND-UP;NH39;;bhi;Bhitora;indup.nh039bhi;
indnh;IND-MP;NH39;;ghu;Ghughsi Khas;indmp.nh039ghu;
indnh;IND-UP;NH39;;mau;Mauranipur;indup.nh039mau;
indnh;IND-MP;NH39;;chh;Chhatipahadi;indmp.nh039chh;
indnh;IND-UP;NH39;;mah;Mahoba District;indup.nh039mah;
indnh;IND-MP;NH39;;;;indmp.nh039;
indnh;IND-UP;NH39;;;;indup.nh039;
indnh;IND-JH;NH39;;;;indup.nh039;
indnh;IND-TN;NH42;;;;indtn.nh042;
indnh;IND-AP;NH42;;kup;Kuppam;indap.nh042kup;
indnh;IND-KA;NH42;;kol;Kolar District;indka.nh042kol;
indnh;IND-AP;NH42;;nay;Nayanipalli;indap.nh042nay;
indnh;IND-KA;NH42;;son;Sonepalli;indka.nh042son;
indnh;IND-AP;NH42;;gan;Gandharamakulapalli;indap.nh042gan;
indnh;IND-KA;NH42;;pan;Pantanahalli;indka.nh042pan;
indnh;IND-AP;NH42;;;;indap.nh042;
indnh;IND-KA;NH42;;che;Chellagurki;indap.nh042che;
indnh;IND-TN;NH44;;;;indtn.nh044;
indnh;IND-KA;NH44;;;;indka.nh044;
indnh;IND-AP;NH44;;;;indap.nh044;
indnh;IND-TG;NH44;;;;indtg.nh044;
indnh;IND-MH;NH44;;;Pandharkawada;indmh.nh044;
indnh;IND-MH;NH44W;;nag;Nagpur;indmh.nh044wnag;
indnh;IND-MH;NH44E;;nag;Mumbai-Kolkata Highway;indmh.nh044enag;
indnh;IND-MH;NH44;;ama;Amadi;indmh.nh044ama;
indnh;IND-MP;NH44;;seo;Seoni;indmp.nh044seo;
indnh;IND-MP;NH44W;;seo;Seoni;indmp.nh044wseo;
indnh;IND-MP;NH44E;;seo;Seoni;indmp.nh044eseo;
indnh;IND-MP;NH44;;;Sagar;indmp.nh044;
indnh;IND-UP;NH44;;;Lalitpur;indup.nh044;
indnh;IND-MP;NH44;;cha;Chakarpur;indmp.nh044cha;
indnh;IND-UP;NH44;;til;Tilak Nagar;indup.nh044til;
indnh;IND-MP;NH44;;ban;Bangay har;indmp.nh044ban;
indnh;IND-UP;NH44;;jha;Jhansi;indup.nh044jha;
indnh;IND-MP;NH44;;dat;Datia;indmp.nh044dat;
indnh;IND-MP;NH44W;;dab;Dabra;indmp.nh044wdab;
indnh;IND-MP;NH44E;;dab;Dabra Bypass Rd;indmp.nh044edab;
indnh;IND-MP;NH44;;Gwa;Gwalior;indmp.nh044;
indnh;IND-RJ;NH44;;;;indrj.nh044;
indnh;IND-UP;NH44;;jaj;Jajau;indup.nh044jaj;
indnh;IND-UP;NH44E;;agr;Agra;indup.nh044eagr;
indnh;IND-UP;NH44W;;agr;Agra Ring Road;indup.nh044wagr;
indnh;IND-UP;NH44;;mat;Mathura;indup.nh044;
indnh;IND-HR;NH44;;Far;Faradibad;indhr.nh044far;
indnh;IND-DL;NH44;;;;inddl.nh044;
indnh;IND-HR;NH44;;;Karnal;indhr.nh044;
indnh;IND-PB;NH44;;;Ludhiana;indpb.nh044;
indnh;IND-HP;NH44;;cha;Chak Kalan;indhp.nh044cha;
indnh;IND-PB;NH44;;kau;Kaunterpur;indpb.nh044kau;
indnh;IND-HP;NH44;;moh;Mohtali;indhp.nh044moh;
indnh;IND-PB;NH44;;pat;Pathankot;indpb.nh044pat;
indnh;IND-JK;NH44;;;;indjk.nh044;
indnh;IND-TN;NH48;;;;indtn.nh048;
indnh;IND-KA;NH48;;bom;Bommasandra;indka.nh048bom;
indnh;IND-KA;NH48W;;ben;Bengaluru NICE Peripheral Road;indka.nh048wben;
indnh;IND-KA;NH48E;;ben;Bengaluru;indka.nh048eben;
indnh;IND-KA;NH48;;;;indka.nh048;
indnh;IND-MH;NH48;;;;indmh.nh048;
indnh;IND-GJ;NH48;;vad;Vadodara;indnh.nh048vad;
indnh;IND-GJ;NH48W;;nad;Nadiad;indnh.048wnad;
indnh;IND-GJ;NH48E;;nad;[Nadiad] Ahmedabad-Vadodara Expressway;indnh.048enad;
indnh;IND-GJ;NH48;;;Ahmedabad;indgj.048;
indnh;IND-RJ;NH48;;;;indrj.nh048;
indnh;IND-HR;NH48;;;;indhr.nh048;
