systemName;region;route;banner;abbrev;city;root;altRouteNames;
ausqldtr;AUS-QLD;AW;;;Adventure Way;ausqld.aw;
ausqldtr;AUS-QLD;ACW;;;Australia's Country Way;ausqld.acw;
ausqldtr;AUS-QLD;CW;;;Capricorn Way;ausqld.cw;
ausqldtr;AUS-QLD;GIW;;;Great Inland Way;ausqld.giw;
ausqldtr;AUS-QLD;LW;;;Leichardt Way;ausqld.lw;
ausqldtr;AUS-QLD;MW;;;Matilda Way;ausqld.mw;
ausqldtr;AUS-QLD;OW;;;Overlanders Way;ausqld.ow;
ausqldtr;AUS-QLD;PCW;;;Pacific Coast Way;ausqld.pcw;
ausqldtr;AUS-QLD;SW;;;Savannah Way;ausqld.sw;
ausqldtr;AUS-QLD;WW;;;Warrego Way;ausqld.ww;
