System;Route;Banner;City;Root
gbna6;A6;;Derby;eng.a006
gbna6;A6;;Preston;eng.a006pre
gbna6;A60;;;eng.a060
gbna6;A61;;(Main);eng.a061
gbna6;A61;;Sheffield;eng.a061she
gbna6;A62;;(Main);eng.a062
gbna6;A62;;Huddersfield;eng.a062hud
gbna6;A63;;;eng.a063
gbna6;A64;;;eng.a064
gbna6;A65;;;eng.a065
gbna6;A66;;Penrith;eng.a066
gbna6;A66;;Teesside;eng.a066tee
gbna6;A67;;;eng.a067
gbna6;A68;;;eng.a068,sct.a068
gbna6;A69;;;eng.a069
gbna6;A600;;;eng.a600
gbna6;A601;;;eng.a601
gbna6;A602;;(Main);eng.a602
gbna6;A602;;Stevenage;eng.a602ste
gbna6;A603;;Bedford;eng.a603
gbna6;A603;;Cambridge;eng.a603cam
gbna6;A605;;;eng.a605
gbna6;A606;;;eng.a606
gbna6;A607;;;eng.a607
gbna6;A608;;;eng.a608
gbna6;A609;;;eng.a609
gbna6;A610;;;eng.a610
gbna6;A611;;;eng.a611
gbna6;A612;;;eng.a612
gbna6;A614;;;eng.a614
gbna6;A615;;;eng.a615
gbna6;A616;;;eng.a616
gbna6;A617;;;eng.a617
gbna6;A618;;;eng.a618
gbna6;A619;;;eng.a619
gbna6;A620;;;eng.a620
gbna6;A621;;;eng.a621
gbna6;A623;;;eng.a623
gbna6;A624;;;eng.a624
gbna6;A625;;;eng.a625
gbna6;A626;;;eng.a626
gbna6;A627;;;eng.a627
gbna6;A628;;;eng.a628
gbna6;A629;;Rotherham;eng.a629rot
gbna6;A629;;Huddersfield;eng.a629
gbna6;A630;;;eng.a630
gbna6;A631;;;eng.a631
gbna6;A632;;;eng.a632
gbna6;A633;;;eng.a633
gbna6;A634;;;eng.a634
gbna6;A635;;;eng.a635
gbna6;A636;;;eng.a636
gbna6;A637;;;eng.a637
gbna6;A638;;(Main);eng.a638
gbna6;A638;;Dewsbury;eng.a638dew
gbna6;A639;;;eng.a639
gbna6;A640;;;eng.a640
gbna6;A641;;;eng.a641
gbna6;A642;;;eng.a642
gbna6;A643;;;eng.a643
gbna6;A644;;;eng.a644
gbna6;A645;;;eng.a645
gbna6;A646;;;eng.a646
gbna6;A647;;;eng.a647
gbna6;A649;;;eng.a649
gbna6;A650;;;eng.a650
gbna6;A651;;;eng.a651
gbna6;A652;;;eng.a652
gbna6;A653;;;eng.a653
gbna6;A654;;;eng.a654
gbna6;A655;;;eng.a655
gbna6;A656;;;eng.a656
gbna6;A657;;;eng.a657
gbna6;A658;;;eng.a658
gbna6;A659;;(Main);eng.a659
gbna6;A659;;Tadcaster;eng.a659tad
gbna6;A660;;;eng.a660
gbna6;A661;;;eng.a661
gbna6;A662;;;eng.a662
gbna6;A663;;;eng.a663
gbna6;A664;;(Main);eng.a664
gbna6;A664;;Sudden;eng.a664sud
gbna6;A665;;;eng.a665
gbna6;A666;;;eng.a666
gbna6;A667;;;eng.a667
gbna6;A669;;;eng.a669
gbna6;A670;;;eng.a670
gbna6;A671;;;eng.a671
gbna6;A672;;;eng.a672
gbna6;A673;;;eng.a673
gbna6;A674;;;eng.a674
gbna6;A675;;;eng.a675
gbna6;A676;;;eng.a676
gbna6;A677;;;eng.a677
gbna6;A678;;;eng.a678
gbna6;A679;;;eng.a679
gbna6;A680;;;eng.a680
gbna6;A681;;;eng.a681
gbna6;A682;;;eng.a682
gbna6;A683;;;eng.a683
gbna6;A684;;;eng.a684
