System;Route;Banner;City;Root
gbna9;A9;;;sct.a009
gbna9;A90;;Edinburgh;sct.a090edi
gbna9;A90;;Aberdeen;sct.a090
gbna9;A91;;;sct.a091
gbna9;A92;;;sct.a092
gbna9;A93;;;sct.a093
gbna9;A94;;;sct.a094
gbna9;A95;;;sct.a095
gbna9;A96;;;sct.a096
gbna9;A97;;;sct.a097
gbna9;A98;;;sct.a098
gbna9;A99;;;sct.a099
gbna9;A900;;;sct.a900
gbna9;A901;;;sct.a901
gbna9;A902;;;sct.a902
gbna9;A903;;;sct.a903
gbna9;A904;;;sct.a904
gbna9;A905;;;sct.a905
gbna9;A907;;;sct.a907
gbna9;A908;;;sct.a908
gbna9;A909;;;sct.a909
gbna9;A910;;;sct.a910
gbna9;A911;;;sct.a911
gbna9;A912;;;sct.a912
gbna9;A913;;;sct.a913
gbna9;A914;;;sct.a914
gbna9;A915;;;sct.a915
gbna9;A916;;;sct.a916
gbna9;A917;;;sct.a917
gbna9;A918;;;sct.a918
gbna9;A919;;;sct.a919
gbna9;A920;;;sct.a920
gbna9;A921;;;sct.a921
gbna9;A922;;;sct.a922
gbna9;A923;;;sct.a923
gbna9;A924;;;sct.a924
gbna9;A926;;;sct.a926
gbna9;A928;;;sct.a928
gbna9;A929;;;sct.a929
gbna9;A930;;;sct.a930
gbna9;A932;;;sct.a932
gbna9;A933;;;sct.a933
gbna9;A934;;;sct.a934
gbna9;A935;;;sct.a935
gbna9;A937;;;sct.a937
gbna9;A938;;;sct.a938
gbna9;A939;;;sct.a939
gbna9;A940;;;sct.a940
gbna9;A941;;;sct.a941
gbna9;A942;;;sct.a942
gbna9;A944;;;sct.a944
gbna9;A945;;;sct.a945
gbna9;A947;;;sct.a947
gbna9;A948;;;sct.a948
gbna9;A949;;;sct.a949
gbna9;A950;;;sct.a950
gbna9;A952;;;sct.a952
gbna9;A955;;;sct.a955
gbna9;A956;;;sct.a956
gbna9;A957;;;sct.a957
gbna9;A960;;;sct.a960
gbna9;A961;;;sct.a961
gbna9;A962;;;sct.a962
gbna9;A963;;;sct.a963
gbna9;A964;;;sct.a964
gbna9;A965;;;sct.a965
gbna9;A966;;;sct.a966
gbna9;A967;;;sct.a967
gbna9;A968;;Firth;sct.a968
gbna9;A968;;Mid Yell;sct.a968mid
gbna9;A968;;Ballasound;sct.a968bal
gbna9;A969;;;sct.a969
gbna9;A970;;(Main);sct.a970
gbna9;A970;;Scalloway;sct.a970sca
gbna9;A970;;Hillswick;sct.a970hil
gbna9;A971;;(Main);sct.a971
gbna9;A971;;Walls;sct.a971wal
gbna9;A972;;;sct.a972
gbna9;A975;;;sct.a975
gbna9;A977;;;sct.a977
gbna9;A978;;;sct.a978
gbna9;A980;;;sct.a980
gbna9;A981;;;sct.a981
gbna9;A982;;;sct.a982
gbna9;A984;;;sct.a984
gbna9;A985;;;sct.a985
gbna9;A986;;;sct.a986
gbna9;A989;;;sct.a989
gbna9;A990;;;sct.a990
gbna9;A991;;;sct.a991
gbna9;A993;;;sct.a993
gbna9;A994;;;sct.a994
gbna9;A9011;;;sct.a9011
gbna9;A9012;;;sct.a9012
gbna9;A9013;;;sct.a9013
