System;Region;Route;Banner;Abbreviation;City;Filename;Root;AltRouteNames;
usasc;SC;SC9;;;;sc.sc009;
usasc;SC;SC9;Bus;Ben;Bennettsville;sc.sc009busben;
usasc;SC;SC9;Bus;Che;Chesterfield;sc.sc009busche;
usasc;SC;SC9;Bus;Lan;Lancaster;sc.sc009buslan;
usasc;SC;SC9;Bus;Lor;Loris;sc.sc009buslor;
usasc;SC;SC9;Trk;Che;Cheraw;sc.sc009trkche;
usasc;SC;SC11;;;;sc.sc011;
usasc;SC;SC65;;;;sc.sc065;
usasc;SC;SC90;;;;sc.sc090;
usasc;SC;SC105;;;;sc.sc105;
usasc;SC;SC121;;;;sc.sc121;
usasc;SC;SC211;;;;sc.sc211;
