System;Region;Route;Banner;Abbreviation;City;Filename root;AltRouteNames
usaca;CA;CA1;;;;ca.ca001;
usaca;CA;CA1;Bus;Cuy;Cayucos;ca.ca001buscay;
usaca;CA;CA1;Bus;Cam;Cambria;ca.ca001buscam;
usaca;CA;CA2;;;;ca.ca002;
usaca;CA;CA3;;;;ca.ca003;
usaca;CA;CA4;;;;ca.ca004;
usaca;CA;CA4;Byp;Ant;Antioch;ca.ca004bypant;
usaca;CA;CA4;Bus;Sto;Stockton;ca.ca004bussto;
usaca;CA;CA7;;;;ca.ca007;
usaca;CA;CA9;;;;ca.ca009;
usaca;CA;CA12;;;;ca.ca012;
usaca;CA;CA13;;;;ca.ca013;
usaca;CA;CA14;;;;ca.ca014;
usaca;CA;CA14U;;;;ca.ca014u;
usaca;CA;CA14;Trk;New;Newhall Interchange;ca.ca014trknew;
usaca;CA;CA15;;;;ca.ca015;
usaca;CA;CA16;;;;ca.ca016;
usaca;CA;CA17;;;;ca.ca017;
usaca;CA;CA18;;;;ca.ca018;
usaca;CA;CA19;;;;ca.ca019;
usaca;CA;CA20;;;;ca.ca020;
usaca;CA;CA20;Bus;Wil;Williams;ca.ca020buswil;
usaca;CA;CA22;;;;ca.ca022;
usaca;CA;CA23;;;;ca.ca023;
usaca;CA;CA24;;;;ca.ca024;
usaca;CA;CA25;;;;ca.ca025;
usaca;CA;CA25;Bus;Hol;Hollister;ca.ca025bushol;
usaca;CA;CA26;;;;ca.ca026;
usaca;CA;CA27;;;;ca.ca027;
usaca;CA;CA28;;;;ca.ca028;
usaca;CA;CA29;;;;ca.ca029;
usaca;CA;CA32;;;;ca.ca032;
usaca;CA;CA33;;;;ca.ca033;
usaca;CA;CA34;;;;ca.ca034;
usaca;CA;CA35;;;;ca.ca035;
usaca;CA;CA36;;;;ca.ca036;
usaca;CA;CA37;;;;ca.ca037;
usaca;CA;CA38;;;;ca.ca038;
usaca;CA;CA39;;;;ca.ca039;
usaca;CA;CA39;;ANG;Angeles National Forest;ca.ca039ang;
usaca;CA;CA41;;;;ca.ca041;
usaca;CA;CA43;;;;ca.ca043;
usaca;CA;CA45;;;;ca.ca045;
usaca;CA;CA46;;;;ca.ca046;
usaca;CA;CA47;;;;ca.ca047;
usaca;CA;CA49;;;;ca.ca049;
usaca;CA;CA51;;;;ca.ca051;
usaca;CA;CA52;;;;ca.ca052;
usaca;CA;CA53;;;;ca.ca053;
usaca;CA;CA54;;;;ca.ca054;
usaca;CA;CA55;;;;ca.ca055;
usaca;CA;CA56;;;;ca.ca056;
usaca;CA;CA57;;;;ca.ca057;
usaca;CA;CA58;;;;ca.ca058;
usaca;CA;CA58;Bus;Teh;Tehachapi;ca.ca058busteh;
usaca;CA;CA58;Bus;Moj;Mojave;ca.ca058busmoj;
usaca;CA;CA58;Bus;Bor;Boron;ca.ca058busbor;
usaca;CA;CA60;;;;ca.ca060;
usaca;CA;CA60;Bus;Riv;Riverside;ca.ca060busriv;
usaca;CA;CA61;;;;ca.ca061;
usaca;CA;CA62;;;;ca.ca062;
usaca;CA;CA63;;;;ca.ca063;
usaca;CA;CA65;;;;ca.ca065;
usaca;CA;CA65;;Ros;Roseville;ca.ca065ros;
usaca;CA;CA66;;;;ca.ca066;
usaca;CA;CA67;;;;ca.ca067;
