System;Region;Route;Banner;Abbreviation;City;Root;AltRouteNames
autb;AUT;FelTauStr;;;Felbertauernstraße;aut.feltaustr;
autb;AUT;GerAlpStr;;;Gerlos Alpenstraße;aut.geralpstr;
autb;AUT;GroHocStr;;;Großglockner Hochalpenstraße;aut.grohocstr;
autb;AUT;SilHocStr;;;Silvretta Hochalpenstraße;aut.silhocstr;
