systemName;route;bannergroupName;roots
usaamtk;AdrLn;;Adroniack Line;ny.adrln
usaamtk;CapLn;;Capitol Line;pa.capln,md.caplncum,wv.capln,md.capln,dc.capln
usaamtk;CarLn;;Cardinal Line;wv.carln,va.carln
usaamtk;DowLn;;Downeaster Line;ma.dowln,nh.dowln,me.dowln
usaamtk;EmpCor;;Empire Line;ny.empln
usaamtk;HrtLn;;Hartford Line;ct.hrtln,ma.hrtln
usaamtk;KeyLn;;Keystone Line;pa.keyln
usaamtk;LakLn;;Lakeshore Line;pa.lakln,ny.lakln
usaamtk;NewNewsBra;;Newport News Branch;va.newnewsbra
usaamtk;NorBra;;Norfolk Branch;va.norbra
usaamtk;NECor;;Northeast Corridor;dc.necor,md.necor,de.necor,pa.necor,nj.necor,ny.necor,ct.necor,ri.necor,ma.necor
usaamtk;PalLn;;Palmetto Line;nc.palln
usaamtk;RoaBra;;Roanoke Branch;va.roabra
usaamtk;RutBra;;Rutland Branch;ny.rutbra,vt.rutbra
usaamtk;SilLn;;Silver Line;nc.silln
usaamtk;SECor;;Southeast Corridor;nc.secor,va.secor,dc.secor
usaamtk;SprLn;;Springfield Line;ny.sprln,ma.sprln
usaamtk;VerLn;;Vermont Line;ma.verln,vt.verlnbra,nh.verln,vt.verln
usaamtk;VirLn;;Virginia Line;nc.virln,va.virln
