systemName;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
jpnh;JPN;N2;;;;jpn.n002;
jpnh;JPN;N2;;Kan;Kanmon Pedestrian Tunnel;jpn.n002kan;
jpnh;JPN;N2;Byp;DSM;Daini Shinmei Road;jpn.n002bypdsm;
jpnh;JPN;N2;Byp;EH;East Hiroshima Bypass;jpn.n002bypeh;
jpnh;JPN;N2;Byp;EHW;East Hiroshima Bypass west segment;jpn.n002bypehw;
jpnh;JPN;N2;Byp;Ham;Hamate Bypass;jpn.n002bypham;
jpnh;JPN;N2;Byp;KaE;Kasaoka Bypass east segment;jpn.n002bypkae;
jpnh;JPN;N2;Byp;Kak;Kakogawa-Himeiji Bypass;jpn.n002bypkak;
jpnh;JPN;N2;Byp;Kas;Kasaoka Bypass;jpn.n002bypkas;
jpnh;JPN;N2;Byp;KNB;Kōbe Nishi Bypass;jpn.n002bypknb;
jpnh;JPN;N2;Byp;KNT;Kōbe Nishi Bypass Toll Road;jpn.n002bypknt;
jpnh;JPN;N2;Byp;KNW;Kōbe Nishi Bypass west segment;jpn.n002bypknw;
jpnh;JPN;N2;Byp;Ogo;Ogori Bypass;jpn.n002bypogo;
jpnh;JPN;N2;Byp;Ono;Onomichi Bypass;jpn.n002bypono;
jpnh;JPN;N2;Byp;SHE;Hiroshima South Bypass east segment;jpn.n002bypshe;
jpnh;JPN;N2;Byp;SHW;Hiroshima South Bypass west segment;jpn.n002bypshw;
jpnh;JPN;N2;Byp;Tam;Tamashima-Kasaoka Bypass;jpn.n002byptam;
jpnh;JPN;N2;Byp;WH;West Hiroshima Bypass;jpn.n002bypwh;
jpnh;JPN;N3;;;;jpn.n003;
jpnh;JPN;N3;Byp;Hak;Hakata Bypass;jpn.n003byphak;
jpnh;JPN;N3;Byp;Izu;Izumi Bypass;jpn.n003bypizu;
jpnh;JPN;N3;Byp;Kag;Kagoshima Bypass;jpn.n003bypkag;
jpnh;JPN;N3;Byp;Kum;Kumamoto North Bypass;jpn.n003bypkum;
jpnh;JPN;N3;Byp;Kur;Kurosaki Bypass;jpn.n003bypkur;
jpnh;JPN;N3;Byp;Uek;Ueki Bypass;jpn.n003bypuek;
jpnh;JPN;N3;Byp;Yat;Yatsushiro Bypass;jpn.n003bypyat;
jpnh;JPN;N4;;;;jpn.n004;
jpnh;JPN;N4;Byp;Miz;Mizusawa Higashi Bypass;jpn.n004bypmiz;
jpnh;JPN;N4;Byp;Sai;Higashi Saitama Bypass;jpn.n004bypsai;
jpnh;JPN;N4;Byp;Tsu;Tsukidate Bypass;jpn.n004byptsu;
jpnh;JPN;N4;Byp;Uts;Koshigaya-Utsunomiya Bypass;jpn.n004byputs;
jpnh;JPN;N5;;;;jpn.n005;
jpnh;JPN;N5;Byp;Hak;Hakodate New Road;jpn.n005byphak;
jpnh;JPN;N5;Byp;Kur;Kuromatsunai New Road;jpn.n005bypkur;
jpnh;JPN;N6;;;;jpn.n006;
jpnh;JPN;N6;;Yot;Shin Yotsugi Bridge;jpn.n006yot;
jpnh;JPN;N6;Byp;Hit;Hitachi Bypass;jpn.n006byphit;
jpnh;JPN;N6;Byp;HMR;Higashi Mito Road;jpn.n006byphmr;
jpnh;JPN;N6;Byp;SNR;Sendai-Nanbu Road;jpn.n006bypsnr;
jpnh;JPN;N6;Byp;STE;Sendai-Tōbu Expressway;jpn.n006bypste;
jpnh;JPN;N6;Byp;US;Ushiku-Tsuchiura Bypass South;jpn.n006bypus;
jpnh;JPN;N6;Byp;Ush;Ushiku-Tsuchiura Bypass;jpn.n006bypush;
jpnh;JPN;N7;;;;jpn.n007;
jpnh;JPN;N7;;Shi;Shimohama Old Road;jpn.n007shi;
jpnh;JPN;N7;Byp;Aom;Aomori Bypass;jpn.n007bypaom;
jpnh;JPN;N7;Byp;Ban;Bandajima Route;jpn.n007bypban;
jpnh;JPN;N7;Byp;Nos;Noshiro section E7Aki;jpn.n007bypnos;
jpnh;JPN;N7;Byp;Oda;Odate section E7Oda;jpn.n007bypoda;
jpnh;JPN;N7;Byp;Yur;Yurihonjo section E7Aki;jpn.n007bypyur;
jpnh;JPN;N9;;;;jpn.n009;
jpnh;JPN;N9;;Aoy;Aoya-Hawai Access Road;jpn.n009aoy;
jpnh;JPN;N9;;Yon;Yonago Spur;jpn.n009yon;
jpnh;JPN;N9;Byp;Got;Gōtsu Bypass;jpn.n009bypgot;
jpnh;JPN;N9;Byp;Ham;Hamada Bypass;jpn.n009bypham;
jpnh;JPN;N9;Byp;Kus;Masuda Road;jpn.n009bypkus;
jpnh;JPN;N9;Byp;Mas;Masuda Road;jpn.n009bypmas;
jpnh;JPN;N9;Byp;Mat;Matsue Bypass;jpn.n009bypmat;
jpnh;JPN;N9;Byp;Oda;Oda Bypass;jpn.n009bypoda;
jpnh;JPN;N9;Byp;Tot;Tottori Bypass;jpn.n009byptot;
jpnh;JPN;N9;Byp;Yun;Yunotsu Bypass;jpn.n009bypyun;
jpnh;JPN;N10;;;;jpn.n010;
jpnh;JPN;N10;Byp;Hay;Hayato Bypass;jpn.n010byphay;
jpnh;JPN;N10;Byp;Kag;Kagoshima North Bypass;jpn.n010bypkag;
jpnh;JPN;N10;Byp;Miy;Miyakonojo-Shibushi Road;jpn.n010bypmiy;
jpnh;JPN;N10;Byp;Nob;Nobeoka Bypass;jpn.n010bypnob;
jpnh;JPN;N10;Byp;Oit;Ōita South Bypass;jpn.n010bypoit;
jpnh;JPN;N10;Byp;Shi;Shīda Bypass;jpn.n010bypshi;
jpnh;JPN;N10;Byp;Tot;Totoro Bypass;jpn.n010byptot;
jpnh;JPN;N10;Byp;Usa;Usa-Beppu Bypass;jpn.n010bypusa;
jpnh;JPN;N11;;;;jpn.n011;
jpnh;JPN;N11;Byp;Kaw;Kawanoe-Mishima Bypass;jpn.n011bypkaw;
jpnh;JPN;N11;Byp;Kom;Komatsu Bypass;jpn.n011bypkom;
jpnh;JPN;N11;Byp;NiE;Niihama Bypass E segment;jpn.n011bypnie;
jpnh;JPN;N11;Byp;NiW;Niihama Bypass W segment;jpn.n011bypniw;
jpnh;JPN;N11;Byp;Och;Ōchi-Shirotori Bypass;jpn.n011bypoch;
jpnh;JPN;N11;Byp;Sai;Saijo Bypass;jpn.n011bypsai;
jpnh;JPN;N11;Byp;Tak;Takamatsu East Bypass;jpn.n011byptak;
jpnh;JPN;N12;;;;jpn.n012;
jpnh;JPN;N12;Byp;Asa;Asahikawa Bypass;jpn.n012bypasa;
jpnh;JPN;N12;Byp;Tak;Takikawa Bypass;jpn.n012byptak;
jpnh;JPN;N13;;;;jpn.n013;
jpnh;JPN;N13;;Yok;Yokote Spur;jpn.n013yok;
jpnh;JPN;N13;Byp;FWR;Fukushima West Road;jpn.n013bypfwr;
jpnh;JPN;N13;Byp;Inn;Innai section E13Inn;jpn.n013bypinn;
jpnh;JPN;N13;Byp;Noz;Nozoki section E13Noz;jpn.n013bypnoz;
jpnh;JPN;N13;Byp;Shi;Shinjo section E13Shi;jpn.n013bypshi;
jpnh;JPN;N13;Byp;Tak;Takahata section E13;jpn.n013byptak;
jpnh;JPN;N13;Byp;Yok;Yokote section E13Yok;jpn.n013bypyok;
jpnh;JPN;N24;;;;jpn.n024;
jpnh;JPN;N24;Byp;Kas;Kashihara Bypass;jpn.n024bypkas;
jpnh;JPN;N24;Byp;Kei;Keinawa Expressway;jpn.n024bypkei;
jpnh;JPN;N24;Byp;Ten;Kashihara Bypass Tenri;jpn.n024bypten;
jpnh;JPN;N24;Byp;Wak;Wakayama Bypass;jpn.n024bypwak;
jpnh;JPN;N25;;;;jpn.n025;
jpnh;JPN;N25;Byp;Ika;Ikaruga Parkway;jpn.n025bypika;
jpnh;JPN;N25;Byp;Mei;Meihan Expressway;jpn.n025bypmei;
jpnh;JPN;N25;Byp;Nan;Naniwa Bypass;jpn.n025bypnan;
jpnh;JPN;N26;;;;jpn.n026;
jpnh;JPN;N27;;;;jpn.n027;
jpnh;JPN;N28;;;Kōbe;jpn.n028;
jpnh;JPN;N28;;Awa;Awajishima;jpn.n028awa;
jpnh;JPN;N28;;Iwa;Iwaji Spur;jpn.n028iwa;
jpnh;JPN;N28;;Tok;Tokushima;jpn.n028tok;
jpnh;JPN;N28;Byp;KAN;Kōbe-Awaji-Naruto Expressway;jpn.n028bypkan;
jpnh;JPN;N29;;;;jpn.n029;
jpnh;JPN;N30;;;;jpn.n030;
jpnh;JPN;N30;;Tak;Takamatsu;jpn.n030tak;
jpnh;JPN;N30;Byp;Set;Seto Chūo Expressway;jpn.n030bypset;
jpnh;JPN;N31;;;;jpn.n031;
jpnh;JPN;N31;Byp;Kur;Hiroshima-Kure Road;jpn.n031bypkur;
jpnh;JPN;N32;;;;jpn.n032;
jpnh;JPN;N32;;Koc;Kōchi Spur;jpn.n032koc;
jpnh;JPN;N33;;;;jpn.n033;
jpnh;JPN;N33;Byp;Koc;Kōchi West Bypass;jpn.n033bypkoc;
jpnh;JPN;N33;Byp;Mat;Matsuyama Outer Ring Road;jpn.n033bypmat;
jpnh;JPN;N34;;;;jpn.n034;
jpnh;JPN;N34;Byp;Nag;Nagasaki Bypass;jpn.n034bypnag;
jpnh;JPN;N34;Byp;Sho;Nagasaki Bypass Showa Spur;jpn.n034bypsho;
jpnh;JPN;N34;Byp;Tak;Takeo Bypass;jpn.n034byptak;
jpnh;JPN;N35;;;;jpn.n035;
jpnh;JPN;N36;;;;jpn.n036;
jpnh;JPN;N37;;;;jpn.n037;
jpnh;JPN;N37;Byp;Hak;Hakuchō Bypass;jpn.n037byphak;
jpnh;JPN;N38;;;;jpn.n038;
jpnh;JPN;N38;Byp;Fur;Furano Bypass;jpn.n038bypfur;
jpnh;JPN;N38;Byp;Kus;Kushiro Bypass;jpn.n038bypkus;
jpnh;JPN;N39;;;;jpn.n039;
jpnh;JPN;N39;Byp;Bih;Bihoro Bypass;jpn.n039bypbih;
jpnh;JPN;N39;Byp;Kit;Kitami Road;jpn.n039bypkit;
jpnh;JPN;N40;;;;jpn.n040;
jpnh;JPN;N40;Byp;Nay;Nayoro-Bifuka Road;jpn.n040bypnay;
jpnh;JPN;N40;Byp;Toy;Toyotomi Bypass;jpn.n040byptoy;
jpnh;JPN;N42;;;Aichi;jpn.n042;
jpnh;JPN;N42;;Kii;Kii;jpn.n042kii;
jpnh;JPN;N42;Byp;Gob;Hanwa Expressway Gobo;jpn.n042bypgob;
jpnh;JPN;N42;Byp;IFT;Ise Futami Toba Line;jpn.n042bypift;
jpnh;JPN;N42;Byp;Owa;Kumano-Owase Road;jpn.n042bypowa;
jpnh;JPN;N42;Byp;Shi;Nachikatsuura-Shingu Road;jpn.n042bypshi;
jpnh;JPN;N43;;;;jpn.n043;
jpnh;JPN;N44;;;;jpn.n044;
jpnh;JPN;N44;Byp;Kus;Kushiro Bypass;jpn.n044bypkus;
jpnh;JPN;N44;Byp;Nem;Nemuro Bypass;jpn.n044bypnem;
jpnh;JPN;N45;;;;jpn.n045;
jpnh;JPN;N45;;Kam;Kamaishi Spur;jpn.n045kam;
jpnh;JPN;N45;;Rik;Rikuzentakata Spur;jpn.n045rik;
jpnh;JPN;N45;;Yam;Yamada Spur;jpn.n045yam;
jpnh;JPN;N45;Byp;San;Sanriku Expressway E45, E6;jpn.n045bypsan;
jpnh;JPN;N46;;;;jpn.n046;
jpnh;JPN;N47;;;;jpn.n047;
jpnh;JPN;N47;Byp;SHR;Sendai-Hokubu Expressway E6;jpn.n047bypshr;
jpnh;JPN;N47;Byp;SKE;Shinjo-Koguchi Road East segment;jpn.n047bypske;
jpnh;JPN;N47;Byp;SKW;Shinjo-Koguchi Road West segment;jpn.n047bypskw;
jpnh;JPN;N48;;;;jpn.n048;
jpnh;JPN;N49;;;;jpn.n049;
jpnh;JPN;N49;;Mik;Mikawa Old Road;jpn.n049mik;
jpnh;JPN;N49;;Tsu;Tsugawa Old Road;jpn.n049tsu;
jpnh;JPN;N53;;;;jpn.n053;
jpnh;JPN;N53;Byp;Tsu;Tsuyama Bypass;jpn.n053byptsu;
jpnh;JPN;N54;;;;jpn.n054;
jpnh;JPN;N55;;;;jpn.n055;
jpnh;JPN;N55;Byp;Ana;Anan Road;jpn.n055bypana;
jpnh;JPN;N55;Byp;Kik;Hiwasa Road;jpn.n055bypkik;
jpnh;JPN;N55;Byp;Koc;Kōchi-Tōbu Expressway;jpn.n055bypkoc;
jpnh;JPN;N55;Byp;Kon;Kōchi-Tōbu Expressway;jpn.n055bypkon;
jpnh;JPN;N56;;;;jpn.n056;
jpnh;JPN;N56;;Mas;Masuda Old Road;jpn.n056mas;
jpnh;JPN;N56;;Ozu;Ōzu Spur;jpn.n056ozu;
jpnh;JPN;N56;Byp;Kub;Kubokawa-Saga Road;jpn.n056bypkub;
jpnh;JPN;N56;Byp;Nak;Nakamura-Sukumo Road;jpn.n056bypnak;
jpnh;JPN;N56;Byp;Ozu;Ōzu Road;jpn.n056bypozu;
jpnh;JPN;N56;Byp;Sus;Susaki Road;jpn.n056bypsus;
jpnh;JPN;N56;Byp;Uwa;Uwajima Road;jpn.n056bypuwa;
jpnh;JPN;N57;;;;jpn.n057;
jpnh;JPN;N57;;Nag;Nagasaki;jpn.n057nag;
jpnh;JPN;N57;Byp;Kit;Kitagawa-Fukkyū Road;jpn.n057bypkit;
jpnh;JPN;N58;;;Kagoshima;jpn.n058;
jpnh;JPN;N58;;Ama;Amami Oshima;jpn.n058ama;
jpnh;JPN;N58;;Oki;Okinawa;jpn.n058oki;
jpnh;JPN;N58;;Tan;Tanegashima;jpn.n058tan;
jpnh;JPN;N58;Byp;Gin;Ginowan Bypass;jpn.n058bypgin;
jpnh;JPN;N58;Byp;Nag;Nago East Bypass;jpn.n058bypnag;
jpnh;JPN;N58;Byp;Nah;Naha West Road;jpn.n058bypnah;
jpnh;JPN;N58;Byp;OnM;Onna South Bypass;jpn.n058byponm;
jpnh;JPN;N58;Byp;Onn;Onna Bypass;jpn.n058byponn;
