systemName;region;route;banner;abbrev;city;root
index;IND-DL;BarRd;;;Barapullah (Elevated) Road;inddl.barrd;
index;IND-DL;OutRingRd;;;OuterRingRd;inddl.outringrd;
index;IND-DL;DNDFly;;;DND Flyover;inddl.dndfly;
index;IND-UP;DNDFly;;;DND Flyover;indup.dndfly;
index;IND-KA;NICEExp;;;Nandi Infrastructure Corridor Enterprises Expressway;indka.nice;
index;IND-KA;STRR;;;Satelite Town Ring Road;indka.strr;
index;IND-UP;AgraLucExp;;;Agra-Lucknow Expressway;indup.agraluckexpy;
index;IND-DL;DadRd;;;Dadri Road;inddl.dadrd;
index;IND-UP;NoiExp;;;Noida-Greater Noida Expressay;indup.noiexpy;
index;IND-UP;YamExp;;;Yamuna Expressway;indup.yamexpy;
index;IND-UP;BunExp;;;Bundelkhand Expressway;indup.bunexpy;
index;IND-UP;MahMarg;;Maharaja Agrasen Marg Flyover;indup.mahmarg;
index;IND-UP;HinRd;;Hindon Elevated Road;indup.hinrd;
index;IND-UP;PurExp;;;Purvanchal Expressway;indup.purexpy;
