systemName;region;route;banner;abbrev;city;root;altRouteNames
idnt;T1;;Java;idn.t001;JTJM,JTPJak,JTATP,JTCP,JTPK,JTKP,JTPP,JTPB,JTBSSem
idnt;T2;;Java;idn.t002;JTWW,JTJ,JTBCS
idnt;T3;;Java;idn.t003;JTPS
idnt;T4;;Java;idn.t004;JTC,JTP
idnt;T5;;Java;idn.t005;
idnt;T6;;Java;idn.t006;JTJB,JTSU,JTUB,JTBS,JTSS,JTKSSur
idnt;T6B;;Java;idn.t006b;JTJK
idnt;T6T;;Java;idn.t006t;JTJG
idnt;T7;;Java;idn.t007;
idnt;T8;;Java;idn.t008;JTSP,JTPG,JTGP,JTPM
idnt;T8B;;Java;idn.t008b;JTSG
idnt;T9;;Java;idn.t009;JTUS
idnt;T10;;Java;idn.t010;JTS
idnt;T11;;Java;idn.t011;JTKS,JTSN,JTNM,JTMC,JTCN,JTNK,JTBJ,JTJMJom,JTMM,JTSM,JTWJ
idnt;T12;;Java;idn.t012;JTAD
idnt;T13;;Java;idn.t013;JTGPBan,JTPPPas
idnt;T15;;Java;idn.t015;JTLLB
idnt;T17;;Depok, Java;idn.t017;JTCJ
idnt;T17;;Tangerang, Java;idn.t017tan;JTKSKun
idnt;T19;;Java;idn.t019;JTBCKM
idnt;T1;;Lubuk Pakam, Sumatra;idn.t001sum;JTMTT
idnt;T1;;Binjai, Sumatra;idn.t001bin;JTMB
idnt;T2;;Sumatra;idn.t002sum;
idnt;T3;;Sumatra;idn.t003sum;JTBTB,JTTBPP,JTPPKA,JTKAPB
idnt;T4;;Sumatra;idn.t004sum;
idnt;T6;;Sumatra;idn.t006sum;JTPI
idnt;T1;;Kalimantan;idn.t001kal;JTBSSam
idnt;T1;;Sulawesi;idn.t001sul;JTIS
idnt;T2;;Sulawesi;idn.t002sul;JTR
idnt;T1;;Bali;idn.t001bal;JTBM
