systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_country;_boundaries;B68;43;(0.99,36.51);KEN/TZA,UGA,SDN,ETH,SOM;b.068;
b_country;_boundaries;B69;39;(10.90,35.32);SDN/ETH,ERI;b.069;
b_country;_boundaries;B70;85;(12.54,26.96);SDN/EGY,LBY,TCD,CAF,COD,UGA;b.070;
b_country;_boundaries;B71;84;(5.68,19.17);CAF/TCD,CMR,COG,COD;b.071;
b_country;_boundaries;B72;28;(13.47,15.01);TCD/NER,NGA,CMR;b.072;
b_country;_boundaries;B73;34;(8.39,11.85);NGA/CMR;b.073;
b_country;_boundaries;B74;35;(11.44,6.60);NGA/BEN,NER;b.074;
b_country;_boundaries;B75;21;(10.22,1.90);BEN/BFA,NER;b.075;
b_country;_boundaries;B76;119;(15.19,-5.77);MLI/DZA,NER,BFA,CIV,GIN,SEN,MRT;b.076;
b_country;_boundaries;B77;30;(31.00,-4.81);MAR/ESH,DZA;b.077;
b_country;_boundaries;B78;14;(24.06,-12.36);ESH/MAR,DZA;b.078;
b_country;_boundaries;B79;21;(8.85,-2.36);CIV,BFA/GHA,TGO;b.079;
b_country;_boundaries;B80;38;(7.78,-9.86);SLE,LBR/GIN,CIV;b.080;
b_country;_boundaries;B81;19;(8.80,0.45);GHA/TGO;b.081;
b_country;_boundaries;B82;10;(2.23,11.62);CMR/GNQ,GAB;b.082;
b_country;_boundaries;B83;7;(1.24,10.48);GNQ/GAB;b.083;
b_country;_boundaries;B84;48;(-0.19,13.75);CMR,GAB/COG;b.084;
b_country;_boundaries;B85;86;(-6.83,28.59);COD/ZMB,TZA,BDI,RWA,UGA;b.085;
b_country;_boundaries;B86;44;(-1.76,16.01);COG,CFA/COD;b.086;
b_country;_boundaries;B87;59;(-18.98,29.73);ZWE/BWA,ZMB,MOZ,ZAF;b.087;
b_country;_boundaries;B88;78;(-11.34,19.08);AGO/NAM,ZMB,COD;b.088;
b_country;_boundaries;B89;49;(-13.83,35.17);MOZ/ZMB,MWI,TZA;b.089;
b_country;_boundaries;B90;22;(-18.96,22.87);NAM/BWA,ZMB,AGO;b.090;
b_country;_boundaries;B91;59;(-25.66,24.32);ZAF/NAM,BWA,ZWE,MOZ;b.091;
b_country;_boundaries;B92;20;(-9.54,33.07);TZA/ZMB,MOZ;b.092;
b_country;_boundaries;B93;26;(-1.66,30.31);RWA,UGA/KEN,BDI;b.093;
b_country;_boundaries;B94;13;(-3.44,30.01);BDI/RWA,TZA;b.094;
b_country;_boundaries;B95;13;(13.45,-15.03);GMB/SEN;b.095;
b_country;_boundaries;B96;18;(-29.56,28.11);LSO/ZFA;b.096;
b_country;_boundaries;B97;66;(12.30,-13.80);GIN/GNB;b.097;
b_country;_boundaries;B98;22;(59.08,-134.90);CAN/USA-AK;b.098;
b_country;_boundaries;B99;16;(17.15,-88.84);BLZ/MEX,GTM;b.099;
b_country;_boundaries;B100;33;(16.57,-90.97);GTM/MEX;b.100;
b_country;_boundaries;B101;14;(13.99,-89.07);SLV/GTM,HND;b.101;
b_country;_boundaries;B102;34;(14.15,-85.41);HND/NIC;b.102;
b_country;_boundaries;B103;12;(14.82,-89.14);GTM/HND;b.103;
b_country;_boundaries;B104;35;(11.44,6.60);NGA/NER,BEN;b.104;
b_country;_boundaries;B105;14;(8.92,-82.85);CRI/PAN;b.105;
b_country;_boundaries;B106;9;(9.05,-79.88);PAN/canal;b.106;
b_country;_boundaries;B107;7;(9.17,-79.59);canal/PAN;b.107;
b_country;_boundaries;B108;42;(-2.08,-77.84);ECU/COL,PER;b.108;
b_country;_boundaries;B109;82;(-7.98,-71.28);PER/COL,BRA,BOL;b.109;
