systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_subdiv;_boundaries;B481;53;(45.79,-121.35);USA-WA/OR;b.481;
b_subdiv;_boundaries;B482;82;(34.11,-114.57);USA-AZ/CA,NV;b.482;
b_subdiv;_boundaries;B484;65;(45.04,-116.90);USA-ID/WA,OR;b.484;
b_subdiv;_boundaries;B490;74;(34.08,-98.24);USA-TX/OK;b.490;
b_subdiv;_boundaries;B491;81;(33.77,-95.20);USA-TX/OK,AR;b.491;
b_subdiv;_boundaries;B494;56;(31.06,-93.71);USA-TX/LA;b.494;
b_subdiv;_boundaries;B495;70;(39.98,-95.24);USA-KS,NE/MO,IA;b.495;
b_subdiv;_boundaries;B496;69;(42.22,-96.68);USA-NE/SD,IA;b.496;
b_subdiv;_boundaries;B497;25;(43.00,-96.53);USA-SD/IA;b.497;
b_subdiv;_boundaries;B498;61;(47.11,-96.87);USA-MN/ND,SD;b.498;
b_subdiv;_boundaries;B499;12;(36.26,-90.17);USA-MO/AR;b.499;
b_subdiv;_boundaries;B500;9;(40.47,-91.58);USA-IA/MO;b.500;
b_subdiv;_boundaries;B620;85;(32.46,-91.22);USA-MS/LA,AR;b.620;
b_subdiv;_boundaries;B621;85;(35.51,-90.00);USA-AR,MO/TN,MS;b.621;
b_subdiv;_boundaries;B622;85;(38.31,-90.16);USA-IL/MO;b.622;
b_subdiv;_boundaries;B623;84;(42.48,-91.16);USA-IA,MN/WI,IL;b.623;
b_subdiv;_boundaries;B624;20;(30.56,-89.72);USA-LA/MS;b.624;
b_subdiv;_boundaries;B625;14;(30.71,-87.50);USA-AL/FL;b.625;
b_subdiv;_boundaries;B626;24;(30.65,-81.95);USA-FL/GA;b.626;
b_subdiv;_boundaries;B627;54;(31.79,-85.02);USA-AL,FL/GA;b.627;
b_subdiv;_boundaries;B628;46;(32.87,-81.54);USA-GA/SC;b.628;
b_subdiv;_boundaries;B629;35;(34.48,-82.97);USA-GA/SC;b.629;
b_subdiv;_boundaries;B631;82;(37.70,-87.65);USA-KY/IN,IL;b.631;
b_subdiv;_boundaries;B632;82;(38.62,-84.79);USA-KY/IN,OH;b.632;
b_subdiv;_boundaries;B633;81;(39.34,-81.54);USA-OH/KY,WV;b.633;
b_subdiv;_boundaries;B634;48;(38.47,-87.79);USA-IL/IN;b.634;
b_subdiv;_boundaries;B635;23;(37.94,-82.40);USA-WV/KY;b.635;
b_subdiv;_boundaries;B636;75;(39.37,-78.09);USA-MD,DC/VA,WV;b.636;
b_subdiv;_boundaries;B637;78;(40.95,-75.04);USA-PA/NJ,NY;b.637;
b_subdiv;_boundaries;B638;9;(40.59,-74.19);USA-NJ/NY;b.638;
b_subdiv;_boundaries;B640;4;(40.89,-73.94);USA-NJ/NY;b.640;
b_subdiv;_boundaries;B641;3;(40.75,-73.96);USA-NJ/NY;b.641;
b_subdiv;_boundaries;B700;29;(45.53,-92.69);USA-WI/MN;b.700;
b_subdiv;_boundaries;B701;38;(45.66,-88.03);USA-WI/MI;b.701;
b_subdiv;_boundaries;B702;8;(46.49,-90.28);USA-WI/MI;b.702;
b_subdiv;_boundaries;B703;54;(44.38,-73.27);USA-NY/VT;b.703;
b_subdiv;_boundaries;B706;47;(43.88,-72.03);USA-VT/NH;b.706;
b_subdiv;_boundaries;B707;12;(43.33,-70.90);USA-NH/ME;b.707;
b_subdiv;_boundaries;B730;16;(42.00,-117.51);USA-CA,NV,UT/OR,ID;b.730;
b_subdiv;_boundaries;B731;3;(46.00,-117.99);USA-WA/OR;b.731;
b_subdiv;_boundaries;B732;7;(36.87,-117.08);USA-NV/CA;b.732;
b_subdiv;_boundaries;B733;4;(40.56,-120.00);USA-NV/CA;b.733;
b_subdiv;_boundaries;B734;7;(39.02,-114.05);USA-NV/UT,AZ;b.734;
b_subdiv;_boundaries;B735;3;(42.94,-117.03);USA-OR,WA/ID;b.735;
b_subdiv;_boundaries;B736;4;(47.60,-117.03);USA-WA/ID;b.736;
b_subdiv;_boundaries;B737;21;(37.00,-104.03);USA-AZ,NM,OK/UT,CO,KS;b.737;
b_subdiv;_boundaries;B738;10;(41.00,-106.51);USA-UT,CO/WY,NE;b.738;
b_subdiv;_boundaries;B739;75;(44.88,-112.81);USA-MT/ID;b.739;
b_subdiv;_boundaries;B740;73;(46.76,-114.95);USA-MT/ID;b.740;
b_subdiv;_boundaries;B741;5;(43.00,-111.05);USA-WY/MT,ID,UT;b.741;
b_subdiv;_boundaries;B742;8;(45.00,-107.51);USA-MT/WY;b.742;
b_subdiv;_boundaries;B743;11;(36.03,-109.05);USA-UT,AZ/CO,NM;b.743;
b_subdiv;_boundaries;B744;16;(34.35,-102.68);USA-NM,OK/TX;b.744;
b_subdiv;_boundaries;B745;2;(36.75,-103.00);USA-NM/OK;b.745;
b_subdiv;_boundaries;B746;5;(39.00,-102.05);USA-CO/NE,KS;b.746;
b_subdiv;_boundaries;B747;5;(43.00,-104.05);USA-CO/SD,NE;b.747;
b_subdiv;_boundaries;B748;5;(47.00,-104.03);USA-NT/ND,SD;b.748;
b_subdiv;_boundaries;B749;8;(40.00,-98.55);USA-KS/NE;b.749;
b_subdiv;_boundaries;B750;7;(43.00,-101.08);USA-SD/NE;b.750;
b_subdiv;_boundaries;B751;9;(45.93,-100.07);USA-ND/SD;b.751;
b_subdiv;_boundaries;B752;3;(32.86,-94.05);USA-TX/AR,LA;b.752;
b_subdiv;_boundaries;B753;9;(36.07,-94.54);USA-KS,OK/MO,AR;b.753;
b_subdiv;_boundaries;B754;4;(44.45,-96.45);USA-MN/SD;b.754;
b_subdiv;_boundaries;B755;4;(33.01,-92.55);USA-AR/LA;b.755;
b_subdiv;_boundaries;B756;6;(36.50,-92.46);USA-MO/AR;b.756;
b_subdiv;_boundaries;B757;2;(36.00,-90.04);USA-MO/AR;b.757;
b_subdiv;_boundaries;B758;5;(40.59,-93.90);USA-IA/MO;b.758;
b_subdiv;_boundaries;B759;7;(43.50,-93.98);USA-MN/IA;b.759;
b_subdiv;_boundaries;B760;4;(31.00,-90.60);USA-LA/MO;b.760;
b_subdiv;_boundaries;B761;5;(31.00,-86.46);USA-AL/FL;b.761;
