systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_water;_boundaries;B131;3;(22.35,114.15);hong kong;b.131;
b_water;_boundaries;B182;97;(-77.33,-134.51);ATA/SOU;b.182;
b_water;_boundaries;B183;97;(-69.76,-77.22);ATA/SOU;b.183;
b_water;_boundaries;B184;96;(-72.56,-37.20);ATA/SOU;b.184;
b_water;_boundaries;B185;77;(-68.68,40.19);ATA/SOU;b.185;
b_water;_boundaries;B186;77;(-67.09,103.80);ATA/SOU;b.186;
b_water;_boundaries;B187;75;(-72.99,159.39);ATA/SOU;b.187;
b_water;_boundaries;B188;6;(-77.44,167.56);ATA/SOU;b.188;
b_water;_boundaries;B189;10;(-79.32,-162.23);ATA/SOU;b.189;
b_water;_boundaries;B190;5;(-76.50,-148.84);ATA/SOU;b.190;
b_water;_boundaries;B191;27;(-70.99,-71.88);ATA/SOU;b.191;
b_water;_boundaries;B192;9;(-70.27,-74.96);ATA/SOU;b.192;
b_water;_boundaries;B193;8;(-64.49,-63.27);ATA/SOU;b.193;
b_water;_boundaries;B194;5;(-63.28,-55.97);ATA/SOU;b.194;
b_water;_boundaries;B195;9;(-62.39,-59.61);ATA/SOU;b.195;
b_water;_boundaries;B196;4;(-60.57,-45.92);SOU/some island;b.196;
b_water;_boundaries;B197;99;(-19.27,-74.83);PAC/PRU,CHL;b.197;
b_water;_boundaries;B198;99;(-48.38,-72.56);PAC,ATL/CHL,ARG;b.198;
b_water;_boundaries;B199;99;(-34.65,-55.93);ATL/ARG,URY,BRA;b.199;
b_water;_boundaries;B200;99;(-4.61,-44.17);ATL/BRA,GUF,SUR,GUY;b.200;
b_water;_boundaries;B201;99;(10.34,-71.92);ATL,Car/GUY,VEN,COL,PAN,CRI,NIC;b.201;
b_water;_boundaries;B202;99;(22.78,-91.76);Car,GOM/HND,GTM,BLZ,MEX,USA;b.202;
b_water;_boundaries;B206;99;(65.86,-90.06);Husdon Bay,ARC/CAN;b.206;
b_water;_boundaries;B207A;;;ARC/CAN,USA;b.207a;
b_water;_boundaries;B207B;;;ARC/CAN,USA;b.207b;
b_water;_boundaries;B208;99;(58.99,-153.11);PAC/USA,CAN;b.208;
b_water;_boundaries;B209;99;(47.84,-126.60);PAC/CAN,USA;b.209;
b_water;_boundaries;B210;99;(27.51,-112.25);PAC/USA,MEX;b.210;
b_water;_boundaries;B211;94;(10.79,-87.20);PAC/MEX,GTM,HND,SLV,NIC,CRI,PAN,COL,ECU;b.211;
b_water;_boundaries;B212;26;(65.98,-121.15);CAN/Great Bear Lake;b.212;
b_water;_boundaries;B213;28;(61.88,-113.33);CAN/Great Slave Lake;b.213;
b_water;_boundaries;B214;13;(59.13,-109.54);Lake Athabasca/CAN;b.214;
b_water;_boundaries;B215;11;(57.12,-102.45);CAN/Reindeer Lake;b.215;
b_water;_boundaries;B216;21;(52.19,-97.68);CAN/Lake Winnipeg;b.216;
b_water;_boundaries;B217;23;(51.79,-99.55);CAN/Lake Manitoba;b.217;
b_water;_boundaries;B223;8;(-0.50,-91.26);PAC/ECU-Galapagos Isl.;b.223;
