date;region;systemName;description;statusChange
2017-07-25;Belgium;beln;Belgium Gewestwegen / Route Nationale;preview
2017-07-19;Switzerland;cheh;Switzerland Hauptstrassen;active
2017-07-09;Gabon;gaba;Gabon Autoroutes;active
2017-07-09;Namibia;nama;Namibia A Roads;active
2017-07-09;Senegal;sena;Senegal Autoroutes;active
2017-07-09;Tunisia;tuna;Tunisia Autoroutes;active
2017-07-09;Slovakia;svkii;Slovakia Cesta II. Triedy;preview
2017-07-09;South Africa;zafn;South Africa National Highways;preview
2017-07-05;(Canada) Manitoba;canmb;Manitoba Provincial Trunk Highways;active
2017-06-16;Czechia;czei;Czechia Silnice I. Třídy;active
2017-06-16;(Germany) Hesse;deuhel;Hesse Landesstraßen;preview
2017-06-13;Barbados;brbh;Barbados Highways;active
2017-06-13;Namibia;nama;Namibia A Roads;preview
2017-06-13;Nepal;nplh;Nepal Highways;preview
2017-06-13;Poland;poldw1;Poland Droga Wojewódzka 100-199;preview
2017-06-01;Israel;isrh;Israel Highways;preview
2017-05-30;(USA) Virginia;usava;Virginia State Highways;active
2017-05-29;(Canada) Quebec;canqc;Quebec Provincial Routes;preview
2017-05-13;Netherlands;nlds;Netherlands Stadsroutes;active
2017-05-06;(USA) California;usaca;California State Highways;preview
2017-05-06;(Canada) British Columbia;canbc;British Columbia Provincial Highways;active
2017-05-05;(USA) Puerto Rico;usapr;Puerto Rico Territorial Highways;preview
2017-04-22;Portugal;prtic;Portugal Itinerários Complementares;preview
2017-04-20;(China) Xinjiang;asiah;UNESCAP Asian Highways;active
2017-04-20;Mongolia;asiah;UNESCAP Asian Highways;active
2017-04-20;Russia;asiah;UNESCAP Asian Highways;active
2017-04-20;Denmark;dnksr;Denmark Sekundærrute;preview
2017-04-11;(USA) Wyoming;usawy;Wyoming State Highways;active
2017-04-08;Ireland;irlr;Ireland Regional Roads;preview
2017-04-08;Ireland;irlr1;Ireland Regional Roads 1xx;merged
2017-04-08;Ireland;irlr2;Ireland Regional Roads 2xx;merged
2017-04-08;Ireland;irlr3;Ireland Regional Roads 3xx;merged
2017-04-08;Ireland;irlr4;Ireland Regional Roads 4xx;merged
2017-04-08;Ireland;irlr5;Ireland Regional Roads 5xx;merged
2017-04-08;Ireland;irlr6;Ireland Regional Roads 6xx;merged
2017-04-08;Ireland;irlr7;Ireland Regional Roads 7xx;merged
2017-04-08;Ireland;irlr8;Ireland Regional Roads 8xx;merged
2017-04-08;Ireland;irlr9;Ireland Regional Roads 9xx;merged
2017-04-06;Ireland;irlr3;Ireland Regional Roads 3xx;preview
2017-04-06;Ireland;irlr4;Ireland Regional Roads 4xx;preview
2017-04-02;Singapore;sgpex;Singapore Expressways;active
2017-03-30;Ireland;irlr1;Ireland Regional Roads 1xx;preview
2017-03-30;Ireland;irlr2;Ireland Regional Roads 2xx;preview
2017-03-30;Ireland;irlr5;Ireland Regional Roads 5xx;preview
