System;CountryCode;Name;Color;Tier;Level
rksn;RKS;Kosovo National Roads;lightsalmon;3A;active
roua;ROU;Romania Autostradă;blue;1A;active
roudn;ROU;Romania Drumuri Naţionale;lightsalmon;3A;active
rusm;RUS;Russia Moskva Roads;lightsalmon;3A;active
sena;SEN;Senegal Autoroutes;blue;1A;active
sgpex;SGP;Singapore Expressways;blue;1A;active
srba;SRB;Serbia Autoputevi;blue;1A;active
svkd;SVK;Slovakia Diaľnica;blue;1A;active
svkr;SVK;Slovakia Rýchlostná Cesta;teal;1B;active
svki;SVK;Slovakia Cesta I. Triedy;lightsalmon;3A;active
svna;SVN;Slovenia Avtocesta;blue;1A;active
svnh;SVN;Slovenia Hitra Cesta;teal;1B;active
svng;SVN;Slovenia Glavne Ceste;lightsalmon;3A;active
swer;SWE;Sweden Riksvägar;lightsalmon;3A;active
turo;TUR;Turkey Otoyol;blue;1A;active
tuna;TUN;Tunisia Autoroutes;blue;1A;active
ukrm;UKR;Ukraine Mezdunarodnyj;lightsalmon;3A;active
usai;USA;United States Interstate Highways;blue;1A;active
usaib;USA;United States Business Interstate Highways;green;3B;active
usaif;USA;United States Future Interstate Highways;teal;3B;active
usansf;USA;United States Select Numbered State Freeways;teal;1D;active
usasf;USA;United States Select Named Freeways;teal;1D;active
usaus;USA;United States Numbered Highways;red;3A;active
usausb;USA;United States Auxillary Numbered Highways;magenta;3B;active
usaaz;USA;Arizona State Highways;brown;3C;active
usaco;USA;Colorado State Highways;brown;3C;active
usact;USA;Connecticut State Highways;brown;3C;active
usadc;USA;District of Columbia District Highways;brown;3C;active
usade;USA;Delaware State Highways;brown;3C;active
usagu;USA;Guam Territorial Highways;brown;3C;active
usahi;USA;Hawaii State Highways;brown;3C;active
usaia;USA;Iowa State Highways;brown;3C;active
usaid;USA;Idaho State Highways;brown;3C;active
usail;USA;Illinois State Highways;brown;3C;active
usain;USA;Indiana State Highways;brown;3C;active
usaks;USA;Kansas State Highways;brown;3C;active
usaky;USA;Kentucky State Highways;brown;3C;active
usakyp;USA;Kentucky Parkways;teal;1C;active
usame;USA;Maine State Highways;brown;3C;active
usamd;USA;Maryland State Highways;brown;3C;active
usama;USA;Massachusetts State Highways;brown;3C;active
usami;USA;Michigan State Highways;brown;3C;active
usamn;USA;Minnesota State Highways;brown;3C;active
usamo;USA;Missouri State Highways;brown;3C;active
usamt;USA;Montana Primary State Highways;brown;3C;active
usane;USA;Nebraska State Highways;brown;3C;active
usanes;USA;Nebraska State Links and Spurs;brown;3D;active
usanv;USA;Nevada State Highways;brown;3C;active
usanh;USA;New Hampshire State Highways;brown;3C;active
usanj;USA;New Jersey State Highways;brown;3C;active
usanm;USA;New Mexico State Highways;brown;3C;active
usany;USA;New York State Highways;brown;3C;active
usanc;USA;North Carolina State Highways;brown;3C;active
usand;USA;North Dakota State Highways;brown;3C;active
usamp;USA;Northern Mariana Islands Territorial Highways;brown;3C;active
usaoh;USA;Ohio State Highways;brown;3C;active
usaok;USA;Oklahoma State Highways;brown;3C;active
usaor;USA;Oregon State Routes;brown;3C;active
usapa;USA;Pennsylvania State Highways;brown;3C;active
usari;USA;Rhode Island State Highways;brown;3C;active
usasd;USA;South Dakota State Highways;brown;3C;active
usatx;USA;Texas State Highways;brown;3C;active
usatxl;USA;Texas State Highway Loops;brown;3D;active
usatxs;USA;Texas State Highway Spurs;brown;3D;active
usaut;USA;Utah State Highways;brown;3C;active
usava;USA;Virginia State Highways;brown;3C;active
usavt;USA;Vermont State Highways;brown;3C;active
usavi;USA;US Virgin Islands Territorial Highways;brown;3C;active
usawa;USA;Washington State Highways;brown;3C;active
usawv;USA;West Virginia State Highways;brown;3C;active
usawi;USA;Wisconsin State Highways;brown;3C;active
usawy;USA;Wyoming State Highways;brown;3C;active
#Preview Systems
albsh;ALB;Albania Rrugë Shtetërore;lightsalmon;3A;preview
asiahp;ASI;UNESCAP Asian Highways (for preview);red;2A;preview
asiahr;ASI;UNESCAP Asian Highways (for review);red;2A;preview
asim;ASI;ESCWA Arab Mashreq International Road Network;red;2A;preview
autb;AUT;Austria Landesstraßen B;lightsalmon;3C;preview
beln0;BEL;Belgium Gewestwegen / Route Nationale 1-99;lightsalmon;3D;preview
beln1;BEL;Belgium Gewestwegen / Route Nationale 101-186;lightsalmon;3D;preview
beln2;BEL;Belgium Gewestwegen / Route Nationale 201-287;lightsalmon;3D;preview
beln3;BEL;Belgium Gewestwegen / Route Nationale 300-399;lightsalmon;3D;preview
beln4;BEL;Belgium Gewestwegen / Route Nationale 400-499;lightsalmon;3D;preview
beln5;BEL;Belgium Gewestwegen / Route Nationale 500-599;lightsalmon;3D;preview
bihm;BIH;Bosnia and Herzegovina Magistrale;lightsalmon;3A;preview
cannl;CAN;Newfoundland and Labrador Provincial Highways;brown;3C;preview
canqc;CAN;Quebec Provincial Routes;brown;3C;preview
cheh;CHE;Switzerland Hauptstrassen;lightsalmon;3A;preview
chng;CHN;China National Expressways;blue;1A;preview
czeii;CZE;Czechia Silnice II. Třídy;yellow;3B;preview
deub;DEU;Germany Bundesstraßen;lightsalmon;3A;preview
deubyst;DEU;Bavaria Staatsstraßen;yellow;3C;preview
deuhel;DEU;Hesse Landesstraßen;yellow;3C;preview
dnksr;DNK;Denmark Sekundærrute;yellow;3B;preview
espn;ESP;Spain Carretera Nacionales;lightsalmon;3A;preview
estt;EST;Estonia Tugimaanteed;yellow;3B;preview
hrvd;HRV;Croatia Državne Ceste;lightsalmon;3A;preview
gbrtr;GBR;UK Tourist and Scenic Routes;brown;3E;preview
hkgrt;CHN;Hong Kong Routes;teal;1C;preview
