code;name;country;continent;regionType
ESP-CL;Castile and Leon;ESP;EUR;Autonomous Community
ESP-CM;Castilla-La Mancha;ESP;EUR;Autonomous Community
ESP-CN;Canary Islands;ESP;AFR;Autonomous Community
ESP-CT;Catalonia;ESP;EUR;Autonomous Community
ESP-EX;Extremadura;ESP;EUR;Autonomous Community
ESP-GA;Galicia;ESP;EUR;Autonomous Community
ESP-IB;Balearic Islands;ESP;EUR;Autonomous Community
ESP-MC;Region of Murcia;ESP;EUR;Autonomous Community
ESP-MD;Community of Madrid;ESP;EUR;Autonomous Community
ESP-ML;Melilla;ESP;AFR;Autonomous City
ESP-NC;Navarre;ESP;EUR;Autonomous Community
ESP-PV;Basque Country;ESP;EUR;Autonomous Community
ESP-RI;La Rioja;ESP;EUR;Autonomous Community
ESP-VC;Valencian Community;ESP;EUR;Autonomous Community
EST;Estonia;EST;EUR;Country
ETH;Ethiopia;ETH;AFR;Country
EUR;Europe;EUR;EUR;Continent
FIN;Finland;FIN;EUR;Country
FJI;Fiji;FJI;OCE;Country
FL;Florida;USA;NA;State
FLK;Falkland Islands;GBR;SA;Overseas Territory
FRA;France;FRA;EUR;Country
FRH;Corsica;FRA;EUR;Region
FRO;Faroe Islands;DNK;EUR;Constituent Country
FSM;Micronesia;FSM;OCE;Country
GA;Georgia (USA);USA;NA;State
GAB;Gabon;GAB;AFR;Country
GBR;United Kingdom;GBR;EUR;Country
GEO;Georgia (Asia);GEO;ASI;Country
GGY;Guernsey;GGY;EUR;Crown Dependency
GHA;Ghana;GHA;AFR;Country
GIB;Gibraltar;GBR;EUR;Overseas Territory
GIN;Guinea;GIN;AFR;Country
GLP;Guadeloupe;FRA;NA;Overseas Region
GMB;The Gambia;GMB;AFR;Country
GNB;Guinea-Bissau;GNB;AFR;Country
GNQ;Equatorial Guinea;GNQ;AFR;Country
GRC;Greece;GRC;EUR;Country
GRD;Grenada;GRD;NA;Country
GRL;Greenland;DNK;NA;Constituent Country
GTM;Guatemala;GTM;NA;Country
GU;Guam;USA;OCE;Territory
GUF;French Guiana;FRA;SA;Overseas Region
GUY;Guyana;GUY;SA;Country
HI;Hawaii;USA;OCE;State
HKG;Hong Kong;CHN;ASI;Special Administrative Region
HMD;Heard Island and McDonald Islands;AUS;OCE;External Territory
HND;Honduras;HND;NA;Country
HRV;Croatia;HRV;EUR;Country
HTI;Haiti;HTI;NA;Country
HUN;Hungary;HUN;EUR;Country
IA;Iowa;USA;NA;State
ID;Idaho;USA;NA;State
IDN;Indonesia;IDN;ASI;Country
IL;Illinois;USA;NA;State
IMN;Isle of Man;IMN;EUR;Crown Dependency
IN;Indiana;USA;NA;State
IND;India;IND;ASI;Country
IND-AN;Andaman and Nicobar Islands;IND;ASI;Union Territory
IND-AP;Andhra Pradesh;IND;ASI;State
IND-AR;Arunachal Pradesh;IND;ASI;State
IND-AS;Assam;IND;ASI;State
IND-BR;Bihar;IND;ASI;State
IND-CH;Chandigarh;IND;ASI;State
IND-CT;Chhattisgarh;IND;ASI;State
IND-DD;Daman and Diu;IND;ASI;Union Territory
IND-DL;National Capital Territory of Delhi;IND;ASI;Union Territory
IND-DN;Dadra and Nagar Haveli;IND;ASI;Union Territory
IND-GA;Goa;IND;ASI;State
IND-GJ;Gujarat;IND;ASI;State
IND-HP;Himachal Pradesh;IND;ASI;State
IND-HR;Haryana;IND;ASI;State
IND-JH;Jharkhand;IND;ASI;State
IND-JK;Jammu and Kashmir;IND;ASI;State
