System;CountryCode;Name;Color;Tier;InDev
jamt;JAM;Jamaica Motorways;blue;1;
jeya;JEY;Jersey A Roads;brown;4;
luxa;LUX;Luxembourg Motorways;blue;1;
luxb;LUX;Luxembourg Expressways;teal;3;
mexd;MEX;Mexico Federal Expressways;blue;1;
mexed;MEX;Mexico State Expressways;teal;3;
nlda;NLD;Netherlands Motorways;blue;1;
pola;POL;Poland Motorways;blue;1;
pols;POL;Poland Expressways;teal;3;
prta;PRT;Portugal Motorways;blue;1;
rksr;RKS;Kosovo Motorways;blue;1;
roua;ROU;Romania Motorways;blue;1;
svkd;SVK;Slovakia Motorways;blue;1;
svkr;SVK;Slovakia Expressways;teal;3;
svna;SVN;Slovenia Motorways;blue;1;
svnh;SVN;Slovenia Expressways;teal;3;
turo;TUR;Turkey Motorways;blue;1;
usai;USA;United States Interstate Highways;blue;1;
usaib;USA;United States Business Interstate Highways;green;2;
usaif;USA;United States Future Interstate Highways;teal;3;
usansf;USA;United States Select Numbered State Freeways;teal;3;
usasf;USA;United States Select Named Freeways;teal;3;
usaus;USA;United States Numbered Highways;red;2;
usausb;USA;United States Auxillary Numbered Highways;magenta;3;
usaaz;USA;Arizona State Highways;brown;4;
usact;USA;Connecticut State Highways;brown;4;
usadc;USA;District of Columbia District Highways;brown;4;
usade;USA;Delaware State Highways;brown;4;
usahi;USA;Hawaii State Highways;brown;4;
usaia;USA;Iowa State Highways;brown;4;
usaid;USA;Idaho State Highways;brown;4;
usail;USA;Illinois State Highways;brown;4;
usaks;USA;Kansas State Highways;brown;4;
usaky;USA;Kentucky State Highways 1-999;brown;4;
usame;USA;Maine State Highways;brown;4;
usamd;USA;Maryland State Highways;brown;4;
usama;USA;Massachusetts State Highways;brown;4;
usami;USA;Michigan State Highways;brown;4;
usamn;USA;Minnesota State Highways;brown;4;
usamo;USA;Missouri State Highways;brown;4;
usane;USA;Nebraska State Highways;brown;4;
usanv;USA;Nevada State Highways;brown;4;
usanh;USA;New Hampshire State Highways;brown;4;
usanj;USA;New Jersey State Highways;brown;4;
usany;USA;New York State Highways;brown;4;
usanc;USA;North Carolina State Highways;brown;4;
usand;USA;North Dakota State Highways;brown;4;
usanm;USA;New Mexico State Highways;brown;4;
usaoh;USA;Ohio State Highways;brown;4;
usaok;USA;Oklahoma State Highways;brown;4;
usaor;USA;Oregon State Highways;brown;4;
usapa;USA;Pennsylvania State Highways;brown;4;
usari;USA;Rhode Island State Highways;brown;4;
usasd;USA;South Dakota State Highways;brown;4;
usaut;USA;Utah State Highways;brown;4;
usawa;USA;Washington State Highways;brown;4;
usawv;USA;West Virginia State Highways;brown;4;
usawi;USA;Wisconsin State Highways;brown;4;
