route;Waypoint1;Waypoint2;Waypoint3;Error;Info
ago.rtr104;AerNda;SamCajaLuc;;VISIBLE_DISTANCE;18.36
ago.rtr104;Cal;Cam;;VISIBLE_DISTANCE;22.25
ago.rtr104;Cam;EN225;;VISIBLE_DISTANCE;54.17
ago.rtr104;Can;EN120_S;;VISIBLE_DISTANCE;15.76
ago.rtr104;CapCam;MuaSen;;VISIBLE_DISTANCE;28.81
ago.rtr104;Dun_N;AGO/COD;;VISIBLE_DISTANCE;10.90
ago.rtr104;EN140_N;EN140_S;;VISIBLE_DISTANCE;14.96
ago.rtr104;EN140_S;Cac;;VISIBLE_DISTANCE;35.60
ago.rtr104;EN160_N;XaMut;;VISIBLE_DISTANCE;59.63
ago.rtr104;EN165;Muc;;VISIBLE_DISTANCE;27.19
ago.rtr104;EN170_S;Sai;;VISIBLE_DISTANCE;13.80
ago.rtr104;EN180/230;Pau;;VISIBLE_DISTANCE;47.42
ago.rtr104;EN322_N;Mat;;VISIBLE_DISTANCE;11.21
ago.rtr104;MuaSen;EN170_N;;VISIBLE_DISTANCE;29.51
ago.rtr104;Muc;CapCam;;VISIBLE_DISTANCE;16.98
ago.rtr104;Nai;Luc;;VISIBLE_DISTANCE;38.33
ago.rtr104;Qui;EN322_S;;VISIBLE_DISTANCE;20.16
ago.rtr104;Saca;EN180/230;;VISIBLE_DISTANCE;66.03
ago.rtr104;Sach;Sam;;VISIBLE_DISTANCE;13.90
ago.rtr104;SamCajaLuc;Qui;;VISIBLE_DISTANCE;17.29
ago.rtr104;Zan;EN140_N;;VISIBLE_DISTANCE;11.84
ago.rtr104;ZenIto;EN120_N;;VISIBLE_DISTANCE;29.85
ago.rtr105;AltoZam;EN190;;VISIBLE_DISTANCE;62.33
ago.rtr105;Lua;NanaCan;;VISIBLE_DISTANCE;60.79
ago.rtr105;NanaCan;Caz;;VISIBLE_DISTANCE;36.60
ago.rtr105;ZMB/AGO;Lua;;VISIBLE_DISTANCE;35.87
