Staffs



Black Country


Warwickshire


Worcestershire


Avon


Wilts


Somerset


Dorset


Devon


Cornwall



B384 http://www.openstreetmap.org/?lat=52.439390&lon=-1.940308
B384 http://www.openstreetmap.org/?lat=52.446934&lon=-1.929683
B4006 http://www.openstreetmap.org/?lat=51.552953&lon=-1.720219
B4006 http://www.openstreetmap.org/?lat=51.590243&lon=-1.747684
B4019 http://www.openstreetmap.org/?lat=51.608330&lon=-1.788690
B4040 http://www.openstreetmap.org/?lat=51.528771&lon=-2.343006
B4040 http://www.openstreetmap.org/?lat=51.590856&lon=-2.089033
B4040 http://www.openstreetmap.org/?lat=51.640953&lon=-1.842999
B4040 http://www.openstreetmap.org/?lat=51.620462&lon=-1.928813
B4042 http://www.openstreetmap.org/?lat=51.559785&lon=-1.916216
B4042 http://www.openstreetmap.org/?lat=51.579243&lon=-2.093604
B4051 http://www.openstreetmap.org/?lat=51.459487&lon=-2.590763
B4051 http://www.openstreetmap.org/?lat=51.464239&lon=-2.589734
B4052 http://www.openstreetmap.org/?lat=51.483651&lon=-2.586834
B4053 http://www.openstreetmap.org/?lat=51.453543&lon=-2.597737
B4054 http://www.openstreetmap.org/?lat=51.470335&lon=-2.593704
B4056 http://www.openstreetmap.org/?lat=51.508275&lon=-2.576117
B4057 http://www.openstreetmap.org/?lat=51.523249&lon=-2.571305
B4057 http://www.openstreetmap.org/?lat=51.522400&lon=-2.509272
B4059_W http://www.openstreetmap.org/?lat=51.552519&lon=-2.466927
B4059_E http://www.openstreetmap.org/?lat=51.550997&lon=-2.459695
B4061_N http://www.openstreetmap.org/?lat=51.619948&lon=-2.475185
B4061_S http://www.openstreetmap.org/?lat=51.590527&lon=-2.526762
B4065 http://www.openstreetmap.org/?lat=52.273522&lon=-2.140097
B4085 http://www.openstreetmap.org/?lat=52.092334&lon=-1.894505
B4086_E http://www.openstreetmap.org/?lat=52.199611&lon=-1.598854
B4086_W http://www.openstreetmap.org/?lat=52.195705&lon=-1.603060
B4089 http://www.openstreetmap.org/?lat=52.224329&lon=-1.879992
B4090 http://www.openstreetmap.org/?lat=52.224329&lon=-1.879992
B4090 http://www.openstreetmap.org/?lat=52.252108&lon=-2.162461
B4091 http://www.openstreetmap.org/?lat=52.314356&lon=-2.078176
B4092 http://www.openstreetmap.org/?lat=52.274591&lon=-1.894670
B4093 http://www.openstreetmap.org/?lat=52.274591&lon=-1.894670
B4094 http://www.openstreetmap.org/?lat=52.314087&lon=-2.082816
B4096 http://www.openstreetmap.org/?lat=52.355605&lon=-2.045903
B4096 http://www.openstreetmap.org/?lat=52.395113&lon=-1.989749
B4100_E http://www.openstreetmap.org/?lat=52.485979&lon=-1.892562
B4100_W http://www.openstreetmap.org/?lat=52.484943&lon=-1.899927
B4101 http://www.openstreetmap.org/?lat=52.331878&lon=-1.868062
B4103 http://www.openstreetmap.org/?lat=52.339847&lon=-1.576243
B4104 http://www.openstreetmap.org/?lat=52.346676&lon=-1.577848
B4107 http://www.openstreetmap.org/?lat=52.394309&lon=-1.524858
B4113 http://www.openstreetmap.org/?lat=52.396396&lon=-1.516972
