country;state;viewid;name;lat;lon;radius;dimratio
MEX;MEX-SON;0;Sonora ;29.40686;-111.796203;213.2362988341;1.0919052512
MEX;MEX-TAB;0;Tabasco;17.950814;-92.5438865;104.1706253516;0.4643006778
MEX;MEX-TAM;0;Tamaulipas;24.939028;-98.625903;188.6560505613;2.0321329246
MEX;MEX-TLAX;0;Tlaxcala;19.4152905;-98.178392;35.7798546295;0.6027655693
MEX;MEX-VER;0;Veracruz;19.7745795;-96.1461045;186.3273322782;1.1292925686
MEX;MEX-YUC;0;Yucatán;20.5808445;-88.891376;98.6931675724;0.7310860502
MEX;MEX-ZAC;0;Zacatecas ;23.0992415;-102.524265;141.9409658147;1.2947543637
MKD;ALL;0;Macedonia;41.6137175;21.746038;66.5946897856;0.7890450354
MNE;ALL;0;Montenegro;42.702799;19.3969785;59.1726819516;1.2144396918
NLD;ALL;0;Netherlands;52.1530175;5.2877605;96.9828103823;1.1849334916
NOR;ALL;0;Norway;64.574995;17.9024765;454.1941850759;1.1692065596
POL;ALL;0;Poland;51.9232765;19.134769;213.3344460795;0.9456995454
PRT;ALL;0;Portugal;39.557108;-7.8454345;179.4498650757;2.0352180182
ROU;ALL;0;Romania;45.9428765;24.986708;227.0826462744;0.7062139143
RUS;ALL;0;Russia;54.9;47.375;1030.8357514157;0.9635759267
SRB;ALL;0;Serbia;44.0231485;20.928195;150.0345188765;1.4527692399
SVK;ALL;0;Slovakia;48.6725905;19.694563;130.5937072624;0.4982458523
SVN;ALL;0;Slovenia;46.1490395;14.99304;77.4844731316;0.6493070776
SWE;ALL;0;Sweden;62.023004;17.546861;483.0655027279;2.2824067006
SYS;ALBA;0;Albania Motorways;41.1532205;20.160916;104.3183023917;2.2341311686
SYS;AUTA;0;Austria Motorways;47.696511;13.345778;177.3516923049;0.5159193439
SYS;AUTS;0;Austria Expressways;47.696511;13.345778;177.3516923049;0.5159193439
SYS;BELA;0;Belgium Motorways;50.501172;4.475497;84.9867629346;0.8168526403
SYS;BGRA;0;Bulgaria Motorways;42.726924;25.4838645;158.5694564701;0.6498742078
SYS;BIHA;0;Bosnia and Herzegovina Motorways;43.9184555;17.671863;97.1209983046;0.9670178044
SYS;CANF;0;Canadian Provincial Freeways;58.0433205;-96.810722;1391.8405307239;0.7452855759
SYS;CANNB;0;New Brunswick Provincial Highways;46.451398;-66.41097;125.7060319082;0.8913345412
SYS;CANNSF;0;Nova Scotia Freeways;45.213898;-63.035803;163.4485262926;0.7705827568
SYS;CANNT;0;Northwest Territorial Highways;65.3194645;-119.234164;487.758719676;0.7484790922
SYS;CANON;0;Ontario King's Highways;46.465893;-84.7487835;490.4257349568;0.6378581053
SYS;CANONF;0;Ontario Provincial Freeways;43.776649;-78.734476;218.8350821565;0.5897831405
SYS;CANQCA;0;Quebec Freeways;46.7063825;-72.25;177.6187614783;0.6588563121
SYS;CANYT;0;Yukon Territorial Highways;64.823584;-132.409892;332.4233635541;1.3235901651
SYS;CHEA;0;Switzerland Motorways;46.8127845;8.2226545;107.2476025836;0.6418592234
SYS;CYPA;0;Cyprus Motorways;35.12962;33.430515;65.6769153603;0.5972330282
SYS;CZED;0;Czech Motorways;49.803583;15.4754475;150.9255716448;0.5733903184
SYS;CZER;0;Czech Expressways;49.803583;15.4754475;150.9255716448;0.5733903184
SYS;DEUA;0;Germany Motorways;51.164393;10.5771585;268.7129633696;1.3916741113
SYS;ESPA;0;Spain National Motorways;39.8956865;-2.987451;333.4658355397;0.8051422338
SYS;ESPACA;0;Spain Select Autonomous Community Motorways;39.8956865;-2.987451;333.4658355397;0.8051422338
SYS;FRAA;0;France Motorways;46.712686;1.5442795;315.7957729227;0.9562202585
SYS;GBNM;0;Great Britain Motorways;54.675254;-3.206777;325.1925618081;1.643058268
SYS;GRCA;0;Greece Motorways;38.334933;23.810619;240.1876598902;0.9812118989
SYS;HRVA;0;Croatia Motorways;44.473734;16.4689415;146.9010932836;0.9792695037
SYS;HUNM;0;Hungary Motorways;47.159959;19.505903;159.3728365255;0.6170070609
SYS;USAI;0;US Interstate Highways;36.964216;-95.847469;1449.2217565979;0.5468058029
SYS;USAIB;0;US Business Interstates;36.964216;-95.847469;1449.2217565979;0.5468058029
SYS;USAIF;0;Future Interstate Highways;36.964216;-95.847469;1449.2217565979;0.5468058029
SYS;IRLM;0;Ireland Motorways;53.401884;-8.3065945;137.0059731189;1.4397560583
SYS;ITAA;0;Italy Motorways;41.86836;12.573587;359.8351115544;1.180602772
SYS;ITASM;0;Italy Select Named Motorways;41.86836;12.573587;359.8351115544;1.180602772
SYS;LUXA;0;Luxembourg Motorways;49.815488;6.1351565;25.4155219711;1.4388461399
SYS;LUXB;0;Luxembourg Expressways;49.815488;6.1351565;25.4155219711;1.4388461399
SYS;MEXD;0;Mexico Federal Expressways;23.635;-101.95;930.2794747992;0.6558342924
SYS;MEXED;0;Mexico State Expressways;23.635;-101.95;930.2794747992;0.6558342924
SYS;MTQA;0;Martinique Motorways;14.635;-61.015;16.2542018712;1.1847818556
SYS;NIRM;0;Northern Ireland Motorways;54.666944;-6.8045945;54.871804775;0.8116297968
SYS;NLDA;0;Netherlands Motorways;52.1530175;5.2877605;96.9828103823;1.1849334916
SYS;POLA;0;Poland Motorways;51.9232765;19.134769;213.3344460795;0.9456995454
SYS;POLS;0;Poland Expressways;51.9232765;19.134769;213.3344460795;0.9456995454
SYS;PRTA;0;Portugal Motorways;39.557108;-7.8454345;179.4498650757;2.0352180182
SYS;ROUA;0;Romania Motorways;45.9428765;24.986708;227.0826462744;0.7062139143
SYS;SVKD;0;Slovakia Motorways;48.6725905;19.694563;130.5937072624;0.4982458523
SYS;SVKR;0;Slovakia Expressways;48.6725905;19.694563;130.5937072624;0.4982458523
SYS;SVNA;0;Slovenia Motorways;46.1490395;14.99304;77.4844731316;0.6493070776
SYS;SVNH;0;Slovenia Expressways;46.1490395;14.99304;77.4844731316;0.6493070776
SYS;CANTCH;0;Trans-Canada Highway;48.5772475;-92.909274;1583.5797270011;0.2632998627
SYS;TURO;0;Turkey Motorways;38.959479;35.240126;509.6817643883;0.4234493378
SYS;USAUS;0;US Numbered Highways;36.964216;-95.847469;1449.2217565979;0.5468058029
SYS;USAAK;0;Alaska State Highways;63.0322285;-149.056225;582.6908735601;0.9824267845
SYS;USAAL;0;Alabama State Highways;32.5986065;-86.6807535;165.6538437309;1.5874341559
SYS;USAAR;0;Arkansas State Highways;34.7593175;-92.1313785;141.1928929227;0.8518951463
SYS;USAAZ;0;Arizona State Highways;34.1657825;-111.9308915;195.7321187846;1.1868055253
SYS;USACA;0;California State Highways;37.264034;-119.2701635;326.0256867767;1.1570130579
SYS;USACO;0;Colorado State Highways;39.0002425;-105.5477905;187.7398592306;0.7364429951
SYS;USACT;0;Connecticut State Highways;41.516936;-72.764216;49.8974567252;0.7381879114
SYS;USADC;0;District of Columbia Dist. Highways;38.8935905;-77.014576;7.051985508;1.2454052678
SYS;USADE;0;Delaware State Highways;39.145381;-75.4187725;48.0051534248;2.4199309625
SYS;USAFL;0;Florida State Highways;27.7690105;-83.833;232.2442011313;0.9588023782
SYS;USAGA;0;Georgia State Highways;32.675634;-83.2230065;160.3395920386;1.1571325412
SYS;USAHI;0;Hawaii State Highways;20.568667;-157.526985;175.9460516285;0.6510515062
SYS;USAIA;0;Iowa State Highways;41.9379295;-93.389798;167.0150935344;0.6464868208
SYS;USAID;0;Idaho State Highways;45.497902;-114.058977;241.9224054716;1.664725197
SYS;USAIL;0;Illinois State Highways;39.7314625;-89.522314;190.7618023959;1.8037549166
SYS;USAIN;0;Indiana State Highways;39.7659825;-86.44132;137.8492927771;1.5661398469
SYS;USAKS;0;Kansas State Highways;38.499538;-98.3195815;201.6344901169;0.5140403453
SYS;USAKY;0;Kentucky State Highways;37.822851;-85.768253;207.4520093634;0.4410445089
SYS;USALA;0;Louisiana State Highways;30.951762;-91.509661;150.1495283096;0.9517040723
SYS;USAMA;0;Massachusetts State Highways;42.148273;-71.718173;91.7606101433;0.5565367635
SYS;USAMD;0;Maryland State Highways;38.8160295;-77.2629155;119.2477306814;0.5240934796
SYS;USAME;0;Maine State Highways;45.262159;-69.016598;151.8822675487;1.5100239266
SYS;USAMI;0;Michigan State Highways;44.6062885;-86.4156925;198.5258044912;1.0089325324
SYS;USAMN;0;Minnesota State Highways;46.442359;-93.365105;203.222285678;1.1025972032
SYS;USAMO;0;Missouri State Highways;38.291678;-92.437236;180.9535443462;0.8757447646
SYS;USAMS;0;Mississippi State Highways;32.585593;-89.8764965;166.5515781872;1.6083289482
SYS;USAMT;0;Montana State Highways;46.680157;-110.051233;283.6193382854;0.564802215
SYS;USANC;0;North Carolina State Highways;35.2196035;-79.891353;249.7690447537;0.3781820473
SYS;USAND;0;North Dakota State Highways;47.4736995;-100.303843;175.0537141525;0.6033089685
SYS;USANE;0;Nebraska State Highways;41.499278;-99.6807685;226.0453595074;0.4580147021
