state;Name;Pop.;latitude;longitude
AL;Mobile city;198915;30.679523;-88.103280
IA;Des Moines city;198682;41.590939;-93.620866
MI;Grand Rapids city;197800;42.960476;-85.658280
VA;Richmond city;197790;37.538346;-77.461507
NY;Yonkers city;196086;40.941478;-73.864365
WA;Spokane city;195629;47.673341;-117.410271
GA;Augusta-Richmond County (balance);195182;33.433271;-82.022048
CA;Glendale city;194973;34.170939;-118.250081
WA;Tacoma city;193556;47.241371;-122.459389
TX;Irving city;191615;32.847128;-96.966255
CA;Huntington Beach city;189594;33.692888;-118.000194
VA;Arlington CDP;189453;38.880344;-77.108260
CA;Modesto city;188856;37.661479;-120.994543
NC;Durham city;187035;35.988644;-78.907167
NV;Paradise CDP;186070;36.082073;-115.124654
FL;Orlando city;185951;28.533513;-81.375789
ID;Boise City city;185787;43.613739;-116.237651
GA;Columbus city (balance);185781;32.489608;-84.940422
NC;Winston-Salem city;185776;36.102764;-80.260491
CA;San Bernardino city;185401;34.129510;-117.293150
MS;Jackson city;184256;32.320445;-90.204415
AR;Little Rock city;183133;34.736009;-92.331122
UT;Salt Lake City city;181743;40.754700;-111.892622
NV;Reno city;180480;39.527110;-119.821812
VA;Newport News city;180150;37.071046;-76.484557
AZ;Chandler city;176581;33.297756;-111.863522
TX;Laredo city;176576;27.524445;-99.490593
NV;Henderson city;175381;36.029249;-115.025286
TN;Knoxville city;173890;35.972882;-83.942161
TX;Amarillo city;173627;35.199252;-101.845163
RI;Providence city;173618;41.823550;-71.422132
CA;Chula Vista city;173556;32.627910;-117.047988
MA;Worcester city;172648;42.268843;-71.803774
CA;Oxnard city;170358;34.191292;-119.182497
PR;Carolina zona urbana;168164;18.401964;-65.974387
OH;Dayton city;166179;39.762708;-84.196665
CA;Garden Grove city;165196;33.778766;-117.960267
CA;Oceanside city;161029;33.211566;-117.325701
AZ;Tempe city;158625;33.388696;-111.928783
AL;Huntsville city;158216;34.712341;-86.596296
CA;Ontario city;158007;34.052811;-117.627861
NV;Sunrise Manor CDP;156120;36.175445;-115.059707
TN;Chattanooga city;155554;35.045473;-85.267255
PR;Ponce zona urbana;155038;18.011230;-66.617367
FL;Fort Lauderdale city;152397;26.135763;-80.141810
MA;Springfield city;152082;42.112411;-72.547455
MO;Springfield city;151580;37.195098;-93.286213
CA;Santa Clarita city;151088;34.416561;-118.506443
CA;Salinas city;151060;36.683859;-121.643128
FL;Tallahassee city;150624;30.451800;-84.272770
IL;Rockford city;150115;42.269770;-89.069754
CA;Pomona city;149473;34.060760;-117.755886
NJ;Paterson city;149222;40.915498;-74.162927
KS;Overland Park city;149080;38.940071;-94.680697
CA;Santa Rosa city;147595;38.448611;-122.704646
NY;Syracuse city;147306;43.046899;-76.144423
KS;Kansas City city;146866;39.106780;-94.676470
VA;Hampton city;146437;37.034946;-76.360126
LA;Metairie CDP;146136;29.997797;-90.177473
CO;Lakewood city;144126;39.706337;-105.102859
WA;Vancouver city;143560;45.633743;-122.603011
CA;Irvine city;143072;33.684065;-117.792581
IL;Aurora city;142990;41.759879;-88.298482
CA;Moreno Valley city;142381;33.926267;-117.228345
TX;Pasadena city;141674;29.676196;-95.173845
CA;Hayward city;140030;37.643632;-122.076971
TX;Brownsville city;139722;25.930307;-97.484424
CT;Bridgeport city;139529;41.188596;-73.195915
FL;Hollywood city;139357;26.021467;-80.174910
MI;Warren city;138247;42.491987;-83.023996
CA;Torrance city;137946;33.834815;-118.341330
OR;Eugene city;137893;44.057663;-123.110345
FL;Pembroke Pines city;137427;26.012913;-80.313689
OR;Salem city;136924;44.931109;-123.029159
CA;Pasadena city;133936;34.156098;-118.131808
CA;Escondido city;133559;33.124794;-117.080850
CA;Sunnyvale city;131760;37.371991;-122.026020
GA;Savannah city;131510;32.050706;-81.103762
CA;Fontana city;128929;34.097744;-117.458222
CA;Orange city;128821;33.802945;-117.832506
IL;Naperville city;128358;41.749826;-88.155719
VA;Alexandria city;128283;38.816242;-77.071282
CA;Rancho Cucamonga city;127743;34.123345;-117.579404
TX;Grand Prairie city;127427;32.715266;-97.016864
CA;Fullerton city;126003;33.879914;-117.928749
CA;Corona city;124966;33.869998;-117.567783
MI;Flint city;124943;43.027577;-83.693996
TX;Mesquite city;124523;32.782878;-96.609862
MI;Sterling Heights city;124471;42.579819;-83.028126
CA;East Los Angeles CDP;124283;34.031462;-118.168653
SD;Sioux Falls city;123975;43.536285;-96.731780
CT;New Haven city;123626;41.311147;-72.923150
KS;Topeka city;122377;39.039200;-95.689508
CA;Concord city;121780;37.967825;-122.015135
IN;Evansville city;121582;37.977166;-87.550566
CT;Hartford city;121578;41.762550;-72.688587
NC;Fayetteville city;121015;35.066663;-78.917579
IA;Cedar Rapids city;120758;41.983100;-91.668529
NJ;Elizabeth city;120568;40.662152;-74.209066
MI;Lansing city;119128;42.717585;-84.554916
CA;Lancaster city;118718;34.686980;-118.154062
CO;Fort Collins city;118652;40.559238;-105.078302
FL;Coral Springs city;117549;26.270658;-80.259163
NV;Spring Valley CDP;117390;36.112520;-115.250198
CT;Stamford city;117083;41.074448;-73.541316
CA;Thousand Oaks city;117005;34.189489;-118.875053
CA;Vallejo city;116760;38.112969;-122.235882
CA;Palmdale city;116670;34.581005;-118.100603
SC;Columbia city;116278;34.017105;-81.010759
CA;El Monte city;115965;34.073276;-118.027491
TX;Abilene city;115930;32.446425;-99.745482
NV;North Las Vegas city;115488;36.228511;-115.146593
MI;Ann Arbor city;114024;42.274488;-83.739261
TX;Beaumont city;113866;30.079912;-94.126653
TX;Waco city;113726;31.551516;-97.155930
MO;Independence city;113288;39.079805;-94.406551
IL;Peoria city;112936;40.720737;-89.609421
CA;Inglewood city;112580;33.957513;-118.346082
IL;Springfield city;111454;39.783250;-89.650373
CA;Simi Valley city;111351;34.271078;-118.739428
LA;Lafayette city;110257;30.213901;-92.029363
AZ;Gilbert town;109697;33.344439;-111.762411
TX;Carrollton city;109576;32.990092;-96.893277
WA;Bellevue city;109569;47.597554;-122.159245
UT;West Valley City city;108896;40.689181;-111.993867
FL;Clearwater city;108787;27.973644;-82.764271
CA;Costa Mesa city;108724;33.664969;-117.912289
AZ;Peoria city;108364;33.649738;-112.251584
IN;South Bend city;107789;41.672597;-86.255157
CA;Downey city;107323;33.938164;-118.130801
CT;Waterbury city;107271;41.556040;-73.038327
NH;Manchester city;107006;42.986284;-71.451560
PA;Allentown city;106632;40.601697;-75.477328
TX;McAllen city;106414;26.216263;-98.236385
IL;Joliet city;106221;41.533030;-88.108933
MA;Lowell city;105167;42.639515;-71.314588
UT;Provo city;105166;40.244421;-111.660804
CA;West Covina city;105080;34.056660;-117.918617
TX;Wichita Falls city;104197;33.897047;-98.514881
PA;Erie city;103717;42.114507;-80.076213
CA;Daly City city;103621;37.690700;-122.465950
TN;Clarksville city;103455;36.559383;-87.358261
CA;Norwalk city;103298;33.906914;-118.083398
IN;Gary city;102746;41.580786;-87.345449
CA;Berkeley city;102743;37.871775;-122.274603
CA;Santa Clara city;102361;37.354441;-121.969119
WI;Green Bay city;102313;44.513442;-88.015787
FL;Cape Coral city;102286;26.639600;-81.982471
CO;Arvada city;102153;39.819962;-105.110975
CO;Pueblo city;102121;38.266933;-104.620393
MA;Cambridge city;101355;42.373746;-71.110554
CO;Westminster city;100940;39.873418;-105.057222
CA;San Buenaventura (Ventura) city;100916;34.275242;-119.228048
VA;Portsmouth city;100565;36.831298;-76.345641
MI;Livonia city;100545;42.395086;-83.365608
CA;Burbank city;100316;34.180170;-118.328341
GA;Athens-Clarke County (balance);100266;33.955464;-83.383245
