labelid;type;name;localname;lat;lon;size;rotation
113;S;Georgia;;32.68;-83.22;1;0
114;S;Hawaii;;20.57;-157.93;1;0
115;S;Iowa;;41.94;-93.39;1;0
116;S;Idaho;;43.9;-114.3;1;0
117;S;Illinois;;40.67;-89.44;1;0
118;S;Indiana;;40.62;-86.15;1;0
119;S;Kansas;;38.5;-98.32;1;0
120;S;Kentucky;;37.47;-85.6;1;0
121;S;Louisiana;;30.55;-91.9;1;0
122;S;Massachusetts;;42.4;-72.26;0.4;0
123;S;Maryland;;39.47;-76.85;0.65;0
124;S;Maine;;45.26;-69.02;1;0
125;S;Michigan;;43.17;-84.53;1;0
126;S;Minnesota;;46.45;-94.44;1;0
127;S;Missouri;;38.29;-92.44;1;0
128;S;Mississippi;;32.59;-89.88;0.7;0
129;S;Montana;;46.94;-109.05;1;0
130;S;North Carolina;;35.75;-79.6;1;0
131;S;North Dakota;;47.47;-100.3;1;0
132;S;Nebraska;;41.5;-99.68;1;0
133;S;New Hampshire;;43.13;-71.55;0.3;0
134;S;New Jersey;;39.59;-74.89;0.3;0
135;S;New Mexico;;34.17;-106.02;1;0
136;S;Nevada;;39.97;-117.11;1;0
137;S;New York;;42.75;-75.81;1;0
138;S;Ohio;;40.19;-82.67;1;0
139;S;Oklahoma;;35.55;-97.3;1;0
140;S;Oregon;;44.15;-120.51;1;0
141;S;Pennsylvania;;41;-77.62;1;0
142;S;Puerto Rico;;18.23;-66.43;0.3;0
143;S;Rhode Island;;41.66;-71.5;0.15;0
144;S;South Carolina;;34.25;-80.95;0.68;0
145;S;South Dakota;;44.21;-100.25;1;0
146;S;Tennessee;;35.84;-85.98;1;0
147;S;Texas;;31.52;-99.03;1;0
148;S;Utah;;39;-111.54;1;0
149;S;Virginia;;37.39;-78.37;1;0
150;S;Vermont;;44.5;-72.59;0.5;0
151;S;Washington;;46.75;-120.23;1;0
152;S;Wisconsin;;44.79;-89.83;1;0
153;S;West Virginia;;39;-80.03;0.69;0
154;S;Wyoming;;43;-107.55;1;0
155;N;Uzbekistan;;41.39;64.37;1;0
156;W;Mediterranean Sea;;34.02;23.29;1;0
157;W;Black Sea;;43.18;34.45;1;0
158;W;Sea of Azov;;46.05;36.5;0.65;0
159;W;Aegean Sea;;39.55;24.7;0.65;0
160;W;Adriatic Sea;;42.45;16.27;0.8;0
161;W;Ionian Sea;;38.66;18.55;0.9;0
162;W;Tyrrhenian Sea;;39.61;12.57;1;0
163;W;Celtic Sea;;51.15;-7.19;1;0
164;W;Irish Sea;;53.78;-4.68;0.8;0
165;W;North Sea;;57.22;3.12;1;0
166;W;Baltic Sea;;55.55;17.76;1;0
167;W;Gulf of Bothnia;;61.68;19.32;0.7;0
168;W;Lake Ladoga;;60.82;31.6;0.4;0
169;W;Lake Onega;;61.73;35.31;0.3;0
170;W;White Sea;;65.71;37.16;1;0
171;W;Norwegian Sea;;67.76;2.72;1;0
172;W;Barents Sea;;75.03;37.35;1;0
173;W;Kara Sea;;73.12;82.97;1;0
174;W;Greenland Sea;;78.31;-3.87;1;0
175;W;Atlantic Ocean;;36.81;-43.242;3;0
176;W;Davis Strait;;68.77;-60.05;1;0
177;W;Labrador Sea;;56.22;-56.1;1;0
178;W;Gulf of St. Lawrence;;48.15;-61.7;0.7;0
179;W;Lake Ontario;;43.64;-78;0.5;0
180;W;Lake Erie;;42.15;-81.24;0.48;0
181;W;Lake St. Clair;;42.43;-82.66;0.1;0
182;W;Lake Huron;;44.78;-82.38;0.4;0
183;W;Georgian Bay;;45.43;-81.03;0.25;0
184;W;Lake Michigan;;42.97;-87.03;0.25;0
