country;state;Name;Pop.;latitude;longitude
NIC;ALL;Chinandega;94478;12.63;-87.13
KOR;ALL;Naeso;94471;35.26;128.5
CZE;ALL;Hradec Králové;94458;50.22;15.82
IDN;ALL;Kasihan;94447;-7.82;110.32
DZA;ALL;H̨āssī Bah̨bah̨;94439;35.08;3.02
IND;ALL;Kot Kapūra;94412;30.59;74.8
RUS;ALL;Devyatka, Krasnoyarsk-26, Zheleznogorsk;94410;56.25;93.53
ESP;ALL;Santiago de Compostela;94374;42.88;-8.54
IRN;ALL;Borāzjān;94352;29.27;51.2
CHN;ALL;Boli;94318;45.75;130.57
CHL;ALL;Hualpén;94315;-36.78;-73.12
IND;ALL;Bhandāra;94311;21.18;79.65
USA;MA;Brockton city;94304;42.082500;-71.021788
KOR;ALL;Kwangju;94294;37.41;127.25
BRA;ALL;Almirante Tamandaré;94276;-25.3;-49.32
CHN;ALL;Huaicheng;94237;33.51;119.14
CHN;ALL;Yishui;94204;35.79;118.62
CZE;ALL;České Budějovice;94189;48.98;14.46
THA;ALL;Chanthaburi;94172;12.61;102.11
ARG;ALL;Zárate;94138;-34.09;-59.04
IND;ALL;Bārmer;94130;25.75;71.39
NOR;ALL;Drammen;94054;59.75;10.2
COL;ALL;Ciénaga;94003;11.01;-74.25
TZA;ALL;Shinyanga;93992;-3.66;33.42
BRA;ALL;Igarassu;93943;-7.83;-34.9
RUS;ALL;Novouralsk;93898;57.25;60.08
TUR;ALL;Ereğli;93879;37.51;34.05
BRA;ALL;São Lourenço da Mata;93871;-8;-35.05
CZE;ALL;Ústí nad Labem;93859;50.67;14.02
CHN;ALL;Qingtang;93854;24.21;113.85
CHN;ALL;Wuchang;93849;44.92;127.15
SAU;ALL;Bīšah;93847;20.01;42.6
MEX;MEX-CHIH;Cuauhtémoc;93832;28.42;-106.87
IND;ALL;Bhadravati;93823;20.11;79.12
ALB;ALL;Vlorë;93812;40.48;19.49
ETH;ALL;Debre Mark'os;93780;10.34;37.72
USA;MA;New Bedford city;93768;41.651803;-70.933705
IND;ALL;Farīdkot;93733;30.68;74.74
IND;ALL;Anantnāg;93725;33.73;75.15
IND;ALL;Pālghar;93723;19.68;72.75
RUS;ALL;Balashov;93721;51.55;43.17
POL;ALL;Jastrzębie-Zdrój;93712;49.99;18.59
EGY;ALL;Samaloot;93676;28.3;30.71
ITA;ALL;Catanzaro;93662;38.9;16.6
KOR;ALL;Sinhyŏn;93638;34.88;128.63
RUS;ALL;Berdsk;93631;54.76;83.08
SYR;ALL;aṯ-Ṯawrah;93611;35.85;38.58
CHN;ALL;Zhongshu;93517;24.53;103.76
ITA;ALL;Barletta;93506;41.32;16.27
USA;CA;Compton city;93493;33.896715;-118.225078
IND;ALL;Manjeri;93463;11.12;76.11
NLD;ALL;Venlo;93444;51.38;6.17
CHN;ALL;Zhengjiatun;93441;43.51;123.5
BIH;ALL;Bosanski Šamac;93428;45.06;18.47
IND;ALL;Madgaon;93427;15.28;73.94
IND;ALL;Ballarpur;93415;19.85;79.35
IND;ALL;Jorapokhar;93412;23.79;86.36
LKA;ALL;Batticaloa;93406;7.71;81.69
PHL;ALL;Gapan;93332;15.31;120.94
NGA;ALL;Idah;93201;7.11;6.74
CHN;ALL;Shenjiamen;93198;29.97;122.28
PAK;ALL;Ārifwāla;93191;30.3;73.07
BRA;ALL;Crato;93174;-7.23;-39.42
CHN;ALL;Hanting;93171;36.77;119.21
KOR;ALL;Kwangyang;93166;34.97;127.6
USA;CA;Mission Viejo city;93102;33.612739;-117.656038
FRA;ALL;Asnières-sur-Seine;93077;48.91;2.29
CHN;ALL;Daan;93073;45.5;124.3
VEN;ALL;Los Dos Caminos;93031;10.52;-66.84
NIC;ALL;Masaya;93028;11.98;-86.1
TUR;ALL;Polatlı;92980;39.6;32.15
GBR;ENG;Solihull;92975;52.42;-1.78
USA;KS;Olathe city;92962;38.880788;-94.803184
SWE;ALL;Helsingborg;92941;56.05;12.7
IND;ALL;Deoband;92933;29.7;77.67
ARG;ALL;Pergamino;92869;-33.9;-60.57
IDN;ALL;Kartosura;92829;-7.55;110.74
ETH;ALL;Āssela;92815;7.95;39.14
CHL;ALL;San Antonio;92789;-33.6;-71.61
USA;OK;Lawton city;92757;34.609424;-98.417781
ETH;ALL;Nek'emtē;92700;9.09;36.53
CAN;ON;Kanata;92694;45.34;-75.88
ROU;ALL;Tulcea;92669;45.19;28.8
AUT;ALL;Klagenfurt;92641;46.62;14.31
BRA;ALL;Santana;92641;-0.04;-51.18
IND;ALL;Tiruchengode;92638;11.38;77.9
IND;ALL;Sujāngarh;92621;27.7;74.46
BIH;ALL;Zenica;92604;44.2;17.91
ESP;ALL;Cáceres;92602;39.47;-6.38
RUS;ALL;Kineshma;92594;57.44;42.13
IDN;ALL;Lhokseumawe;92496;5.19;97.14
UKR;ALL;Yelanets';92495;47.7;31.85
KOR;ALL;Sŏgwipo;92492;33.25;126.57
NGA;ALL;Lokoja;92486;7.8;6.74
USA;CA;San Mateo city;92482;37.554286;-122.313044
BRB;ALL;Bridgetown;92467;13.11;-59.61
IND;ALL;Phusro;92467;23.68;85.86
ZAF;ALL;Stilfontein;92442;-26.84;26.76
KWT;ALL;al-Farwānīyah;92428;29.27;47.91
NLD;ALL;Delft;92426;52.01;4.36
BGD;ALL;Kishorganj;92411;24.44;90.77
CHN;ALL;Dongcun;92369;36.78;121.16
IND;ALL;Tāndā;92369;26.55;82.65
IND;ALL;Tinsukia;92360;27.5;95.36
IDN;ALL;Cicuruk;92353;-6.78;106.78
CHN;ALL;Danjiangkou;92352;32.55;111.5
COL;ALL;Girardot;92342;4.31;-74.81
IND;ALL;Rāmgarh;92338;23.63;85.51
USA;CA;Santa Barbara city;92325;34.425804;-119.714189
DEU;ALL;Ratingen;92323;51.3;6.85
PAK;ALL;Miānwāli;92307;32.59;71.54
IND;ALL;Kovilpatti;92276;9.19;77.86
MYS;ALL;Senai;92223;1.6;103.65
GRC;ALL;Akharnaí;92220;38.08;23.73
BEL;ALL;Leuven;92197;50.88;4.7
COL;ALL;Fusagasugá;92187;4.34;-74.37
ITA;ALL;Pesaro;92146;43.92;12.91
UKR;ALL;Yenakiyive;92113;48.23;38.22
CHN;ALL;Duobao;92061;30.65;112.63
LKA;ALL;Vavuniya;92057;8.76;80.49
BOL;ALL;Trinidad;92050;-14.84;-64.91
ARG;ALL;Olavarría;92037;-36.9;-60.33
IRN;ALL;Fasā;91975;28.97;53.68
MEX;MEX-TLAX;Tlaxcala;91975;19.31;-98.24
NLD;ALL;Heerlen;91964;50.88;5.97
BRA;ALL;Assis;91959;-22.66;-50.42
IND;ALL;Paramakkudi;91956;9.54;78.59
USA;MA;Fall River city;91938;41.698102;-71.146994
PAK;ALL;Attock;91931;33.78;72.36
IDN;ALL;Kembaran;91874;-7.42;109.28
USA;CA;Rialto city;91873;34.111360;-117.382403
CHN;ALL;Nanfeng;91852;23.76;111.79
USA;TX;Richardson city;91802;32.965628;-96.715707
SWZ;ALL;Manzini;91793;-26.49;31.38
IDN;ALL;Klangenan;91743;-6.69;108.47
DEU;ALL;Düren;91661;50.81;6.49
PHL;ALL;Panabo;91655;7.31;125.68
PAN;ALL;David;91634;8.44;-82.43
FRA;ALL;Montreuil;91633;48.86;2.43
CHN;ALL;Yatou;91603;37.17;122.4
BRA;ALL;Parauapebas;91588;-6.05;-49.89
OMN;ALL;al-Buraymi;91569;24.25;55.8
USA;CA;Visalia city;91565;36.324100;-119.307347
UKR;ALL;Brovary;91518;50.5;30.77
USA;WA;Everett city;91488;47.963434;-122.200527
IND;ALL;Akot;91476;21.1;77.05
DZA;ALL;Bi'r Wāqīyah;91452;36.14;2.91
DEU;ALL;Esslingen;91447;48.74;9.32
NLD;ALL;Leeuwarden;91403;53.21;5.79
CAN;ON;Brantford;91362;43.15;-80.26
SVK;ALL;Prešov;91345;48.99;21.24
VEN;ALL;El Cafetal;91338;10.43;-66.83
ZAF;ALL;Parys;91310;-26.91;27.46
BRA;ALL;Barra do Piraí;91309;-22.47;-43.83
NIC;ALL;Tipitapa;91282;12.2;-86.1
ROU;ALL;Târgovişte;91242;44.95;25.45
BRA;ALL;Formosa;91234;-15.54;-47.34
VEN;ALL;Machiques;91216;10.07;-72.55
CHN;ALL;Yulin;91208;38.29;109.74
BEL;ALL;Mons;91199;50.45;3.93
FIN;ALL;Kuopio;91199;62.9;27.7
CHN;ALL;Tongren;91183;27.68;109.13
CHN;ALL;Pingdu;91163;36.79;119.94
BRA;ALL;Embu-Guaçu;91162;-23.82;-46.8
IDN;ALL;Bojonegoro;91161;-7.15;111.87
TZA;ALL;Sumbawanga;91081;-7.96;31.62
KOR;ALL;Ungsang;91068;35.41;129.17
CMR;ALL;Kousséri;91062;12.08;15.03
LBY;ALL;Ġaryān;91047;32.17;13.02
USA;TX;Odessa city;90943;31.863294;-102.365490
IRN;ALL;Khvorāsgān;90933;32.65;51.75
PHL;ALL;Mati;90887;6.96;126.22
MYS;ALL;Ulu Tiram;90882;1.6;103.82
CHN;ALL;Duyun;90881;26.27;107.52
GBR;ENG;Maidstone;90880;51.28;0.51
COL;ALL;Tumaco;90870;1.81;-78.81
CHN;ALL;Gaoyou;90854;32.78;119.43
ARG;ALL;Río Gallegos;90852;-51.62;-69.24
IND;ALL;Dhamtari;90831;20.71;81.55
SDN;ALL;Kāduqlī;90813;11.01;29.7
BRA;ALL;Maricá;90797;-22.92;-42.82
IDN;ALL;Kudus;90796;-6.81;110.84
IND;ALL;Bāramūla;90785;34.2;74.35
MYS;ALL;Banting;90763;2.82;101.5
CHN;ALL;Xihe;90761;31.69;113.47
RUS;ALL;Bugulma;90760;54.55;52.8
CHN;ALL;Lingyuan;90755;41.25;119.39
PHL;ALL;Catbalogan;90730;11.77;124.89
IND;ALL;Rājpura;90702;30.48;76.59
LBY;ALL;al-Marj;90667;32.5;20.83
CHN;ALL;Qingyang;90648;24.82;118.57
MEX;MEX-JAL;Guzmán;90640;19.71;-103.46
IND;ALL;Sardārshahr;90634;28.45;74.48
BDI;ALL;Muyinga;90630;-2.86;30.32
ALB;ALL;Shkodër;90620;42.07;19.51
IRN;ALL;Eslāmābād-e Gharb;90616;34.32;47.12
PHL;ALL;Marilao;90612;14.76;120.95
USA;ND;Fargo city;90599;46.871414;-96.808658
TUR;ALL;Alanya;90584;36.56;32
BRA;ALL;Codó;90566;-4.48;-43.88
ARG;ALL;Junín;90562;-34.59;-60.96
CHN;ALL;Bose;90554;23.91;106.62
MAR;ALL;Taourirt;90543;34.42;-2.89
CHN;ALL;Choucheng;90542;29.31;120.06
USA;CA;Antioch city;90532;37.992421;-121.802225
IND;ALL;Jharia;90514;23.76;86.42
EGY;ALL;Meniat el Nasr;90495;31.13;31.65
TUR;ALL;Nusaybin;90483;37.09;41.23
FRA;ALL;Tourcoing;90424;50.72;3.16
KOR;ALL;Kimchŏn;90399;36.11;128.13
SLE;ALL;Koidu;90398;8.44;-10.85
MEX;MEX-MICH;Lázaro Cárdenas;90381;17.95;-102.18
MEX;MEX-EMEX;Ojo de Água;90378;19.72;-98.97
VEN;ALL;Villa del Rosario;90358;10.33;-72.31
USA;WI;Kenosha city;90352;42.582220;-87.845624
TUR;ALL;Yalova;90310;40.66;29.28
BGD;ALL;Khagrachari;90303;23.09;91.96
IND;ALL;Saunda;90273;23.64;85.37
BRA;ALL;Eunápolis;90269;-16.36;-39.58
CHN;ALL;Sishui;90260;35.66;117.26
GHA;ALL;Wa;90219;10.06;-2.5
USA;OR;Gresham city;90205;45.503692;-122.439425
FRA;ALL;Avignon;90159;43.96;4.81
CHN;ALL;Laizhou;90156;37.17;119.94
GMB;ALL;Brikama;90140;13.28;-16.66
UKR;ALL;Konotop;90133;51.24;33.21
GBR;ENG;Basingstoke;90129;51.27;-1.11
CHN;ALL;Lujiang;90112;31.24;117.27
RUS;ALL;Michurinsk;90111;52.9;40.5
UGA;ALL;Mbarara;90104;-0.6;30.65
DZA;ALL;al-H̱urub;90097;36.27;6.69
MYS;ALL;Cukai;90092;4.23;103.45
BEN;ALL;Ouidah;90042;6.36;2.09
DZA;ALL;Mu'askar;90024;35.4;0.14
CHN;ALL;Feicheng;89983;35.27;117.95
IND;ALL;Mīrat Cantonment;89974;29.02;77.67
PAK;ALL;Lodhran;89942;29.54;71.63
CHN;ALL;Qiongshan;89914;20;110.35
AFG;ALL;Balẖ;89872;36.75;66.9
USA;CA;Vista city;89857;33.193549;-117.241140
USA;MT;Billings city;89847;45.786553;-108.537139
BRA;ALL;São Sebastião;89825;-23.79;-45.41
KOR;ALL;Namyangju;89782;37.66;127.28
TUR;ALL;Bingöl;89753;38.89;40.49
USA;CA;Carson city;89730;33.839684;-118.259588
CHN;ALL;Huaidian;89720;33.41;115.03
MLI;ALL;Nioro;89682;15.23;-9.59
BRA;ALL;Itaperuna;89666;-21.21;-41.89
BEN;ALL;Natitingou;89645;10.32;1.39
CHN;ALL;Huayang;89619;30.58;103.92
EGY;ALL;Menoof;89605;30.47;30.92
CAN;NB;Saint John;89576;45.29;-66.06
IND;ALL;Kāvali;89533;14.92;79.99
IDN;ALL;Jati;89524;-6.84;110.81
MEX;MEX-JAL;Tepatitlán;89522;20.82;-102.73
THA;ALL;Songkhla;89521;7.21;100.56
BRA;ALL;Santa Cruz do Capibaribe;89512;-7.96;-36.21
BRA;ALL;Ubatuba;89503;-23.45;-45.08
CMR;ALL;Tiko;89500;4.08;9.37
DEU;ALL;Marl;89453;51.68;7.12
EGY;ALL;El Senbelaween;89435;30.88;31.45
SVN;ALL;Maribor;89427;46.55;15.64
TKM;ALL;Balkanabat;89419;39.51;54.36
PRY;ALL;San Antonio;89389;-25.38;-57.61
MEX;MEX-TAB;Cárdenas;89345;18.01;-93.37
IDN;ALL;Bau Bau;89303;-5.47;122.6
FRA;ALL;Colombes;89271;48.93;2.25
RUS;ALL;Gatchina;89264;59.57;30.13
CHN;ALL;Xiongyue;89235;40.4;122.36
MAR;ALL;Fquih Ben Salah;89205;32.51;-6.7
IND;ALL;Rāyachoti;89182;14.05;78.75
TUR;ALL;Çanakkale;89176;40.16;26.41
GBR;NIR;Londonderry;89172;55;-7.33
CHL;ALL;Chiguayante;89167;-36.9;-73.04
CHN;ALL;Licung;89167;36.17;120.41
IRN;ALL;Mīāneh;89163;37.33;47.7
IND;ALL;Osmānābād;89159;18.17;76.03
ESP;ALL;El Ejido;89141;36.79;-2.83
PHL;ALL;Valencia;89139;7.91;125.09
BRA;ALL;Esteio;89118;-29.83;-51.17
MEX;MEX-EMEX;Chicoloapan;89060;19.41;-98.92
IND;ALL;Jangipur;89059;24.47;88.07
CHN;ALL;Hede;89051;33.78;120.25
USA;MA;Lynn city;89050;42.473996;-70.955583
PHL;ALL;Gingoog;89009;8.83;125.13
ERI;ALL;Āsseb;88983;13.01;42.74
PHL;ALL;Bago;88955;10.55;122.86
THA;ALL;Ratchaburi;88947;13.54;99.82
DEU;ALL;Lünen;88933;51.62;7.52
TUN;ALL;H̨alq-al-Wādī;88925;36.85;10.32
BGD;ALL;Lakshmīpūr;88919;22.95;90.8
PAK;ALL;Kambar;88894;27.59;67.99
NLD;ALL;Helmond;88872;51.48;5.67
PHL;ALL;Victorias;88861;10.89;123.06
IND;ALL;Nirmal;88850;19.12;78.35
HND;ALL;Choluteca;88812;13.3;-87.2
CHN;ALL;Xucheng;88800;20.33;110.16
MAR;ALL;Errachidia;88769;31.94;-4.45
USA;FL;Port St. Lucie city;88769;27.275772;-80.355029
BRA;ALL;Avaré;88722;-23.11;-48.93
USA;PR;Caguas zona urbana;88680;18.232789;-66.037229
IND;ALL;Mayiladuthurai;88660;11.11;79.65
SOM;ALL;Baydhabo;88653;3.12;43.65
SAU;ALL;ar-Rass;88637;25.87;43.5
USA;CA;Vacaville city;88625;38.353810;-121.972683
BRA;ALL;Paulo Afonso;88620;-9.33;-38.27
IRN;ALL;Kūhdasht;88590;33.53;47.6
ITA;ALL;Sesto San Giovanni;88588;45.55;9.23
SYR;ALL;al-Qāmišlī;88575;37.03;41.23
BRA;ALL;São Bento do Sul;88562;-26.22;-49.42
CHN;ALL;Fujin;88558;47.27;132.02
TUN;ALL;Qafşah;88552;34.42;8.78
CAN;AB;Red Deer;88545;52.27;-113.83
CHN;ALL;Wangqing;88519;43.32;129.73
CHN;ALL;Deqing;88468;30.55;120.08
RUS;ALL;Kuznetsk;88442;53.12;46.6
USA;TX;San Angelo city;88439;31.453113;-100.452502
USA;UT;Sandy city;88418;40.572415;-111.859610
IND;ALL;Bijnor;88379;29.38;78.13
GIN;ALL;Macenta;88376;8.55;-9.48
EGY;ALL;Boosh;88357;29.15;31.13
GBR;ENG;Southport;88333;53.66;-3.01
CMR;ALL;Mbalmayo;88327;3.52;11.5
ECU;ALL;Babahoyo;88318;-1.8;-79.54
THA;ALL;Phuket;88318;7.88;98.38
USA;MD;Columbia CDP;88254;39.203573;-76.857034
CHN;ALL;Lengshuitan;88249;26.45;111.58
ZMB;ALL;Kalulushi;88237;-12.84;28.09
DEU;ALL;Hanau;88224;50.14;8.91
GIN;ALL;Kamsar;88222;10.69;-14.62
MEX;MEX-TAM;Río Bravo;88213;25.98;-98.09
USA;CA;Westminster city;88207;33.751418;-117.993929
RWA;ALL;Gitarama;88182;-2.07;29.76
SAU;ALL;Wādī ad-Dawāsir;88150;20.47;44.79
EGY;ALL;Ashmoon;88135;30.3;30.97
ARG;ALL;Luján;88100;-34.58;-59.11
JOR;ALL;ar-Ramṯa;88071;32.57;36.01
CHN;ALL;Hanchuan;88065;30.64;113.83
ARG;ALL;Campana;88059;-34.16;-58.96
IND;ALL;Ganga Ghat;88040;26.52;80.45
USA;MA;Quincy city;88025;42.260566;-71.005851
RUS;ALL;Buzuluk;87978;52.78;52.26
FRA;ALL;Nanterre;87939;48.9;2.2
USA;FL;Miami Beach city;87933;25.813025;-80.134065
RUS;ALL;Sarov;87924;55.38;43.83
DZA;ALL;Ġardāyah;87920;32.49;3.67
LKA;ALL;Katunayaka;87918;7.18;79.87
IND;ALL;Jamūi;87916;24.92;86.22
IND;ALL;Pollāchi;87902;10.67;77
USA;IL;Waukegan city;87901;42.372471;-87.861521
ROU;ALL;Reşiţa;87843;45.3;21.89
MAR;ALL;Oued Zem;87831;32.87;-6.58
JOR;ALL;as-Salţ;87778;32.05;35.72
PAK;ALL;Jalālpur Jattan;87741;32.64;74.2
PAN;ALL;Las Cumbres;87711;9.08;-79.53
CHN;ALL;Yuzhou;87708;34.16;113.45
EGY;ALL;Tahta;87694;26.76;31.5
MEX;MEX-JAL;Lagos de Moreno;87669;21.37;-101.93
MNG;ALL;Èrdènèt;87646;49.03;104.08
GTM;ALL;Amatitlán;87644;14.48;-90.63
AUS;ALL;Bunbury;87638;-33.35;115.65
BRA;ALL;Ituiutaba;87636;-18.97;-49.46
IND;ALL;Dhār;87624;22.6;75.29
RUS;ALL;Yeysk;87592;46.7;38.27
CZE;ALL;Pardubice;87550;50.03;15.77
IND;ALL;Shrirampur;87524;19.63;74.64
MTQ;ALL;Fort-de-France;87520;14.6;-61.08
BRA;ALL;Campo Limpo Paulista;87517;-23.2;-46.8
IND;ALL;Dāhod;87488;22.84;74.25
CHN;ALL;Shiwan;87482;23;113.07
IND;ALL;Najībābād;87456;29.62;78.33
BTN;ALL;Thimphu;87454;27.45;89.67
BGD;ALL;Gāybāndā;87447;25.33;89.54
BRA;ALL;Lavras;87421;-21.25;-45.01
IRN;ALL;Ahar;87421;38.47;47.06
FJI;ALL;Nasinu;87412;-18.08;178.5
IDN;ALL;Kedungwaru;87405;-8.07;111.92
TUR;ALL;Giresun;87404;40.92;38.39
GBR;ENG;Hartlepool;87364;54.69;-1.22
BEN;ALL;Abomey;87344;7.19;1.99
IND;ALL;Kāmthi;87325;21.23;79.2
CHN;ALL;Zhaogezhuang;87276;39.73;118.39
PAK;ALL;Bhakkar;87164;31.63;71.06
CHN;ALL;Tangping;87160;22.02;111.93
DEU;ALL;Flensburg;87135;54.79;9.42
ARG;ALL;San Martín;87106;-33.07;-68.49
GIN;ALL;Faranah;87083;10.04;-10.75
UKR;ALL;Uman';87052;48.75;30.22
MEX;MEX-PUE;Atlixco;87044;18.9;-98.45
CHN;ALL;Shuizhai;87022;23.98;115.6
DEU;ALL;Ludwigsburg;86932;48.9;9.19
USA;MN;Duluth city;86918;46.780373;-92.117079
CHN;ALL;Xiangxiang;86917;27.74;112.52
CHN;ALL;Qiatou;86915;36.94;101.69
USA;TX;Killeen city;86911;31.105591;-97.726586
COL;ALL;Yumbo;86897;3.59;-76.49
KAZ;ALL;Balkhash;86897;46.85;74.95
GBR;ENG;Darlington;86892;54.52;-1.57
IRQ;ALL;az-Zubayr;86889;30.39;47.71
VEN;ALL;San Carlos del Zulia;86880;9.01;-71.92
CHN;ALL;Baoji;86857;36.55;104.2
NIC;ALL;Matagalpa;86855;12.93;-85.93
TUR;ALL;Amasya;86850;40.65;35.83
CHN;ALL;Shizilu;86831;35.17;118.83
IND;ALL;Vālpārai;86829;10.38;76.99
BRA;ALL;Araxá;86815;-19.58;-46.95
FRA;ALL;Créteil;86782;48.79;2.45
ITA;ALL;Como;86695;45.81;9.08
CHN;ALL;Ziyang;86678;30.14;104.64
IND;ALL;Kurichi;86637;10.92;76.96
GBR;ENG;Lincoln;86632;53.25;-0.55
THA;ALL;Phitsanulok;86631;16.82;100.27
USA;NH;Nashua city;86605;42.751038;-71.480817
IND;ALL;Fatehpur;86602;27.99;74.95
USA;MI;Westland city;86602;42.316604;-83.375405
RUS;ALL;Gubkin;86578;51.28;37.39
CHN;ALL;Mata;86559;21.5;111.33
PHL;ALL;Norzagaray;86511;14.91;121.05
CAN;BC;Nanaimo;86499;49.21;-123.97
BEN;ALL;Savé;86449;8.03;2.49
PHL;ALL;Tagaytay;86443;14.11;120.96
HRV;ALL;Osijek;86412;45.55;18.68
CHN;ALL;Yongzhou;86411;26.23;111.6
UKR;ALL;Krasnyy Luch;86406;48.13;38.93
CHN;ALL;Mishan;86394;45.55;131.88
CHN;ALL;Nenjiang;86374;49.18;125.23
AGO;ALL;Namibe;86366;-15.19;12.16
TUR;ALL;Bafra;86361;41.57;35.89
UKR;ALL;Aleksandriya, Alexandria;86344;48.67;33.12
USA;NJ;Toms River CDP;86327;39.979270;-74.167512
MEX;MEX-CHIS;Comitan;86294;16.25;-92.13
GRC;ALL;Ílion;86274;38.03;23.71
PAK;ALL;Moro;86264;26.67;67.99
VEN;ALL;Upata;86243;8.02;-62.41
IND;ALL;Aruppukkottai;86239;9.51;78.09
BRA;ALL;Tucuruí;86228;-3.68;-49.72
IDN;ALL;Ambarawa;86203;-7.26;110.4
PAK;ALL;Chīchāwatni;86186;30.53;72.68
IRN;ALL;Behshahr;86175;36.72;53.55
IND;ALL;Kairāna;86169;29.4;77.2
DEU;ALL;Velbert;86165;51.35;7.04
SLV;ALL;Delgado;86142;13.72;-89.17
IDN;ALL;Galesong;86135;-5.31;119.36
NOR;ALL;Porsgrunn-Skien;86130;59.15;9.66
BGR;ALL;Shumen;86121;43.28;26.93
SDN;ALL;H̨alfā al-Jadīdah;86070;15.32;35.58
RUS;ALL;Kirovo-Chepetsk;86064;58.55;50.04
FJI;ALL;Suva;86061;-18.13;178.43
EGY;ALL;Manfaloot;86051;27.32;30.97
ZAF;ALL;Louis Trichardt;86044;-23.04;29.89
ECU;ALL;La Libertad;86027;-2.23;-80.9
ITA;ALL;Varese;86019;45.83;8.83
THA;ALL;Nakhon Sawan;85955;15.7;100.07
IND;ALL;Mānsa;85954;29.98;75.39
DZA;ALL;Qaşr-al-Buẖārī;85932;35.89;2.74
BRA;ALL;Leme;85899;-22.18;-47.38
MMR;ALL;Sagaing;85893;21.86;95.96
FRA;ALL;Poitiers;85876;46.58;0.34
USA;NC;High Point city;85839;35.970536;-79.997510
IRN;ALL;Pārsābād;85831;39.65;47.93
USA;RI;Warwick city;85808;41.718114;-71.415227
USA;MN;Rochester city;85806;44.025763;-92.473226
USA;CA;Alhambra city;85804;34.081859;-118.135052
ESP;ALL;Talavera de la Reina;85802;39.96;-4.83
PAN;ALL;Colón;85802;9.36;-79.9
ITA;ALL;Brindisi;85799;40.64;17.93
OMN;ALL;Şūr;85797;22.57;59.55
BRA;ALL;Itajubá;85782;-22.42;-45.45
USA;GA;Sandy Springs CDP;85781;33.937401;-84.368625
USA;FL;Sunrise city;85779;26.157145;-80.286002
MKD;ALL;Bitola;85773;41.04;21.34
ITA;ALL;Torre del Greco;85769;40.79;14.36
IRN;ALL;Shīravān;85750;37.45;57.92
CHN;ALL;Guozhen;85732;34.35;107.38
RUS;ALL;Chelyabinsk-40, Chelyabinsk-65, Ozyorsk;85700;55.76;60.7
USA;OH;Parma city;85655;41.391852;-81.728502
ZAF;ALL;Barberton;85620;-25.78;31.05
USA;IL;Cicero town;85616;41.845232;-87.759933
POL;ALL;Jelenia Góra;85594;50.91;15.73
CHN;ALL;Helong;85550;42.54;129
ITA;ALL;Pisa;85541;43.72;10.4
TKM;ALL;Serdar;85516;38.98;56.27
PER;ALL;Talara;85514;-4.58;-81.28
VNM;ALL;Việt Trì;85505;21.31;105.43
SVK;ALL;Žilina;85471;49.22;18.74
SWE;ALL;Jönköping;85463;57.78;14.17
CHN;ALL;Dayong;85419;29.13;110.47
IND;ALL;Anakāpalle;85416;17.69;83
IND;ALL;Kadiri;85410;14.12;78.16
BRA;ALL;Votuporonga;85405;-20.43;-49.98
USA;NJ;Trenton city;85403;40.221741;-74.756138
BRA;ALL;Abreu e Lima;85402;-7.95;-34.88
RUS;ALL;Usolye-Sibirskoye;85385;52.76;103.63
PRT;ALL;Algueirão-Mem Martins;85364;38.8;-9.34
CHN;ALL;Dengzhou;85360;37.82;120.74
CHN;ALL;Yumen;85338;39.83;97.73
PHL;ALL;Kidapawan;85334;7.01;125.09
BRA;ALL;Arujá;85295;-23.4;-46.34
TKM;ALL;Bayramali;85287;37.62;62.16
SOM;ALL;Gaalkacyo;85252;6.77;47.43
PHL;ALL;Pulilan;85233;14.91;120.85
CHN;ALL;Qufu;85224;35.6;116.97
ZAF;ALL;Mabopane;85201;-25.5;28.08
USA;MN;Bloomington city;85172;44.833714;-93.309973
ARG;ALL;Necochea;85160;-38.56;-58.75
IRN;ALL;Kāzerūn;85152;29.6;51.67
IRN;ALL;Torbat-e Jām;85149;35.22;60.62
PRY;ALL;Encarnación;85149;-27.33;-55.88
CHN;ALL;Shache;85142;38.42;77.25
ITA;ALL;Pozzuoli;85141;40.83;14.12
CHN;ALL;Jinxiang;85088;27.44;120.63
ITA;ALL;Pistoia;85088;43.94;10.91
USA;CA;Citrus Heights city;85071;38.694702;-121.290548
FIN;ALL;Jyväskylä;85050;62.26;25.75
CHN;ALL;Nanding;85046;36.75;118.03
USA;IA;Sioux City city;85013;42.497957;-96.395705
LVA;ALL;Liepāja;85002;56.51;21.01
FRA;ALL;Versailles;84999;48.81;2.14
EGY;ALL;Beni Mazar;84997;28.49;30.81
UKR;ALL;Kostyantynivka;84965;48.53;37.72
PRY;ALL;Mariano Roque Alonso;84949;-25.17;-57.55
CZE;ALL;Havířov;84947;49.79;18.43
KWT;ALL;Hawallī;84944;29.35;48.01
ESP;ALL;El Puerto de Santa María;84930;36.61;-6.23
UGA;ALL;Kasese;84930;0.22;30.01
TJK;ALL;Kulob;84924;37.92;69.78
EGY;ALL;Sanoores;84913;29.49;30.85
MYS;ALL;Val d'Or;84907;5.25;100.5
BOL;ALL;Riberalta;84888;-11;-66.1
GBR;ENG;Grimsby;84847;53.57;-0.11
VEN;ALL;El Vigía;84836;8.63;-71.65
MDG;ALL;Antsiranana;84787;-12.28;49.28
ESP;ALL;Cornellà;84782;41.37;2.06
OMN;ALL;Nizwa;84749;22.92;57.53
