country;state;Name;Pop.;latitude;longitude
USA;IL;Chicago city;2896016;41.840675;-87.679365
CHN;ALL;Taiyuan;2763174;37.87;112.55
IRQ;ALL;al-Mawşil;2721096;36.34;43.14
PAK;ALL;Faisalābād;2708944;31.41;73.11
CHN;ALL;Changchun;2688669;43.87;125.35
TUR;ALL;İzmir;2686134;38.43;27.15
IND;ALL;Lakhnau;2621063;26.85;80.92
UKR;ALL;Kiev;2546026;50.43;30.52
AGO;ALL;Luanda;2524459;-8.82;13.24
KOR;ALL;Inchŏn;2518466;37.48;126.64
ITA;ALL;Roma;2512523;41.89;12.5
SEN;ALL;Dakar;2485851;14.72;-17.48
BRA;ALL;Belo Horizonte;2480490;-19.92;-43.94
BRA;ALL;Fortaleza;2468165;-3.78;-38.59
IRN;ALL;Mashhad;2464741;36.27;59.57
VEN;ALL;Maracaibo;2447096;10.73;-71.66
AFG;ALL;Kabul;2436111;34.53;69.17
DOM;ALL;Santo Domingo;2429851;18.48;-69.91
KOR;ALL;Taegu;2428363;35.87;128.6
BRA;ALL;Brasília;2406478;-15.78;-47.91
SDN;ALL;Umm Durmān;2395159;15.65;32.48
IND;ALL;Nāgpur;2359331;21.16;79.08
IDN;ALL;Surabaya;2347755;-7.24;112.74
NGA;ALL;Kano;2330412;12;8.52
COL;ALL;Medellín;2283386;6.29;-75.54
GHA;ALL;Accra;2280216;5.56;-0.2
NGA;ALL;Benin;2238589;6.34;5.62
CHN;ALL;Shijiazhuang;2227048;38.05;114.48
ECU;ALL;Guayaquil;2213030;-2.21;-79.9
CHN;ALL;Changsha;2211209;28.2;112.97
SDN;ALL;Khartoum;2203987;15.58;32.52
FRA;ALL;Paris;2177528;48.86;2.34
COL;ALL;Cali;2167528;3.44;-76.52
DZA;ALL;Algiers;2159051;36.77;3.04
CHN;ALL;Jinan;2154274;36.67;117
CUB;ALL;Havanna;2144040;23.13;-82.39
UZB;ALL;Tashkent;2140486;41.31;69.3
CHN;ALL;Dalian;2121203;38.92;121.65
CHN;ALL;Jilin;2074483;43.85;126.55
CHN;ALL;Nanchang;2029581;28.68;115.88
CHN;ALL;Zhengzhou;2007037;34.75;113.67
CAN;BC;Vancouver;1998979;49.28;-123.13
ZAF;ALL;Johannesburg;1987941;-26.19;28.04
LBN;ALL;Bayrūt;1987173;33.89;35.5
CMR;ALL;Douala;1978650;4.06;9.71
CHN;ALL;Jiulong;1953830;22.32;114.17
USA;TX;Houston city;1953631;29.762895;-95.383173
VEN;ALL;Caracas;1949630;10.54;-66.93
NGA;ALL;Kaduna;1926356;10.52;7.44
ROU;ALL;Bucureşti;1921279;44.44;26.1
MEX;MEX-EMEX;Ecatepec;1916389;19.6;-99.05
NGA;ALL;Port Harcourt;1899372;4.81;7.01
CHN;ALL;Hangzhou;1896010;30.25;120.17
PAK;ALL;Rāwalpindi;1877580;33.6;73.04
GIN;ALL;Conakry;1857153;9.55;-13.67
BRA;ALL;Curitiba;1837036;-25.42;-49.29
IRQ;ALL;al-Başrah;1827125;30.53;47.82
AUS;ALL;Brisbane;1823939;-27.46;153.02
