20,-40
40,-150
59.2,-84.8
43.04,-87.29
75.8,-61.4
35.25,17.05
43.67,33.84
42.73,49.83
58.95,19.86
26.07,-90.09
58.12,148.54
71.94,153.81
70.36,-118.92
18.6,39.63
0.2,-0.3
74.45,120.6
26.73,-110.83
34.63,22.24
-17.25,114.96
10.43,101.206
19.7,89.14
-74.73,-57.31
59.22,1.76
81.68,-94.04
-64.14,135.79
59,-145.0
59.35,-109.42
52.96,-98.09
80.55,-84.02
45.09,59.77
28.3,50.01
6.75,96.15
-68.78,37.44
-68.36,73.74
56.24,-60.57
-76.37,-60.99
44.46,-125.33
69.16,-171.56
-78.45,-42.19
69.41,-78.75
-33.80,-51.24
81.4,54.14
-33.5,-125.95
61.71,-113.77
66.07,-120.56
47.96,-87.28
63.76,-163.61
71.47,-154.69
18.31,-83.28
48.137,-69.46
53.44,4.79
