region;route;root;signage
ENG;A683;eng.a0683;both
ENG;A684;eng.a0684;both
ENG;A685;eng.a0685;both
ENG;A686;eng.a0686;non-primary
ENG;A687;eng.a0687;primary
ENG;A688;eng.a0688;both
ENG;A689;eng.a0689;both
ENG;A690;eng.a0690;both
ENG;A691;eng.a0691;both
ENG;A692;eng.a0692;primary
ENG;A693;eng.a0693;primary
ENG;A694;eng.a0694;non-primary
ENG;A695;eng.a0695;non-primary
ENG;A696;eng.a0696;primary
ENG;A697;eng.a0697;primary
SCT;A697;sct.a0697;non-primary
SCT;A698;sct.a0698;non-primary
ENG;A698;eng.a0698;both
SCT;A699;sct.a0699;non-primary
SCT;A700;sct.a0700;non-primary
SCT;A701;sct.a0701;both
SCT;A702;sct.a0702;both
SCT;A703;sct.a0703;non-primary
SCT;A704;sct.a0704;non-primary
SCT;A705;sct.a0705;non-primary
SCT;A706;sct.a0706;non-primary
SCT;A707;sct.a0707;non-primary
SCT;A708;sct.a0708;non-primary
SCT;A709;sct.a0709;non-primary
SCT;A710;sct.a0710;non-primary
SCT;A711;sct.a0711;non-primary
SCT;A712;sct.a0712;non-primary
SCT;A713;sct.a0713;non-primary
SCT;A714;sct.a0714;non-primary
SCT;A716;sct.a0716;non-primary
SCT;A717;sct.a0717;non-primary
SCT;A718;sct.a0718;non-primary
SCT;A719;sct.a0719;non-primary
SCT;A720;sct.a0720;primary
SCT;A721;sct.a0721;non-primary
SCT;A722;sct.a0722;non-primary
SCT;A723;sct.a0723;non-primary
SCT;A724;sct.a0724;non-primary
SCT;A725;sct.a0725;both
SCT;A726;sct.a0726;both
SCT;A727;sct.a0727;non-primary
SCT;A728;sct.a0728;non-primary
SCT;A728;sct.a0728egl;non-primary
SCT;A730;sct.a0730;non-primary
SCT;A735;sct.a0735;non-primary
SCT;A736;sct.a0736;non-primary
SCT;A737;sct.a0737;both
SCT;A738;sct.a0738;both
SCT;A739;sct.a0739;non-primary
SCT;A741;sct.a0741;non-primary
SCT;A743;sct.a0743;non-primary
SCT;A745;sct.a0745;non-primary
SCT;A746;sct.a0746;non-primary
SCT;A747;sct.a0747;non-primary
SCT;A749;sct.a0749;non-primary
SCT;A751;sct.a0751;primary
SCT;A752;sct.a0752;non-primary
SCT;A755;sct.a0755;non-primary
SCT;A756;sct.a0756;non-primary
SCT;A759;sct.a0759;non-primary
SCT;A760;sct.a0760;non-primary
SCT;A761;sct.a0761;non-primary
SCT;A762;sct.a0762;non-primary
SCT;A763;sct.a0763;non-primary
SCT;A766;sct.a0766;non-primary
SCT;A768;sct.a0768;non-primary
SCT;A770;sct.a0770;non-primary
SCT;A771;sct.a0771;non-primary
SCT;A772;sct.a0772;non-primary
SCT;A775;sct.a0775;non-primary
SCT;A779;sct.a0779;non-primary
SCT;A780;sct.a0780;non-primary
SCT;A781;sct.a0781;non-primary
SCT;A800;sct.a0800;non-primary
SCT;A801;sct.a0801;non-primary
SCT;A803;sct.a0803;non-primary
SCT;A804;sct.a0804;non-primary
SCT;A806;sct.a0806;non-primary
SCT;A807;sct.a0807;non-primary
SCT;A808;sct.a0808;non-primary
SCT;A809;sct.a0809;non-primary
SCT;A810;sct.a0810;non-primary
SCT;A811;sct.a0811;non-primary
SCT;A812;sct.a0812;non-primary
SCT;A813;sct.a0813;non-primary
SCT;A814;sct.a0814;non-primary
SCT;A815;sct.a0815;non-primary
SCT;A816;sct.a0816;non-primary
SCT;A817;sct.a0817;non-primary
SCT;A818;sct.a0818;non-primary
SCT;A819;sct.a0819;non-primary
SCT;A820;sct.a0820;non-primary
SCT;A821;sct.a0821;non-primary
SCT;A822;sct.a0822;non-primary
SCT;A823;sct.a0823;non-primary
SCT;A824;sct.a0824;non-primary
SCT;A826;sct.a0826;non-primary
SCT;A827;sct.a0827;non-primary
SCT;A828;sct.a0828;primary
SCT;A830;sct.a0830;primary
SCT;A831;sct.a0831;non-primary
SCT;A832;sct.a0832;non-primary
SCT;A833;sct.a0833;non-primary
SCT;A834;sct.a0834;non-primary
SCT;A835;sct.a0835;both
SCT;A836;sct.a0836;non-primary
SCT;A837;sct.a0837;non-primary
SCT;A838;sct.a0838;non-primary
SCT;A839;sct.a0839;non-primary
SCT;A841;sct.a0841;non-primary
SCT;A844;sct.a0844;non-primary
SCT;A846;sct.a0846bow;non-primary
SCT;A846;sct.a0846;non-primary
SCT;A847;sct.a0847;non-primary
SCT;A848;sct.a0848;non-primary
SCT;A849;sct.a0849;non-primary
SCT;A850;sct.a0850;non-primary
SCT;A851;sct.a0851;non-primary
SCT;A855;sct.a0855;non-primary
SCT;A857;sct.a0857;non-primary
SCT;A858;sct.a0858;non-primary
SCT;A859;sct.a0859;non-primary
SCT;A861;sct.a0861;non-primary
SCT;A861;sct.a0861cor;non-primary
SCT;A862;sct.a0862;non-primary
SCT;A863;sct.a0863;non-primary
SCT;A865;sct.a0865;non-primary
SCT;A866;sct.a0866;non-primary
SCT;A867;sct.a0867;non-primary
SCT;A868;sct.a0868;non-primary
SCT;A872;sct.a0872;non-primary
SCT;A873;sct.a0873;non-primary
SCT;A875;sct.a0875;non-primary
SCT;A876;sct.a0876;primary
SCT;A877;sct.a0877;non-primary
SCT;A878;sct.a0878;non-primary
SCT;A879;sct.a0879;non-primary
SCT;A880;sct.a0880;non-primary
SCT;A882;sct.a0882;non-primary
SCT;A883;sct.a0883;non-primary
SCT;A884;sct.a0884;non-primary
SCT;A884;sct.a0884fis;non-primary
SCT;A885;sct.a0885;non-primary
SCT;A886;sct.a0886;non-primary
SCT;A886;sct.a0886por;non-primary
SCT;A887;sct.a0887;primary
SCT;A888;sct.a0888;non-primary
SCT;A889;sct.a0889;primary
SCT;A890;sct.a0890;non-primary
SCT;A891;sct.a0891;non-primary
SCT;A893;sct.a0893;primary
SCT;A894;sct.a0894;non-primary
SCT;A896;sct.a0896;non-primary
SCT;A897;sct.a0897;non-primary
SCT;A898;sct.a0898;primary
SCT;A899;sct.a0899;non-primary
SCT;A900;sct.a0900;non-primary
SCT;A901;sct.a0901;non-primary
SCT;A902;sct.a0902;non-primary
SCT;A903;sct.a0903;non-primary
SCT;A904;sct.a0904;non-primary
SCT;A905;sct.a0905;non-primary
SCT;A907;sct.a0907;non-primary
SCT;A908;sct.a0908;non-primary
SCT;A909;sct.a0909;non-primary
SCT;A910;sct.a0910;non-primary
SCT;A911;sct.a0911;non-primary
SCT;A912;sct.a0912;non-primary
SCT;A913;sct.a0913;non-primary
SCT;A914;sct.a0914;non-primary
SCT;A915;sct.a0915;non-primary
SCT;A916;sct.a0916;non-primary
SCT;A917;sct.a0917;non-primary
SCT;A918;sct.a0918;non-primary
SCT;A919;sct.a0919;non-primary
SCT;A920;sct.a0920hun;non-primary
SCT;A920;sct.a0920;non-primary
SCT;A921;sct.a0921;non-primary
SCT;A922;sct.a0922;non-primary
SCT;A923;sct.a0923;non-primary
SCT;A924;sct.a0924;non-primary
SCT;A926;sct.a0926;non-primary
SCT;A928;sct.a0928;non-primary
SCT;A929;sct.a0929;non-primary
SCT;A930;sct.a0930;non-primary
SCT;A932;sct.a0932;non-primary
SCT;A933;sct.a0933;non-primary
SCT;A934;sct.a0934;non-primary
SCT;A935;sct.a0935;non-primary
SCT;A937;sct.a0937;non-primary
SCT;A938;sct.a0938;non-primary
SCT;A939;sct.a0939;non-primary
SCT;A940;sct.a0940;non-primary
SCT;A941;sct.a0941;non-primary
SCT;A942;sct.a0942;non-primary
SCT;A944;sct.a0944;non-primary
SCT;A947;sct.a0947;non-primary
SCT;A948;sct.a0948;non-primary
SCT;A949;sct.a0949;non-primary
SCT;A950;sct.a0950;non-primary
SCT;A952;sct.a0952;non-primary
SCT;A953;sct.a0953;non-primary
SCT;A955;sct.a0955;non-primary
SCT;A956;sct.a0956;both
SCT;A957;sct.a0957;non-primary
SCT;A960;sct.a0960;non-primary
SCT;A961;sct.a0961;non-primary
SCT;A962;sct.a0962;non-primary
SCT;A963;sct.a0963;non-primary
SCT;A964;sct.a0964;non-primary
SCT;A965;sct.a0965;non-primary
SCT;A966;sct.a0966;non-primary
SCT;A967;sct.a0967;non-primary
SCT;A968;sct.a0968;non-primary
SCT;A968;sct.a0968mid;non-primary
SCT;A968;sct.a0968bal;non-primary
SCT;A969;sct.a0969;non-primary
SCT;A970;sct.a0970;non-primary
SCT;A970;sct.a0970sca;non-primary
SCT;A970;sct.a0970hil;non-primary
SCT;A971;sct.a0971;non-primary
SCT;A971;;sct.a0971wal;non-primary
SCT;A972;sct.a0972;primary
SCT;A975;sct.a0975;non-primary
SCT;A977;sct.a0977;both
SCT;A980;sct.a0980;non-primary
SCT;A981;sct.a0981;non-primary
SCT;A982;sct.a0982;non-primary
SCT;A984;sct.a0984;non-primary
SCT;A985;sct.a0985;primary
SCT;A986;sct.a0986;non-primary
SCT;A989;sct.a0989;non-primary
SCT;A990;sct.a0990;non-primary
SCT;A991;sct.a0991;non-primary
SCT;A993;sct.a0993;non-primary
SCT;A994;sct.a0994;non-primary
ENG;A1000;eng.a1000;non-primary
ENG;A1001;eng.a1001;both
ENG;A1003;eng.a1003;non-primary
ENG;A1004;eng.a1004;non-primary
ENG;A1005;eng.a1005;non-primary
ENG;A1006;eng.a1006;non-primary
ENG;A1008;eng.a1008;non-primary
ENG;A1009;eng.a1009;non-primary
ENG;A1010;eng.a1010;non-primary
ENG;A1011;eng.a1011;non-primary
ENG;A1012;eng.a1012;non-primary
ENG;A1013;eng.a1013;non-primary
ENG;A1014;eng.a1014;non-primary
ENG;A1015;eng.a1015;non-primary
ENG;A1016;eng.a1016;non-primary
ENG;A1017;eng.a1017;non-primary
ENG;A1018;eng.a1018;both
ENG;A1019;eng.a1019;non-primary
ENG;A1020;eng.a1020;non-primary
ENG;A1021;eng.a1021;non-primary
ENG;A1022;eng.a1022;non-primary
ENG;A1023;eng.a1023;non-primary
ENG;A1024;eng.a1024;non-primary
ENG;A1025;eng.a1025;non-primary
ENG;A1027;eng.a1027;non-primary
ENG;A1028;eng.a1028;primary
ENG;A1029;eng.a1029;non-primary
ENG;A1031;eng.a1031;non-primary
ENG;A1032;eng.a1032;non-primary
ENG;A1033;eng.a1033;both
ENG;A1034;eng.a1034;non-primary
ENG;A1035;eng.a1035;non-primary
ENG;A1036;eng.a1036;non-primary
ENG;A1036;eng.a1036yor;non-primary
ENG;A1037;eng.a1037;non-primary
ENG;A1038;eng.a1038;non-primary
ENG;A1039;eng.a1039;non-primary
ENG;A1041;eng.a1041;non-primary
ENG;A1042;eng.a1042;primary
ENG;A1042;eng.a1042red;non-primary
ENG;A1043;eng.a1043;primary
ENG;A1044;eng.a1044;non-primary
ENG;A1046;eng.a1046;non-primary
ENG;A1048;eng.a1048;non-primary
ENG;A1049;eng.a1049;non-primary
ENG;A1052;eng.a1052;non-primary
ENG;A1053;eng.a1053;primary
ENG;A1054;eng.a1054;non-primary
ENG;A1055;eng.a1055;non-primary
ENG;A1056;eng.a1056nor;non-primary
ENG;A1056;eng.a1056;non-primary
ENG;A1057;eng.a1057;non-primary
ENG;A1058;eng.a1058;primary
ENG;A1060;eng.a1060;non-primary
ENG;A1061;eng.a1061;non-primary
ENG;A1062;eng.a1062;non-primary
ENG;A1064;eng.a1064;non-primary
ENG;A1065;eng.a1065;primary
ENG;A1066;eng.a1066;primary
ENG;A1067;eng.a1067;non-primary
ENG;A1068;eng.a1068;both
ENG;A1069;eng.a1069;non-primary
ENG;A1070;eng.a1070;non-primary
ENG;A1071;eng.a1071;non-primary
ENG;A1072;eng.a1072;non-primary
ENG;A1074;eng.a1074;both
ENG;A1075;eng.a1075;non-primary
ENG;A1076;eng.a1076;non-primary
ENG;A1077;eng.a1077;both
ENG;A1078;eng.a1078;non-primary
ENG;A1079;eng.a1079;both
ENG;A1080;eng.a1080;non-primary
ENG;A1081;eng.a1081;both
ENG;A1082;eng.a1082;non-primary
ENG;A1083;eng.a1083;non-primary
ENG;A1084;eng.a1084;non-primary
ENG;A1085;eng.a1085;non-primary
ENG;A1086;eng.a1086;non-primary
SCT;A1087;sct.a1087;non-primary
ENG;A1088;eng.a1088;non-primary
ENG;A1089;eng.a1089;primary
ENG;A1090;eng.a1090;non-primary
ENG;A1092;eng.a1092;non-primary
ENG;A1094;eng.a1094;non-primary
ENG;A1095;eng.a1095;non-primary
ENG;A1096;eng.a1096;non-primary
ENG;A1098;eng.a1098;non-primary
ENG;A1099;eng.a1099;non-primary
ENG;A1101;eng.a1101;both
ENG;A1103;eng.a1103;primary
ENG;A1104;eng.a1104;non-primary
ENG;A1105;eng.a1105;non-primary
SCT;A1107;sct.a1107;non-primary
ENG;A1108;eng.a1108;non-primary
ENG;A1110;eng.a1110;non-primary
ENG;A1111;eng.a1111;non-primary
ENG;A1112;eng.a1112;non-primary
ENG;A1114;eng.a1114che;non-primary
ENG;A1114;eng.a1114;non-primary
ENG;A1117;eng.a1117;primary
ENG;A1120;eng.a1120;non-primary
ENG;A1121;eng.a1121;primary
ENG;A1122;eng.a1122;both
ENG;A1123;eng.a1123;non-primary
ENG;A1124;eng.a1124;non-primary
ENG;A1129;eng.a1129;non-primary
ENG;A1130;eng.a1130;non-primary
ENG;A1130;eng.a1130ack;non-primary
ENG;A1133;eng.a1133;non-primary
ENG;A1134;eng.a1134;non-primary
ENG;A1136;eng.a1136;non-primary
ENG;A1137;eng.a1137;non-primary
ENG;A1138;eng.a1138;non-primary
ENG;A1139;eng.a1139ort;primary
ENG;A1139;eng.a1139;both
SCT;A1140;sct.a1140;non-primary
ENG;A1141;eng.a1141;non-primary
ENG;A1144;eng.a1144;non-primary
ENG;A1145;eng.a1145;non-primary
ENG;A1146;eng.a1146;non-primary
ENG;A1147;eng.a1147;non-primary
ENG;A1148;eng.a1148;non-primary
ENG;A1149;eng.a1149;non-primary
ENG;A1150;eng.a1150;non-primary
ENG;A1151;eng.a1151;non-primary
ENG;A1152;eng.a1152;non-primary
ENG;A1153;eng.a1153;non-primary
ENG;A1155;eng.a1155;non-primary
ENG;A1156;eng.a1156;non-primary
ENG;A1158;eng.a1158;non-primary
ENG;A1159;eng.a1159;non-primary
ENG;A1160;eng.a1160;non-primary
ENG;A1165;eng.a1165;non-primary
ENG;A1166;eng.a1166;non-primary
ENG;A1167;eng.a1167;non-primary
ENG;A1168;eng.a1168;non-primary
ENG;A1169;eng.a1169;non-primary
ENG;A1170;eng.a1170;non-primary
ENG;A1171;eng.a1171;non-primary
ENG;A1172;eng.a1172;non-primary
ENG;A1173;eng.a1173;both
ENG;A1174;eng.a1174;non-primary
ENG;A1175;eng.a1175;non-primary
ENG;A1176;eng.a1176;non-primary
ENG;A1179;eng.a1179;non-primary
ENG;A1184;eng.a1184;non-primary
ENG;A1185;eng.a1185;non-primary
ENG;A1189;eng.a1189;non-primary
ENG;A1192;eng.a1192;non-primary
ENG;A1194;eng.a1194;primary
ENG;A1198;eng.a1198;non-primary
ENG;A1199;eng.a1199can;non-primary
ENG;A1199;eng.a1199;non-primary
ENG;A1200;eng.a1200;non-primary
ENG;A1201;eng.a1201;non-primary
ENG;A1202;eng.a1202;both
ENG;A1203;eng.a1203;primary
ENG;A1204;eng.a1204;non-primary
ENG;A1205;eng.a1205;non-primary
ENG;A1206;eng.a1206;non-primary
ENG;A1207;eng.a1207;non-primary
ENG;A1208;eng.a1208;non-primary
ENG;A1209;eng.a1209;non-primary
ENG;A1210;eng.a1210;primary
ENG;A1211;eng.a1211;non-primary
ENG;A1213;eng.a1213;non-primary
ENG;A1214;eng.a1214;non-primary
ENG;A1231;eng.a1231;primary
ENG;A1232;eng.a1232;non-primary
ENG;A1235;eng.a1235;non-primary
ENG;A1237;eng.a1237;primary
ENG;A1238;eng.a1238;non-primary
ENG;A1240;eng.a1240;non-primary
ENG;A1242;eng.a1242;non-primary
ENG;A1243;eng.a1243;non-primary
ENG;A1243;eng.a1243gri;non-primary
ENG;A1245;eng.a1245;both
ENG;A1246;eng.a1246;non-primary
ENG;A1250;eng.a1250;non-primary
ENG;A1251;eng.a1251;non-primary
ENG;A1260;eng.a1260;both
ENG;A1261;eng.a1261;primary
ENG;A1270;eng.a1270;both
ENG;A1290;eng.a1290;non-primary
ENG;A1300;eng.a1300;both
ENG;A1301;eng.a1301;non-primary
ENG;A1302;eng.a1302;non-primary
ENG;A1303;eng.a1303;both
ENG;A1304;eng.a1304;non-primary
ENG;A1305;eng.a1305;non-primary
ENG;A1306;eng.a1306;non-primary
ENG;A1307;eng.a1307hun;primary
ENG;A1307;eng.a1307;non-primary
ENG;A1308;eng.a1308;non-primary
ENG;A1309;eng.a1309;non-primary
ENG;A1311;eng.a1311;non-primary
ENG;A1321;eng.a1321;non-primary
ENG;A1341;eng.a1341;non-primary
ENG;A1400;eng.a1400;primary
ENG;A1402;eng.a1402;non-primary
ENG;A1421;eng.a1421;non-primary
ENG;A1434;eng.a1434;non-primary
ENG;A1500;eng.a1500;non-primary
ENG;A2000;eng.a2000;non-primary
ENG;A2003;eng.a2003;non-primary
ENG;A2004;eng.a2004;non-primary
ENG;A2010;eng.a2010;non-primary
ENG;A2011;eng.a2011;non-primary
ENG;A2014;eng.a2014;non-primary
ENG;A2015;eng.a2015;non-primary
ENG;A2016;eng.a2016;non-primary
ENG;A2018;eng.a2018;non-primary
ENG;A2021;eng.a2021;non-primary
ENG;A2022;eng.a2022;non-primary
ENG;A2023;eng.a2023;non-primary
ENG;A2025;eng.a2025;non-primary
ENG;A2026;eng.a2026;non-primary
ENG;A2029;eng.a2029;non-primary
ENG;A2030;eng.a2030;non-primary
ENG;A2031;eng.a2031;non-primary
ENG;A2032;eng.a2032;non-primary
ENG;A2033;eng.a2033;non-primary
ENG;A2034;eng.a2034;non-primary
ENG;A2036;eng.a2036;non-primary
ENG;A2037;eng.a2037;non-primary
ENG;A2038;eng.a2038;non-primary
ENG;A2039;eng.a2039;non-primary
ENG;A2040;eng.a2040;non-primary
ENG;A2041;eng.a2041;non-primary
ENG;A2042;eng.a2042;non-primary
ENG;A2043;eng.a2043;non-primary
ENG;A2044;eng.a2044;non-primary
ENG;A2050;eng.a2050;non-primary
ENG;A2052;eng.a2052;non-primary
ENG;A2070;eng.a2070;both
ENG;A2100;eng.a2100;non-primary
ENG;A2101;eng.a2101;non-primary
ENG;A2102;eng.a2102;non-primary
ENG;A2198;eng.a2198;non-primary
ENG;A2199;eng.a2199;non-primary
ENG;A2203;eng.a2203;non-primary
ENG;A2204;eng.a2204;primary
ENG;A2205;eng.a2205;non-primary
ENG;A2206;eng.a2206;non-primary
ENG;A2208;eng.a2208;non-primary
ENG;A2209;eng.a2209;non-primary
ENG;A2210;eng.a2210;non-primary
ENG;A2211;eng.a2211;non-primary
ENG;A2212;eng.a2212;non-primary
ENG;A2213;eng.a2213;both
ENG;A2214;eng.a2214;non-primary
ENG;A2215;eng.a2215;non-primary
ENG;A2216;eng.a2216;non-primary
ENG;A2217;eng.a2217;non-primary
ENG;A2218;eng.a2218;non-primary
ENG;A2219;eng.a2219;non-primary
ENG;A2220;eng.a2220;non-primary
ENG;A2260;eng.a2260;non-primary
ENG;A2270;eng.a2270;non-primary
ENG;A2280;eng.a2280;non-primary
ENG;A2290;eng.a2290;non-primary
ENG;A2300;eng.a2300;non-primary
ENG;A2500;eng.a2500;non-primary
ENG;A2690;eng.a2690;non-primary
ENG;A2691;eng.a2691;non-primary
ENG;A2700;eng.a2700;non-primary
ENG;A2990;eng.a2990;non-primary
ENG;A3000;eng.a3000;non-primary
ENG;A3002;eng.a3002;non-primary
ENG;A3003;eng.a3003;non-primary
ENG;A3004;eng.a3004;non-primary
ENG;A3005;eng.a3005;non-primary
ENG;A3006;eng.a3006;non-primary
ENG;A3007;eng.a3007;non-primary
ENG;A3008;eng.a3008;non-primary
ENG;A3009;eng.a3009;non-primary
ENG;A3010;eng.a3010;non-primary
ENG;A3011;eng.a3011;non-primary
ENG;A3013;eng.a3013;non-primary
ENG;A3015;eng.a3015;non-primary
ENG;A3016;eng.a3016;non-primary
ENG;A3020;eng.a3020;non-primary
ENG;A3021;eng.a3021;non-primary
ENG;A3022;eng.a3022;non-primary
ENG;A3023;eng.a3023;non-primary
ENG;A3024;eng.a3024;non-primary
ENG;A3025;eng.a3025;non-primary
ENG;A3026;eng.a3026;non-primary
ENG;A3027;eng.a3027;non-primary
ENG;A3028;eng.a3028;non-primary
ENG;A3029;eng.a3029;primary
ENG;A3030;eng.a3030;non-primary
ENG;A3031;eng.a3031;non-primary
ENG;A3032;eng.a3032;non-primary
ENG;A3033;eng.a3033;non-primary
ENG;A3035;eng.a3035;non-primary
ENG;A3036;eng.a3036;non-primary
ENG;A3038;eng.a3038;non-primary
ENG;A3039;eng.a3039;non-primary
ENG;A3040;eng.a3040;non-primary
ENG;A3044;eng.a3044;non-primary
ENG;A3046;eng.a3046;non-primary
ENG;A3047;eng.a3047;non-primary
ENG;A3049;eng.a3049;both
ENG;A3050;eng.a3050;non-primary
ENG;A3051;eng.a3051;non-primary
ENG;A3052;eng.a3052;non-primary
ENG;A3054;eng.a3054;non-primary
ENG;A3055;eng.a3055;non-primary
ENG;A3055;eng.a3055san;non-primary
ENG;A3056;eng.a3056;non-primary
ENG;A3057;eng.a3057;non-primary
ENG;A3058;eng.a3058;non-primary
ENG;A3059;eng.a3059;non-primary
ENG;A3060;eng.a3060;non-primary
ENG;A3062;eng.a3062;non-primary
ENG;A3063;eng.a3063;non-primary
ENG;A3064;eng.a3064;non-primary
ENG;A3065;eng.a3065;non-primary
ENG;A3066;eng.a3066;non-primary
ENG;A3071;eng.a3071;non-primary
ENG;A3072;eng.a3072;non-primary
ENG;A3073;eng.a3073;non-primary
ENG;A3074;eng.a3074;non-primary
ENG;A3075;eng.a3075;non-primary
ENG;A3076;eng.a3076;non-primary
ENG;A3078;eng.a3078;non-primary
ENG;A3079;eng.a3079;non-primary
ENG;A3082;eng.a3082;non-primary
ENG;A3083;eng.a3083;non-primary
ENG;A3087;eng.a3087;non-primary
ENG;A3088;eng.a3088;primary
ENG;A3088;eng.a3088yeo;non-primary
ENG;A3090;eng.a3090;non-primary
ENG;A3093;eng.a3093;non-primary
ENG;A3094;eng.a3094;non-primary
ENG;A3095;eng.a3095;non-primary
ENG;A3098;eng.a3098;non-primary
ENG;A3100;eng.a3100;non-primary
ENG;A3100;eng.a3100bur;non-primary
ENG;A3102;eng.a3102;non-primary
ENG;A3110;eng.a3110;non-primary
ENG;A3111;eng.a3111;non-primary
ENG;A3112;eng.a3112;non-primary
ENG;A3113;eng.a3113;primary
ENG;A3121;eng.a3121;non-primary
ENG;A3122;eng.a3122;non-primary
ENG;A3123;eng.a3123;non-primary
ENG;A3124;eng.a3124;non-primary
ENG;A3125;eng.a3125;non-primary
ENG;A3126;eng.a3126;non-primary
ENG;A3200;eng.a3200;non-primary
ENG;A3201;eng.a3201;non-primary
ENG;A3202;eng.a3202;non-primary
ENG;A3203;eng.a3203;non-primary
ENG;A3204;eng.a3204;primary
ENG;A3205;eng.a3205;primary
ENG;A3207;eng.a3207;non-primary
ENG;A3209;eng.a3209;non-primary
ENG;A3210;eng.a3210;non-primary
ENG;A3211;eng.a3211;non-primary
ENG;A3212;eng.a3212;both
ENG;A3213;eng.a3213;non-primary
ENG;A3214;eng.a3214;non-primary
ENG;A3216;eng.a3216;non-primary
ENG;A3217;eng.a3217;non-primary
ENG;A3218;eng.a3218;non-primary
ENG;A3219;eng.a3219;non-primary
ENG;A3220;eng.a3220;primary
ENG;A3259;eng.a3259;non-primary
ENG;A3290;eng.a3290;non-primary
ENG;A3400;eng.a3400;non-primary
ENG;A3604;eng.a3604;non-primary
ENG;A3807;eng.a3807;non-primary
ENG;A4000;eng.a4000;non-primary
ENG;A4003;eng.a4003;non-primary
ENG;A4005;eng.a4005;non-primary
ENG;A4006;eng.a4006;non-primary
ENG;A4007;eng.a4007;non-primary
ENG;A4008;eng.a4008;non-primary
ENG;A4010;eng.a4010;primary
ENG;A4012;eng.a4012;non-primary
ENG;A4013;eng.a4013;non-primary
ENG;A4015;eng.a4015;non-primary
ENG;A4017;eng.a4017;non-primary
ENG;A4018;eng.a4018;non-primary
ENG;A4019;eng.a4019;both
ENG;A4020;eng.a4020;non-primary
ENG;A4023;eng.a4023;non-primary
ENG;A4025;eng.a4025;non-primary
ENG;A4026;eng.a4026;non-primary
ENG;A4029;eng.a4029;non-primary
ENG;A4030;eng.a4030;non-primary
ENG;A4031;eng.a4031;both
ENG;A4032;eng.a4032;primary
ENG;A4033;eng.a4033;non-primary
ENG;A4034;eng.a4034;non-primary
ENG;A4036;eng.a4036;both
ENG;A4037;eng.a4037;non-primary
ENG;A4038;eng.a4038;non-primary
ENG;A4039;eng.a4039;non-primary
ENG;A4040;eng.a4040;both
ENG;A4041;eng.a4041;primary
WLS;A4042;wls.a4042;both
WLS;A4042;wls.a4042cri;primary
WLS;A4043;wls.a4043;non-primary
ENG;A4044;eng.a4044;primary
WLS;A4046;wls.a4046;non-primary
WLS;A4047;wls.a4047;non-primary
WLS;A4048;wls.a4048;non-primary
WLS;A4049;wls.a4049;non-primary
WLS;A4050;wls.a4050;non-primary
WLS;A4051;wls.a4051;non-primary
ENG;A4053;eng.a4053;primary
WLS;A4054;wls.a4054;non-primary
WLS;A4055;wls.a4055;non-primary
WLS;A4058;wls.a4058;non-primary
WLS;A4059;wls.a4059;non-primary
WLS;A4060;wls.a4060;primary
WLS;A4061;wls.a4061;non-primary
WLS;A4063;wls.a4063;non-primary
WLS;A4064;wls.a4064;non-primary
WLS;A4065;wls.a4065;non-primary
WLS;A4066;wls.a4066;non-primary
WLS;A4067;wls.a4067;non-primary
WLS;A4068;wls.a4068;non-primary
WLS;A4069;wls.a4069;non-primary
WLS;A4069;wls.a4069lla;non-primary
ENG;A4071;eng.a4071;primary
ENG;A4074;eng.a4074;non-primary
WLS;A4075;wls.a4075;non-primary
WLS;A4076;wls.a4076;primary
WLS;A4077;wls.a4077;non-primary
WLS;A4078;wls.a4078;non-primary
WLS;A4079;wls.a4079;non-primary
WLS;A4080;wls.a4080;non-primary
WLS;A4080;wls.a4080lla;non-primary
WLS;A4081;wls.a4081;non-primary
WLS;A4081;wls.a4081nll;non-primary
WLS;A4081;wls.a4081sll;non-primary
ENG;A4082;eng.a4082;non-primary
WLS;A4085;wls.a4085;non-primary
WLS;A4086;wls.a4086;non-primary
WLS;A4087;wls.a4087;non-primary
ENG;A4088;eng.a4088;non-primary
ENG;A4089;eng.a4089;non-primary
ENG;A4090;eng.a4090;non-primary
ENG;A4091;eng.a4091;non-primary
ENG;A4092;eng.a4092;non-primary
WLS;A4093;wls.a4093;non-primary
ENG;A4094;eng.a4094;non-primary
ENG;A4095;eng.a4095;non-primary
ENG;A4097;eng.a4097;non-primary
ENG;A4098;eng.a4098;non-primary
ENG;A4099;eng.a4099;non-primary
ENG;A4100;eng.a4100;non-primary
ENG;A4101;eng.a4101;non-primary
ENG;A4102;eng.a4102;non-primary
WLS;A4102;wls.a4102;non-primary
WLS;A4102;wls.a4102sme;non-primary
ENG;A4103;eng.a4103;both
ENG;A4104;eng.a4104;non-primary
WLS;A4106;wls.a4106;non-primary
WLS;A4107;wls.a4107;non-primary
WLS;A4109;wls.a4109;non-primary
ENG;A4110;eng.a4110;non-primary
ENG;A4111;eng.a4111;both
ENG;A4112;eng.a4112;both
ENG;A4113;eng.a4113;non-primary
WLS;A4113;wls.a4113;non-primary
ENG;A4114;eng.a4114;primary
WLS;A4115;wls.a4115;non-primary
ENG;A4117;eng.a4117;non-primary
WLS;A4118;wls.a4118;non-primary
WLS;A4119;wls.a4119;non-primary
WLS;A4119;wls.a4119mis;non-primary
WLS;A4120;wls.a4120;non-primary
ENG;A4123;eng.a4123;both
ENG;A4124;eng.a4124;non-primary
ENG;A4125;eng.a4125;non-primary
